5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.012025902)}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': np.float32(-0.35597503)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-1.1202868)}, {'J01': 2}, {'J01': 5}, 
30.0, {'J01': np.float32(1.3282506)}, {'J01': 2}, {'J01': 4}, 
35.0, {'J01': np.float32(-0.1047234)}, {'J01': 1}, {'J01': 3}, 
40.0, {'J01': np.float32(-1.150814)}, {'J01': 2}, {'J01': 10}, 
45.0, {'J01': np.float32(-1.2089468)}, {'J01': 4}, {'J01': 16}, 
50.0, {'J01': np.float32(2.0687237)}, {'J01': 4}, {'J01': 20}, 
55.0, {'J01': np.float32(-0.4354311)}, {'J01': 7}, {'J01': 26}, 
60.0, {'J01': np.float32(-0.31266856)}, {'J01': 8}, {'J01': 29}, 
65.0, {'J01': np.float32(-0.5099393)}, {'J01': 8}, {'J01': 32}, 
70.0, {'J01': np.float32(-0.5926846)}, {'J01': 8}, {'J01': 26}, 
75.0, {'J01': np.float32(-0.47808066)}, {'J01': 8}, {'J01': 29}, 
80.0, {'J01': np.float32(-0.12741444)}, {'J01': 8}, {'J01': 35}, 
85.0, {'J01': np.float32(-0.5514885)}, {'J01': 8}, {'J01': 33}, 
90.0, {'J01': np.float32(-0.91309065)}, {'J01': 8}, {'J01': 31}, 
95.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 37}, 
100.0, {'J01': np.float32(-2.3159926)}, {'J01': 8}, {'J01': 37}, 
105.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 38}, 
110.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
115.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 42}, 
120.0, {'J01': np.float32(-0.8272481)}, {'J01': 6}, {'J01': 29}, 
125.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 30}, 
130.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 32}, 
135.0, {'J01': np.float32(-2.3086927)}, {'J01': 7}, {'J01': 36}, 
140.0, {'J01': np.float32(-0.59326977)}, {'J01': 8}, {'J01': 38}, 
145.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 34}, 
150.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 39}, 
155.0, {'J01': np.float32(-1.0465578)}, {'J01': 8}, {'J01': 37}, 
160.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 40}, 
165.0, {'J01': np.float32(-2.5969174)}, {'J01': 8}, {'J01': 41}, 
170.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 39}, 
175.0, {'J01': np.float32(-0.80480576)}, {'J01': 8}, {'J01': 45}, 
180.0, {'J01': np.float32(-1.2195041)}, {'J01': 10}, {'J01': 44}, 
185.0, {'J01': np.float32(-2.4792309)}, {'J01': 10}, {'J01': 45}, 
190.0, {'J01': np.float32(2.51609)}, {'J01': 10}, {'J01': 41}, 
195.0, {'J01': np.float32(-2.1602094)}, {'J01': 11}, {'J01': 43}, 
200.0, {'J01': np.float32(-3.0)}, {'J01': 11}, {'J01': 47}, 
205.0, {'J01': np.float32(-3.0)}, {'J01': 11}, {'J01': 44}, 
210.0, {'J01': np.float32(-3.0)}, {'J01': 11}, {'J01': 45}, 
215.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 50}, 
220.0, {'J01': np.float32(2.3111176)}, {'J01': 13}, {'J01': 44}, 
225.0, {'J01': np.float32(-0.95750415)}, {'J01': 13}, {'J01': 44}, 
230.0, {'J01': np.float32(-2.258778)}, {'J01': 13}, {'J01': 44}, 
235.0, {'J01': np.float32(-2.9139185)}, {'J01': 13}, {'J01': 44}, 
240.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 44}, 
245.0, {'J01': np.float32(-1.8050036)}, {'J01': 14}, {'J01': 47}, 
250.0, {'J01': np.float32(1.3430191)}, {'J01': 14}, {'J01': 46}, 
255.0, {'J01': np.float32(1.3470179)}, {'J01': 13}, {'J01': 35}, 
260.0, {'J01': np.float32(0.1349062)}, {'J01': 12}, {'J01': 32}, 
265.0, {'J01': np.float32(-0.45807567)}, {'J01': 10}, {'J01': 26}, 
270.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 21}, 
275.0, {'J01': np.float32(-0.134158)}, {'J01': 8}, {'J01': 25}, 
280.0, {'J01': np.float32(-0.8486422)}, {'J01': 11}, {'J01': 35}, 
285.0, {'J01': np.float32(0.1637271)}, {'J01': 11}, {'J01': 36}, 
290.0, {'J01': np.float32(-0.036524236)}, {'J01': 12}, {'J01': 37}, 
295.0, {'J01': np.float32(-0.99796855)}, {'J01': 12}, {'J01': 40}, 
300.0, {'J01': np.float32(-3.0)}, {'J01': 12}, {'J01': 42}, 
305.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 44}, 
310.0, {'J01': np.float32(-1.5207134)}, {'J01': 13}, {'J01': 43}, 
315.0, {'J01': np.float32(-3.0)}, {'J01': 13}, {'J01': 44}, 
320.0, {'J01': np.float32(-3.0)}, {'J01': 14}, {'J01': 42}, 
325.0, {'J01': np.float32(3.0)}, {'J01': 16}, {'J01': 41}, 
330.0, {'J01': np.float32(-0.034712303)}, {'J01': 17}, {'J01': 45}, 
335.0, {'J01': np.float32(-3.0)}, {'J01': 17}, {'J01': 48}, 
340.0, {'J01': np.float32(-3.0)}, {'J01': 16}, {'J01': 43}, 
345.0, {'J01': np.float32(3.0)}, {'J01': 14}, {'J01': 33}, 
350.0, {'J01': np.float32(-1.1940259)}, {'J01': 14}, {'J01': 36}, 
355.0, {'J01': np.float32(-3.0)}, {'J01': 15}, {'J01': 39}, 
360.0, {'J01': np.float32(-3.0)}, {'J01': 17}, {'J01': 47}, 
365.0, {'J01': np.float32(3.0)}, {'J01': 17}, {'J01': 47}, 
370.0, {'J01': np.float32(0.90813506)}, {'J01': 17}, {'J01': 47}, 
375.0, {'J01': np.float32(-3.0)}, {'J01': 17}, {'J01': 47}, 
380.0, {'J01': np.float32(2.4484034)}, {'J01': 17}, {'J01': 45}, 
385.0, {'J01': np.float32(-1.8166511)}, {'J01': 18}, {'J01': 45}, 
390.0, {'J01': np.float32(-1.4262315)}, {'J01': 18}, {'J01': 43}, 
395.0, {'J01': np.float32(3.0)}, {'J01': 19}, {'J01': 38}, 
400.0, {'J01': np.float32(-0.83854294)}, {'J01': 19}, {'J01': 41}, 
405.0, {'J01': np.float32(-1.657197)}, {'J01': 21}, {'J01': 47}, 
410.0, {'J01': np.float32(0.40659767)}, {'J01': 19}, {'J01': 44}, 
415.0, {'J01': np.float32(-1.4125286)}, {'J01': 19}, {'J01': 45}, 
420.0, {'J01': np.float32(0.7694255)}, {'J01': 17}, {'J01': 38}, 
425.0, {'J01': np.float32(-0.77705514)}, {'J01': 14}, {'J01': 28}, 
430.0, {'J01': np.float32(-3.0)}, {'J01': 12}, {'J01': 25}, 
435.0, {'J01': np.float32(3.0)}, {'J01': 12}, {'J01': 31}, 
440.0, {'J01': np.float32(-2.0363834)}, {'J01': 13}, {'J01': 35}, 
445.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 38}, 
450.0, {'J01': np.float32(-2.0496876)}, {'J01': 17}, {'J01': 44}, 
455.0, {'J01': np.float32(0.123482704)}, {'J01': 15}, {'J01': 40}, 
460.0, {'J01': np.float32(-0.4556237)}, {'J01': 12}, {'J01': 36}, 
465.0, {'J01': np.float32(3.0)}, {'J01': 12}, {'J01': 35}, 
470.0, {'J01': np.float32(-1.3199726)}, {'J01': 11}, {'J01': 32}, 
475.0, {'J01': np.float32(0.82766366)}, {'J01': 11}, {'J01': 35}, 
480.0, {'J01': np.float32(-0.989321)}, {'J01': 12}, {'J01': 44}, 
485.0, {'J01': np.float32(-3.0)}, {'J01': 13}, {'J01': 46}, 
490.0, {'J01': np.float32(-3.0)}, {'J01': 13}, {'J01': 50}, 
495.0, {'J01': np.float32(3.0)}, {'J01': 15}, {'J01': 50}, 
500.0, {'J01': np.float32(-1.9859437)}, {'J01': 16}, {'J01': 52}, 
505.0, {'J01': np.float32(-1.179796)}, {'J01': 17}, {'J01': 48}, 
510.0, {'J01': np.float32(2.7075408)}, {'J01': 18}, {'J01': 46}, 
515.0, {'J01': np.float32(-3.0)}, {'J01': 18}, {'J01': 48}, 
520.0, {'J01': np.float32(-3.0)}, {'J01': 19}, {'J01': 55}, 
