5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -8.0}, {'J01': 4}, {'J01': 8}, 
25.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
30.0, {'J01': -12.0}, {'J01': 4}, {'J01': 12}, 
35.0, {'J01': -10.0}, {'J01': 4}, {'J01': 10}, 
40.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -11.0}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
60.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
65.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
70.0, {'J01': -16.0}, {'J01': 4}, {'J01': 16}, 
75.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
85.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
90.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
95.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
100.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
105.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
110.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
115.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
120.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
125.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
130.0, {'J01': -20.0}, {'J01': 5}, {'J01': 20}, 
135.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
140.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
145.0, {'J01': -27.0}, {'J01': 6}, {'J01': 27}, 
150.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
155.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
160.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
165.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
170.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
175.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
180.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
185.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
190.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
195.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
200.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
205.0, {'J01': -27.0}, {'J01': 9}, {'J01': 27}, 
210.0, {'J01': -22.0}, {'J01': 9}, {'J01': 22}, 
215.0, {'J01': -22.0}, {'J01': 9}, {'J01': 22}, 
220.0, {'J01': -26.0}, {'J01': 9}, {'J01': 26}, 
225.0, {'J01': -21.0}, {'J01': 7}, {'J01': 21}, 
230.0, {'J01': -24.0}, {'J01': 7}, {'J01': 24}, 
235.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
240.0, {'J01': -26.0}, {'J01': 3}, {'J01': 26}, 
245.0, {'J01': -31.0}, {'J01': 5}, {'J01': 31}, 
250.0, {'J01': -36.0}, {'J01': 5}, {'J01': 36}, 
255.0, {'J01': -31.0}, {'J01': 4}, {'J01': 31}, 
260.0, {'J01': -29.0}, {'J01': 4}, {'J01': 29}, 
265.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
270.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
275.0, {'J01': -30.0}, {'J01': 4}, {'J01': 30}, 
280.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
285.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
290.0, {'J01': -36.0}, {'J01': 8}, {'J01': 36}, 
295.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
300.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
305.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
310.0, {'J01': -17.0}, {'J01': 4}, {'J01': 17}, 
315.0, {'J01': -18.0}, {'J01': 5}, {'J01': 18}, 
320.0, {'J01': -21.0}, {'J01': 5}, {'J01': 21}, 
325.0, {'J01': -16.0}, {'J01': 5}, {'J01': 16}, 
330.0, {'J01': -14.0}, {'J01': 5}, {'J01': 14}, 
335.0, {'J01': -17.0}, {'J01': 5}, {'J01': 17}, 
340.0, {'J01': -24.0}, {'J01': 5}, {'J01': 24}, 
345.0, {'J01': -28.0}, {'J01': 5}, {'J01': 28}, 
350.0, {'J01': -28.0}, {'J01': 5}, {'J01': 28}, 
355.0, {'J01': -25.0}, {'J01': 5}, {'J01': 25}, 
360.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
365.0, {'J01': -37.0}, {'J01': 6}, {'J01': 37}, 
370.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
375.0, {'J01': -22.0}, {'J01': 7}, {'J01': 22}, 
380.0, {'J01': -19.0}, {'J01': 7}, {'J01': 19}, 
385.0, {'J01': -18.0}, {'J01': 7}, {'J01': 18}, 
390.0, {'J01': -19.0}, {'J01': 8}, {'J01': 19}, 
395.0, {'J01': -20.0}, {'J01': 8}, {'J01': 20}, 
400.0, {'J01': -21.0}, {'J01': 8}, {'J01': 21}, 
405.0, {'J01': -21.0}, {'J01': 8}, {'J01': 21}, 
410.0, {'J01': -21.0}, {'J01': 8}, {'J01': 21}, 
415.0, {'J01': -21.0}, {'J01': 8}, {'J01': 21}, 
420.0, {'J01': -21.0}, {'J01': 8}, {'J01': 21}, 
425.0, {'J01': -22.0}, {'J01': 8}, {'J01': 22}, 
430.0, {'J01': -21.0}, {'J01': 7}, {'J01': 21}, 
435.0, {'J01': -18.0}, {'J01': 6}, {'J01': 18}, 
440.0, {'J01': -20.0}, {'J01': 6}, {'J01': 20}, 
445.0, {'J01': -21.0}, {'J01': 7}, {'J01': 21}, 
450.0, {'J01': -21.0}, {'J01': 7}, {'J01': 21}, 
455.0, {'J01': -22.0}, {'J01': 7}, {'J01': 22}, 
460.0, {'J01': -19.0}, {'J01': 6}, {'J01': 19}, 
465.0, {'J01': -22.0}, {'J01': 5}, {'J01': 22}, 
470.0, {'J01': -23.0}, {'J01': 5}, {'J01': 23}, 
475.0, {'J01': -26.0}, {'J01': 6}, {'J01': 26}, 
480.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
485.0, {'J01': -25.0}, {'J01': 6}, {'J01': 25}, 
490.0, {'J01': -23.0}, {'J01': 6}, {'J01': 23}, 
495.0, {'J01': -25.0}, {'J01': 6}, {'J01': 25}, 
500.0, {'J01': -26.0}, {'J01': 7}, {'J01': 26}, 
505.0, {'J01': -22.0}, {'J01': 6}, {'J01': 22}, 
510.0, {'J01': -24.0}, {'J01': 5}, {'J01': 24}, 
515.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
520.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
525.0, {'J01': -33.0}, {'J01': 7}, {'J01': 33}, 
530.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
535.0, {'J01': -45.0}, {'J01': 8}, {'J01': 45}, 
540.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
545.0, {'J01': -41.0}, {'J01': 7}, {'J01': 41}, 
550.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
555.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
560.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
565.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
570.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
575.0, {'J01': -47.0}, {'J01': 8}, {'J01': 47}, 
580.0, {'J01': -48.0}, {'J01': 8}, {'J01': 48}, 
585.0, {'J01': -51.0}, {'J01': 8}, {'J01': 51}, 
590.0, {'J01': -45.0}, {'J01': 7}, {'J01': 45}, 
595.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
600.0, {'J01': -42.0}, {'J01': 7}, {'J01': 42}, 
605.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
610.0, {'J01': -46.0}, {'J01': 8}, {'J01': 46}, 
615.0, {'J01': -38.0}, {'J01': 7}, {'J01': 38}, 
620.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
625.0, {'J01': -37.0}, {'J01': 6}, {'J01': 37}, 
630.0, {'J01': -45.0}, {'J01': 7}, {'J01': 45}, 
635.0, {'J01': -49.0}, {'J01': 8}, {'J01': 49}, 
640.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
645.0, {'J01': -34.0}, {'J01': 6}, {'J01': 34}, 
650.0, {'J01': -36.0}, {'J01': 6}, {'J01': 36}, 
655.0, {'J01': -45.0}, {'J01': 7}, {'J01': 45}, 
660.0, {'J01': -47.0}, {'J01': 8}, {'J01': 47}, 
665.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
670.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
675.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
680.0, {'J01': -30.0}, {'J01': 5}, {'J01': 30}, 
685.0, {'J01': -36.0}, {'J01': 5}, {'J01': 36}, 
690.0, {'J01': -47.0}, {'J01': 7}, {'J01': 47}, 
695.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
700.0, {'J01': -43.0}, {'J01': 7}, {'J01': 43}, 
705.0, {'J01': -40.0}, {'J01': 7}, {'J01': 40}, 
710.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
715.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
720.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
725.0, {'J01': -37.0}, {'J01': 7}, {'J01': 37}, 
730.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
735.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
740.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
745.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
750.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
755.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
760.0, {'J01': -33.0}, {'J01': 6}, {'J01': 33}, 
765.0, {'J01': -30.0}, {'J01': 6}, {'J01': 30}, 
770.0, {'J01': -26.0}, {'J01': 6}, {'J01': 26}, 
775.0, {'J01': -23.0}, {'J01': 6}, {'J01': 23}, 
780.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
785.0, {'J01': -26.0}, {'J01': 7}, {'J01': 26}, 
790.0, {'J01': -25.0}, {'J01': 7}, {'J01': 25}, 
795.0, {'J01': -26.0}, {'J01': 7}, {'J01': 26}, 
800.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
805.0, {'J01': -34.0}, {'J01': 7}, {'J01': 34}, 
810.0, {'J01': -35.0}, {'J01': 8}, {'J01': 35}, 
815.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
820.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
825.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
830.0, {'J01': -32.0}, {'J01': 7}, {'J01': 32}, 
835.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
840.0, {'J01': -39.0}, {'J01': 7}, {'J01': 39}, 
845.0, {'J01': -37.0}, {'J01': 7}, {'J01': 37}, 
850.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
855.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
860.0, {'J01': -37.0}, {'J01': 6}, {'J01': 37}, 
865.0, {'J01': -34.0}, {'J01': 6}, {'J01': 34}, 
870.0, {'J01': -30.0}, {'J01': 4}, {'J01': 30}, 
875.0, {'J01': -27.0}, {'J01': 4}, {'J01': 27}, 
880.0, {'J01': -25.0}, {'J01': 4}, {'J01': 25}, 
885.0, {'J01': -22.0}, {'J01': 4}, {'J01': 22}, 
890.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
