5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -3.0}, {'J01': 2}, {'J01': 3}, 
20.0, {'J01': -10.091000000000001}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -6.0}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -14.182}, {'J01': 2}, {'J01': 8}, 
35.0, {'J01': -10.0}, {'J01': 2}, {'J01': 10}, 
40.0, {'J01': -17.182000000000002}, {'J01': 3}, {'J01': 11}, 
45.0, {'J01': -21.182000000000002}, {'J01': 5}, {'J01': 15}, 
50.0, {'J01': -24.534}, {'J01': 5}, {'J01': 22}, 
55.0, {'J01': -33.983000000000004}, {'J01': 6}, {'J01': 24}, 
60.0, {'J01': -30.801000000000002}, {'J01': 7}, {'J01': 27}, 
65.0, {'J01': -31.801000000000002}, {'J01': 8}, {'J01': 28}, 
70.0, {'J01': -33.801}, {'J01': 8}, {'J01': 30}, 
75.0, {'J01': -41.165000000000006}, {'J01': 7}, {'J01': 25}, 
80.0, {'J01': -34.074}, {'J01': 5}, {'J01': 21}, 
85.0, {'J01': -34.074}, {'J01': 5}, {'J01': 21}, 
90.0, {'J01': -47.347}, {'J01': 5}, {'J01': 25}, 
95.0, {'J01': -51.790000000000006}, {'J01': 7}, {'J01': 30}, 
100.0, {'J01': -72.688}, {'J01': 8}, {'J01': 36}, 
105.0, {'J01': -87.31899999999999}, {'J01': 8}, {'J01': 37}, 
110.0, {'J01': -61.154}, {'J01': 6}, {'J01': 27}, 
115.0, {'J01': -48.262}, {'J01': 6}, {'J01': 21}, 
120.0, {'J01': -74.166}, {'J01': 6}, {'J01': 24}, 
125.0, {'J01': -70.245}, {'J01': 7}, {'J01': 33}, 
130.0, {'J01': -44.517}, {'J01': 8}, {'J01': 32}, 
135.0, {'J01': -77.87}, {'J01': 8}, {'J01': 35}, 
140.0, {'J01': -83.58000000000001}, {'J01': 8}, {'J01': 40}, 
145.0, {'J01': -72.22200000000001}, {'J01': 7}, {'J01': 33}, 
150.0, {'J01': -90.507}, {'J01': 5}, {'J01': 26}, 
155.0, {'J01': -57.506}, {'J01': 5}, {'J01': 27}, 
160.0, {'J01': -64.864}, {'J01': 5}, {'J01': 30}, 
165.0, {'J01': -56.324}, {'J01': 7}, {'J01': 32}, 
170.0, {'J01': -58.5}, {'J01': 8}, {'J01': 36}, 
175.0, {'J01': -80.404}, {'J01': 7}, {'J01': 35}, 
180.0, {'J01': -75.404}, {'J01': 6}, {'J01': 30}, 
185.0, {'J01': -58.069}, {'J01': 5}, {'J01': 19}, 
190.0, {'J01': -64.251}, {'J01': 5}, {'J01': 19}, 
195.0, {'J01': -79.791}, {'J01': 5}, {'J01': 24}, 
200.0, {'J01': -74.518}, {'J01': 7}, {'J01': 28}, 
205.0, {'J01': -91.058}, {'J01': 8}, {'J01': 34}, 
210.0, {'J01': -73.421}, {'J01': 8}, {'J01': 38}, 
215.0, {'J01': -84.785}, {'J01': 8}, {'J01': 37}, 
220.0, {'J01': -76.342}, {'J01': 6}, {'J01': 28}, 
225.0, {'J01': -80.7}, {'J01': 6}, {'J01': 28}, 
230.0, {'J01': -74.43299999999999}, {'J01': 5}, {'J01': 23}, 
235.0, {'J01': -76.7}, {'J01': 5}, {'J01': 24}, 
240.0, {'J01': -69.43299999999999}, {'J01': 5}, {'J01': 18}, 
245.0, {'J01': -70.43299999999999}, {'J01': 5}, {'J01': 19}, 
250.0, {'J01': -89.149}, {'J01': 5}, {'J01': 29}, 
255.0, {'J01': -100.507}, {'J01': 7}, {'J01': 36}, 
260.0, {'J01': -105.774}, {'J01': 8}, {'J01': 40}, 
265.0, {'J01': -92.41}, {'J01': 8}, {'J01': 39}, 
270.0, {'J01': -108.308}, {'J01': 8}, {'J01': 40}, 
275.0, {'J01': -117.10900000000001}, {'J01': 8}, {'J01': 45}, 
280.0, {'J01': -115.10900000000001}, {'J01': 8}, {'J01': 43}, 
285.0, {'J01': -53.761}, {'J01': 8}, {'J01': 38}, 
290.0, {'J01': -71.307}, {'J01': 8}, {'J01': 37}, 
295.0, {'J01': -68.483}, {'J01': 8}, {'J01': 36}, 
300.0, {'J01': -71.574}, {'J01': 9}, {'J01': 36}, 
305.0, {'J01': -87.381}, {'J01': 9}, {'J01': 40}, 
310.0, {'J01': -63.744}, {'J01': 9}, {'J01': 38}, 
315.0, {'J01': -89.739}, {'J01': 9}, {'J01': 38}, 
320.0, {'J01': -78.642}, {'J01': 10}, {'J01': 38}, 
325.0, {'J01': -71.988}, {'J01': 11}, {'J01': 43}, 
330.0, {'J01': -67.63}, {'J01': 12}, {'J01': 43}, 
335.0, {'J01': -87.528}, {'J01': 13}, {'J01': 48}, 
340.0, {'J01': -99.06800000000001}, {'J01': 14}, {'J01': 49}, 
345.0, {'J01': -96.06800000000001}, {'J01': 15}, {'J01': 46}, 
350.0, {'J01': -88.886}, {'J01': 15}, {'J01': 45}, 
355.0, {'J01': -99.33500000000001}, {'J01': 15}, {'J01': 48}, 
360.0, {'J01': -95.41999999999999}, {'J01': 16}, {'J01': 49}, 
365.0, {'J01': -96.772}, {'J01': 17}, {'J01': 54}, 
370.0, {'J01': -94.244}, {'J01': 15}, {'J01': 46}, 
375.0, {'J01': -87.062}, {'J01': 15}, {'J01': 45}, 
380.0, {'J01': -98.33500000000001}, {'J01': 15}, {'J01': 47}, 
385.0, {'J01': -95.15299999999999}, {'J01': 15}, {'J01': 50}, 
390.0, {'J01': -112.05099999999999}, {'J01': 16}, {'J01': 52}, 
395.0, {'J01': -116.58500000000001}, {'J01': 16}, {'J01': 54}, 
400.0, {'J01': -128.125}, {'J01': 17}, {'J01': 55}, 
405.0, {'J01': -134.30700000000002}, {'J01': 17}, {'J01': 55}, 
410.0, {'J01': -118.148}, {'J01': 15}, {'J01': 47}, 
415.0, {'J01': -128.512}, {'J01': 15}, {'J01': 45}, 
420.0, {'J01': -130.245}, {'J01': 14}, {'J01': 48}, 
425.0, {'J01': -118.35300000000001}, {'J01': 12}, {'J01': 43}, 
430.0, {'J01': -97.84200000000001}, {'J01': 8}, {'J01': 27}, 
435.0, {'J01': -94.308}, {'J01': 6}, {'J01': 26}, 
440.0, {'J01': -83.507}, {'J01': 5}, {'J01': 19}, 
445.0, {'J01': -30.784}, {'J01': 4}, {'J01': 17}, 
450.0, {'J01': -68.251}, {'J01': 4}, {'J01': 23}, 
455.0, {'J01': -91.501}, {'J01': 7}, {'J01': 35}, 
460.0, {'J01': -65.858}, {'J01': 8}, {'J01': 39}, 
465.0, {'J01': -87.671}, {'J01': 8}, {'J01': 41}, 
470.0, {'J01': -109.48400000000001}, {'J01': 8}, {'J01': 43}, 
475.0, {'J01': -83.756}, {'J01': 8}, {'J01': 42}, 
480.0, {'J01': -84.023}, {'J01': 8}, {'J01': 41}, 
485.0, {'J01': -67.512}, {'J01': 7}, {'J01': 29}, 
490.0, {'J01': -75.791}, {'J01': 5}, {'J01': 20}, 
495.0, {'J01': -64.961}, {'J01': 5}, {'J01': 19}, 
500.0, {'J01': -50.978}, {'J01': 5}, {'J01': 15}, 
505.0, {'J01': -50.626}, {'J01': 5}, {'J01': 11}, 
510.0, {'J01': -63.257000000000005}, {'J01': 5}, {'J01': 10}, 
515.0, {'J01': -65.342}, {'J01': 5}, {'J01': 17}, 
520.0, {'J01': -64.43299999999999}, {'J01': 5}, {'J01': 13}, 
525.0, {'J01': -74.882}, {'J01': 5}, {'J01': 16}, 
530.0, {'J01': -89.24000000000001}, {'J01': 5}, {'J01': 26}, 
535.0, {'J01': -73.7}, {'J01': 5}, {'J01': 21}, 
540.0, {'J01': -83.24000000000001}, {'J01': 5}, {'J01': 20}, 
545.0, {'J01': -92.507}, {'J01': 5}, {'J01': 28}, 
550.0, {'J01': -86.24000000000001}, {'J01': 5}, {'J01': 23}, 
555.0, {'J01': -76.97300000000001}, {'J01': 5}, {'J01': 15}, 
560.0, {'J01': -79.97300000000001}, {'J01': 5}, {'J01': 18}, 
565.0, {'J01': -89.507}, {'J01': 5}, {'J01': 25}, 
570.0, {'J01': -30.067999999999998}, {'J01': 6}, {'J01': 25}, 
575.0, {'J01': -37.631}, {'J01': 7}, {'J01': 24}, 
580.0, {'J01': -51.171}, {'J01': 8}, {'J01': 27}, 
585.0, {'J01': -70.899}, {'J01': 7}, {'J01': 22}, 
590.0, {'J01': -36.897999999999996}, {'J01': 6}, {'J01': 22}, 
595.0, {'J01': -60.80200000000001}, {'J01': 6}, {'J01': 23}, 
600.0, {'J01': -66.98400000000001}, {'J01': 6}, {'J01': 23}, 
605.0, {'J01': -73.42699999999999}, {'J01': 6}, {'J01': 30}, 
610.0, {'J01': -69.154}, {'J01': 8}, {'J01': 35}, 
615.0, {'J01': -85.05199999999999}, {'J01': 8}, {'J01': 36}, 
620.0, {'J01': -90.20500000000001}, {'J01': 8}, {'J01': 41}, 
625.0, {'J01': -76.22200000000001}, {'J01': 8}, {'J01': 37}, 
630.0, {'J01': -90.85300000000001}, {'J01': 8}, {'J01': 38}, 
635.0, {'J01': -98.126}, {'J01': 8}, {'J01': 36}, 
640.0, {'J01': -58.386}, {'J01': 8}, {'J01': 37}, 
645.0, {'J01': -77.58000000000001}, {'J01': 8}, {'J01': 34}, 
650.0, {'J01': -90.029}, {'J01': 8}, {'J01': 39}, 
655.0, {'J01': -94.035}, {'J01': 8}, {'J01': 35}, 
660.0, {'J01': -63.04}, {'J01': 6}, {'J01': 30}, 
665.0, {'J01': -61.949}, {'J01': 8}, {'J01': 32}, 
670.0, {'J01': -81.114}, {'J01': 10}, {'J01': 35}, 
675.0, {'J01': -64.477}, {'J01': 10}, {'J01': 40}, 
680.0, {'J01': -83.81799999999998}, {'J01': 11}, {'J01': 45}, 
685.0, {'J01': -80.346}, {'J01': 12}, {'J01': 47}, 
690.0, {'J01': -67.926}, {'J01': 8}, {'J01': 36}, 
695.0, {'J01': -59.949}, {'J01': 6}, {'J01': 30}, 
700.0, {'J01': -56.33}, {'J01': 5}, {'J01': 24}, 
705.0, {'J01': -62.779}, {'J01': 5}, {'J01': 23}, 
710.0, {'J01': -47.141999999999996}, {'J01': 7}, {'J01': 29}, 
715.0, {'J01': -67.68199999999999}, {'J01': 8}, {'J01': 39}, 
720.0, {'J01': -78.131}, {'J01': 8}, {'J01': 42}, 
725.0, {'J01': -80.04599999999999}, {'J01': 7}, {'J01': 39}, 
730.0, {'J01': -68.421}, {'J01': 5}, {'J01': 33}, 
735.0, {'J01': -66.33600000000001}, {'J01': 4}, {'J01': 26}, 
740.0, {'J01': -47.614}, {'J01': 4}, {'J01': 24}, 
745.0, {'J01': -62.063}, {'J01': 4}, {'J01': 31}, 
750.0, {'J01': -77.779}, {'J01': 6}, {'J01': 38}, 
755.0, {'J01': -70.154}, {'J01': 7}, {'J01': 36}, 
760.0, {'J01': -67.239}, {'J01': 7}, {'J01': 38}, 
765.0, {'J01': -68.421}, {'J01': 6}, {'J01': 33}, 
770.0, {'J01': -32.801}, {'J01': 6}, {'J01': 29}, 
775.0, {'J01': -44.897999999999996}, {'J01': 6}, {'J01': 30}, 
780.0, {'J01': -59.438}, {'J01': 7}, {'J01': 34}, 
785.0, {'J01': -41.716}, {'J01': 8}, {'J01': 33}, 
790.0, {'J01': -39.892}, {'J01': 8}, {'J01': 33}, 
795.0, {'J01': -50.165000000000006}, {'J01': 8}, {'J01': 34}, 
800.0, {'J01': -34.625}, {'J01': 8}, {'J01': 29}, 
805.0, {'J01': -39.159}, {'J01': 8}, {'J01': 31}, 
810.0, {'J01': -35.068}, {'J01': 8}, {'J01': 30}, 
815.0, {'J01': -44.517}, {'J01': 8}, {'J01': 32}, 
820.0, {'J01': -54.522999999999996}, {'J01': 8}, {'J01': 34}, 
825.0, {'J01': -58.796}, {'J01': 8}, {'J01': 29}, 
830.0, {'J01': -50.057}, {'J01': 6}, {'J01': 27}, 
835.0, {'J01': -53.239000000000004}, {'J01': 5}, {'J01': 24}, 
840.0, {'J01': -57.245000000000005}, {'J01': 5}, {'J01': 20}, 
845.0, {'J01': -57.864}, {'J01': 5}, {'J01': 23}, 
850.0, {'J01': -33.335}, {'J01': 5}, {'J01': 27}, 
855.0, {'J01': -72.688}, {'J01': 8}, {'J01': 36}, 
860.0, {'J01': -77.87}, {'J01': 8}, {'J01': 35}, 
865.0, {'J01': -92.67699999999999}, {'J01': 8}, {'J01': 38}, 
870.0, {'J01': -62.590999999999994}, {'J01': 8}, {'J01': 37}, 
875.0, {'J01': -68.03999999999999}, {'J01': 8}, {'J01': 35}, 
880.0, {'J01': -83.84700000000001}, {'J01': 8}, {'J01': 39}, 
885.0, {'J01': -89.20500000000001}, {'J01': 8}, {'J01': 40}, 
890.0, {'J01': -55.295}, {'J01': 8}, {'J01': 37}, 
895.0, {'J01': -71.75}, {'J01': 8}, {'J01': 38}, 
900.0, {'J01': -60.477000000000004}, {'J01': 8}, {'J01': 36}, 
905.0, {'J01': -70.102}, {'J01': 9}, {'J01': 40}, 
910.0, {'J01': -74.721}, {'J01': 11}, {'J01': 47}, 
915.0, {'J01': -65.92}, {'J01': 9}, {'J01': 42}, 
920.0, {'J01': -61.301}, {'J01': 7}, {'J01': 35}, 
925.0, {'J01': -80.114}, {'J01': 7}, {'J01': 34}, 
930.0, {'J01': -75.84700000000001}, {'J01': 6}, {'J01': 31}, 
935.0, {'J01': -70.137}, {'J01': 4}, {'J01': 26}, 
940.0, {'J01': -35.074}, {'J01': 4}, {'J01': 22}, 
945.0, {'J01': -57.063}, {'J01': 6}, {'J01': 26}, 
950.0, {'J01': -38.426}, {'J01': 8}, {'J01': 29}, 
955.0, {'J01': -50.522999999999996}, {'J01': 8}, {'J01': 30}, 
960.0, {'J01': -60.239000000000004}, {'J01': 7}, {'J01': 31}, 
965.0, {'J01': -58.590999999999994}, {'J01': 7}, {'J01': 33}, 
970.0, {'J01': -61.034000000000006}, {'J01': 7}, {'J01': 36}, 
975.0, {'J01': -67.659}, {'J01': 8}, {'J01': 37}, 
980.0, {'J01': -69.659}, {'J01': 8}, {'J01': 39}, 
985.0, {'J01': -68.659}, {'J01': 8}, {'J01': 38}, 
990.0, {'J01': -59.772999999999996}, {'J01': 7}, {'J01': 28}, 
995.0, {'J01': -39.135999999999996}, {'J01': 7}, {'J01': 29}, 
1000.0, {'J01': -47.761}, {'J01': 7}, {'J01': 32}, 
1005.0, {'J01': -62.477000000000004}, {'J01': 8}, {'J01': 38}, 
1010.0, {'J01': -68.568}, {'J01': 8}, {'J01': 41}, 
1015.0, {'J01': -70.83500000000001}, {'J01': 8}, {'J01': 42}, 
1020.0, {'J01': -62.829}, {'J01': 8}, {'J01': 42}, 
1025.0, {'J01': -51.852000000000004}, {'J01': 7}, {'J01': 33}, 
1030.0, {'J01': -42.318}, {'J01': 5}, {'J01': 26}, 
1035.0, {'J01': -38.608000000000004}, {'J01': 5}, {'J01': 23}, 
1040.0, {'J01': -37.699}, {'J01': 4}, {'J01': 19}, 
1045.0, {'J01': -14.0}, {'J01': 4}, {'J01': 14}, 
1050.0, {'J01': -21.182000000000002}, {'J01': 4}, {'J01': 15}, 
1055.0, {'J01': -37.631}, {'J01': 7}, {'J01': 24}, 
1060.0, {'J01': -43.631}, {'J01': 8}, {'J01': 30}, 
1065.0, {'J01': -48.813}, {'J01': 8}, {'J01': 29}, 
1070.0, {'J01': -54.995000000000005}, {'J01': 8}, {'J01': 29}, 
1075.0, {'J01': -57.796}, {'J01': 8}, {'J01': 28}, 
1080.0, {'J01': -43.722}, {'J01': 8}, {'J01': 27}, 
1085.0, {'J01': -39.897999999999996}, {'J01': 7}, {'J01': 25}, 
1090.0, {'J01': -45.08}, {'J01': 7}, {'J01': 24}, 
1095.0, {'J01': -48.171}, {'J01': 6}, {'J01': 24}, 
1100.0, {'J01': -38.989000000000004}, {'J01': 5}, {'J01': 21}, 
1105.0, {'J01': -54.529}, {'J01': 5}, {'J01': 26}, 
1110.0, {'J01': -50.529}, {'J01': 4}, {'J01': 22}, 
1115.0, {'J01': -39.529}, {'J01': 4}, {'J01': 11}, 
1120.0, {'J01': -38.529}, {'J01': 4}, {'J01': 10}, 
1125.0, {'J01': -50.893}, {'J01': 4}, {'J01': 10}, 
1130.0, {'J01': -50.893}, {'J01': 4}, {'J01': 10}, 
1135.0, {'J01': -45.620000000000005}, {'J01': 4}, {'J01': 14}, 
1140.0, {'J01': -55.245000000000005}, {'J01': 3}, {'J01': 18}, 
1145.0, {'J01': -68.43299999999999}, {'J01': 3}, {'J01': 17}, 
1150.0, {'J01': -87.706}, {'J01': 6}, {'J01': 27}, 
1155.0, {'J01': -85.43900000000001}, {'J01': 6}, {'J01': 26}, 
1160.0, {'J01': -25.534}, {'J01': 5}, {'J01': 23}, 
1165.0, {'J01': -49.347}, {'J01': 5}, {'J01': 27}, 
1170.0, {'J01': -57.438}, {'J01': 7}, {'J01': 32}, 
1175.0, {'J01': -60.705}, {'J01': 8}, {'J01': 34}, 
1180.0, {'J01': -59.972}, {'J01': 8}, {'J01': 32}, 
1185.0, {'J01': -59.620000000000005}, {'J01': 8}, {'J01': 28}, 
1190.0, {'J01': -35.449}, {'J01': 8}, {'J01': 28}, 
1195.0, {'J01': -60.262}, {'J01': 8}, {'J01': 33}, 
1200.0, {'J01': -66.063}, {'J01': 8}, {'J01': 35}, 
1205.0, {'J01': -89.96700000000001}, {'J01': 8}, {'J01': 36}, 
1210.0, {'J01': -45.25}, {'J01': 8}, {'J01': 34}, 
1215.0, {'J01': -69.97800000000001}, {'J01': 8}, {'J01': 34}, 
1220.0, {'J01': -62.620000000000005}, {'J01': 7}, {'J01': 31}, 
1225.0, {'J01': -50.086}, {'J01': 5}, {'J01': 21}, 
1230.0, {'J01': -53.001000000000005}, {'J01': 4}, {'J01': 19}, 
1235.0, {'J01': -45.086}, {'J01': 4}, {'J01': 16}, 
1240.0, {'J01': -47.353}, {'J01': 3}, {'J01': 17}, 
1245.0, {'J01': -42.086}, {'J01': 3}, {'J01': 13}, 
1250.0, {'J01': -35.256}, {'J01': 4}, {'J01': 16}, 
1255.0, {'J01': -51.154}, {'J01': 4}, {'J01': 17}, 
1260.0, {'J01': -19.625}, {'J01': 4}, {'J01': 14}, 
1265.0, {'J01': -31.159}, {'J01': 3}, {'J01': 23}, 
1270.0, {'J01': -43.25}, {'J01': 7}, {'J01': 32}, 
1275.0, {'J01': -53.699}, {'J01': 8}, {'J01': 35}, 
1280.0, {'J01': -61.972}, {'J01': 8}, {'J01': 34}, 
1285.0, {'J01': -55.438}, {'J01': 8}, {'J01': 30}, 
1290.0, {'J01': -42.813}, {'J01': 8}, {'J01': 23}, 
1295.0, {'J01': -40.897999999999996}, {'J01': 8}, {'J01': 26}, 
1300.0, {'J01': -61.444}, {'J01': 8}, {'J01': 28}, 
1305.0, {'J01': -61.620000000000005}, {'J01': 8}, {'J01': 30}, 
1310.0, {'J01': -60.620000000000005}, {'J01': 8}, {'J01': 29}, 
1315.0, {'J01': -67.154}, {'J01': 8}, {'J01': 33}, 
1320.0, {'J01': -49.517}, {'J01': 8}, {'J01': 37}, 
1325.0, {'J01': -53.432}, {'J01': 7}, {'J01': 36}, 
1330.0, {'J01': -54.438}, {'J01': 6}, {'J01': 29}, 
1335.0, {'J01': -64.79599999999999}, {'J01': 6}, {'J01': 35}, 
