445.0, {'J01': -56.358999999999995}, {'J01': 4}, {'J01': 18}, 
450.0, {'J01': -57.358999999999995}, {'J01': 4}, {'J01': 19}, 
455.0, {'J01': -64.16}, {'J01': 4}, {'J01': 22}, 
460.0, {'J01': -47.262}, {'J01': 4}, {'J01': 20}, 
465.0, {'J01': -80.43900000000001}, {'J01': 4}, {'J01': 21}, 
470.0, {'J01': -77.172}, {'J01': 4}, {'J01': 19}, 
475.0, {'J01': -83.172}, {'J01': 4}, {'J01': 25}, 
480.0, {'J01': -83.172}, {'J01': 4}, {'J01': 25}, 
485.0, {'J01': -79.172}, {'J01': 4}, {'J01': 21}, 
490.0, {'J01': -75.172}, {'J01': 4}, {'J01': 17}, 
495.0, {'J01': -60.717}, {'J01': 4}, {'J01': 18}, 
500.0, {'J01': -79.172}, {'J01': 4}, {'J01': 21}, 
505.0, {'J01': -77.172}, {'J01': 4}, {'J01': 19}, 
510.0, {'J01': -79.97300000000001}, {'J01': 4}, {'J01': 18}, 
515.0, {'J01': -76.43900000000001}, {'J01': 4}, {'J01': 17}, 
520.0, {'J01': -47.438}, {'J01': 4}, {'J01': 22}, 
525.0, {'J01': -41.25}, {'J01': 7}, {'J01': 30}, 
530.0, {'J01': -56.705}, {'J01': 8}, {'J01': 30}, 
535.0, {'J01': -80.7}, {'J01': 7}, {'J01': 28}, 
540.0, {'J01': -80.61500000000001}, {'J01': 4}, {'J01': 23}, 
545.0, {'J01': -23.182000000000002}, {'J01': 4}, {'J01': 17}, 
550.0, {'J01': -33.455}, {'J01': 4}, {'J01': 18}, 
555.0, {'J01': -33.449}, {'J01': 7}, {'J01': 26}, 
560.0, {'J01': -49.989000000000004}, {'J01': 8}, {'J01': 32}, 
565.0, {'J01': -64.444}, {'J01': 7}, {'J01': 31}, 
570.0, {'J01': -50.432}, {'J01': 7}, {'J01': 33}, 
575.0, {'J01': -59.438}, {'J01': 7}, {'J01': 34}, 
580.0, {'J01': -66.97200000000001}, {'J01': 7}, {'J01': 39}, 
585.0, {'J01': -66.5}, {'J01': 8}, {'J01': 44}, 
590.0, {'J01': -74.33600000000001}, {'J01': 6}, {'J01': 34}, 
595.0, {'J01': -61.358999999999995}, {'J01': 4}, {'J01': 23}, 
600.0, {'J01': -77.638}, {'J01': 4}, {'J01': 22}, 
605.0, {'J01': -43.989000000000004}, {'J01': 4}, {'J01': 26}, 
610.0, {'J01': -59.620000000000005}, {'J01': 4}, {'J01': 28}, 
615.0, {'J01': -63.183}, {'J01': 4}, {'J01': 23}, 
620.0, {'J01': -26.182000000000002}, {'J01': 4}, {'J01': 20}, 
625.0, {'J01': -39.807}, {'J01': 4}, {'J01': 28}, 
630.0, {'J01': -50.432}, {'J01': 6}, {'J01': 33}, 
635.0, {'J01': -60.881}, {'J01': 8}, {'J01': 36}, 
640.0, {'J01': -78.16}, {'J01': 8}, {'J01': 36}, 
645.0, {'J01': -95.882}, {'J01': 8}, {'J01': 37}, 
650.0, {'J01': -80.81400000000001}, {'J01': 6}, {'J01': 27}, 
655.0, {'J01': -81.172}, {'J01': 4}, {'J01': 23}, 
660.0, {'J01': -33.807}, {'J01': 4}, {'J01': 22}, 
665.0, {'J01': -41.522999999999996}, {'J01': 4}, {'J01': 21}, 
670.0, {'J01': -65.251}, {'J01': 3}, {'J01': 20}, 
675.0, {'J01': -47.347}, {'J01': 4}, {'J01': 25}, 
680.0, {'J01': -50.989000000000004}, {'J01': 7}, {'J01': 33}, 
685.0, {'J01': -68.79599999999999}, {'J01': 8}, {'J01': 39}, 
690.0, {'J01': -73.97800000000001}, {'J01': 8}, {'J01': 38}, 
695.0, {'J01': -82.42699999999999}, {'J01': 8}, {'J01': 39}, 
700.0, {'J01': -92.143}, {'J01': 8}, {'J01': 40}, 
705.0, {'J01': -82.60900000000001}, {'J01': 6}, {'J01': 33}, 
710.0, {'J01': -74.60900000000001}, {'J01': 4}, {'J01': 25}, 
715.0, {'J01': -27.625}, {'J01': 4}, {'J01': 22}, 
720.0, {'J01': -52.614}, {'J01': 4}, {'J01': 29}, 
725.0, {'J01': -61.705}, {'J01': 7}, {'J01': 35}, 
730.0, {'J01': -74.154}, {'J01': 8}, {'J01': 40}, 
735.0, {'J01': -42.716}, {'J01': 8}, {'J01': 34}, 
740.0, {'J01': -46.074}, {'J01': 8}, {'J01': 33}, 
745.0, {'J01': -40.983000000000004}, {'J01': 8}, {'J01': 31}, 
750.0, {'J01': -51.790000000000006}, {'J01': 6}, {'J01': 30}, 
755.0, {'J01': -36.074}, {'J01': 4}, {'J01': 23}, 
760.0, {'J01': -32.807}, {'J01': 4}, {'J01': 21}, 
