5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -5.091}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -6.0}, {'J01': 2}, {'J01': 6}, 
30.0, {'J01': -7.0}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -12.358}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -17.54}, {'J01': 2}, {'J01': 7}, 
45.0, {'J01': -33.256}, {'J01': 3}, {'J01': 14}, 
50.0, {'J01': -34.159}, {'J01': 6}, {'J01': 26}, 
55.0, {'J01': -36.807}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -36.074}, {'J01': 6}, {'J01': 23}, 
65.0, {'J01': -40.074}, {'J01': 6}, {'J01': 27}, 
70.0, {'J01': -42.432}, {'J01': 5}, {'J01': 25}, 
75.0, {'J01': -50.154}, {'J01': 4}, {'J01': 16}, 
80.0, {'J01': -23.983000000000004}, {'J01': 4}, {'J01': 14}, 
85.0, {'J01': -37.165000000000006}, {'J01': 4}, {'J01': 21}, 
90.0, {'J01': -43.165000000000006}, {'J01': 7}, {'J01': 27}, 
95.0, {'J01': -50.522999999999996}, {'J01': 8}, {'J01': 30}, 
100.0, {'J01': -71.245}, {'J01': 8}, {'J01': 34}, 
105.0, {'J01': -63.887}, {'J01': 7}, {'J01': 31}, 
110.0, {'J01': -68.251}, {'J01': 5}, {'J01': 23}, 
115.0, {'J01': -74.967}, {'J01': 4}, {'J01': 21}, 
120.0, {'J01': -80.507}, {'J01': 4}, {'J01': 16}, 
125.0, {'J01': -31.432}, {'J01': 4}, {'J01': 14}, 
130.0, {'J01': -52.42100000000001}, {'J01': 4}, {'J01': 17}, 
135.0, {'J01': -67.143}, {'J01': 5}, {'J01': 15}, 
140.0, {'J01': -80.768}, {'J01': 5}, {'J01': 23}, 
145.0, {'J01': -77.592}, {'J01': 6}, {'J01': 18}, 
150.0, {'J01': -88.308}, {'J01': 6}, {'J01': 20}, 
155.0, {'J01': -98.575}, {'J01': 6}, {'J01': 29}, 
