5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -5.6, 'top_mgr': 0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -10.0, 'top_mgr': 3}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -9.200000000000001, 'top_mgr': 2}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': -27.200000000000003, 'top_mgr': 0}, {'J01': 3}, {'J01': 8}, 
35.0, {'J01': -25.400000000000002, 'top_mgr': 4}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -37.4, 'top_mgr': 4}, {'J01': 3}, {'J01': 8}, 
45.0, {'J01': -58.2, 'top_mgr': 4}, {'J01': 3}, {'J01': 10}, 
50.0, {'J01': -80.39999999999999, 'top_mgr': 2}, {'J01': 3}, {'J01': 12}, 
55.0, {'J01': -102.39999999999999, 'top_mgr': 3}, {'J01': 5}, {'J01': 18}, 
60.0, {'J01': -120.0, 'top_mgr': 2}, {'J01': 6}, {'J01': 24}, 
65.0, {'J01': -102.2, 'top_mgr': 9}, {'J01': 5}, {'J01': 20}, 
70.0, {'J01': -132.0, 'top_mgr': 2}, {'J01': 5}, {'J01': 19}, 
75.0, {'J01': -170.20000000000002, 'top_mgr': 1}, {'J01': 5}, {'J01': 24}, 
80.0, {'J01': -192.20000000000002, 'top_mgr': 2}, {'J01': 6}, {'J01': 29}, 
85.0, {'J01': -234.20000000000002, 'top_mgr': 0}, {'J01': 8}, {'J01': 33}, 
90.0, {'J01': -274.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 33}, 
95.0, {'J01': -259.8, 'top_mgr': 5}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -214.4, 'top_mgr': 6}, {'J01': 8}, {'J01': 27}, 
105.0, {'J01': -247.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 30}, 
110.0, {'J01': -292.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
115.0, {'J01': -320.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
120.0, {'J01': -335.80000000000007, 'top_mgr': 4}, {'J01': 8}, {'J01': 34}, 
125.0, {'J01': -362.00000000000006, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
130.0, {'J01': -405.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
135.0, {'J01': -448.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 43}, 
140.0, {'J01': -488.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 43}, 
145.0, {'J01': -450.79999999999995, 'top_mgr': 9}, {'J01': 7}, {'J01': 38}, 
150.0, {'J01': -298.0, 'top_mgr': 14}, {'J01': 5}, {'J01': 25}, 
155.0, {'J01': -289.40000000000003, 'top_mgr': 10}, {'J01': 5}, {'J01': 21}, 
160.0, {'J01': -239.60000000000002, 'top_mgr': 9}, {'J01': 6}, {'J01': 19}, 
165.0, {'J01': -205.4, 'top_mgr': 8}, {'J01': 7}, {'J01': 20}, 
170.0, {'J01': -238.60000000000002, 'top_mgr': 5}, {'J01': 9}, {'J01': 24}, 
175.0, {'J01': -276.6000000000001, 'top_mgr': 7}, {'J01': 10}, {'J01': 26}, 
180.0, {'J01': -267.0, 'top_mgr': 9}, {'J01': 8}, {'J01': 22}, 
185.0, {'J01': -252.4, 'top_mgr': 6}, {'J01': 6}, {'J01': 21}, 
190.0, {'J01': -288.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 28}, 
195.0, {'J01': -328.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 28}, 
200.0, {'J01': -336.0, 'top_mgr': 7}, {'J01': 6}, {'J01': 25}, 
205.0, {'J01': -323.4, 'top_mgr': 4}, {'J01': 6}, {'J01': 25}, 
210.0, {'J01': -362.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 28}, 
215.0, {'J01': -330.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
220.0, {'J01': -289.00000000000006, 'top_mgr': 4}, {'J01': 9}, {'J01': 35}, 
225.0, {'J01': -318.6, 'top_mgr': 1}, {'J01': 9}, {'J01': 36}, 
230.0, {'J01': -268.20000000000005, 'top_mgr': 2}, {'J01': 9}, {'J01': 36}, 
235.0, {'J01': -273.59999999999997, 'top_mgr': 4}, {'J01': 9}, {'J01': 35}, 
240.0, {'J01': -285.6, 'top_mgr': 1}, {'J01': 9}, {'J01': 38}, 
245.0, {'J01': -307.0, 'top_mgr': 2}, {'J01': 9}, {'J01': 40}, 
250.0, {'J01': -332.20000000000005, 'top_mgr': 4}, {'J01': 10}, {'J01': 40}, 
255.0, {'J01': -345.40000000000003, 'top_mgr': 1}, {'J01': 10}, {'J01': 41}, 
260.0, {'J01': -388.40000000000003, 'top_mgr': 0}, {'J01': 11}, {'J01': 44}, 
265.0, {'J01': -432.20000000000005, 'top_mgr': 0}, {'J01': 12}, {'J01': 47}, 
270.0, {'J01': -443.6, 'top_mgr': 5}, {'J01': 13}, {'J01': 43}, 
275.0, {'J01': -410.20000000000005, 'top_mgr': 7}, {'J01': 12}, {'J01': 38}, 
280.0, {'J01': -421.80000000000007, 'top_mgr': 1}, {'J01': 12}, {'J01': 42}, 
285.0, {'J01': -431.4000000000001, 'top_mgr': 2}, {'J01': 12}, {'J01': 41}, 
290.0, {'J01': -468.4000000000001, 'top_mgr': 0}, {'J01': 13}, {'J01': 42}, 
295.0, {'J01': -514.0000000000001, 'top_mgr': 0}, {'J01': 16}, {'J01': 49}, 
300.0, {'J01': -561.0000000000001, 'top_mgr': 0}, {'J01': 16}, {'J01': 51}, 
305.0, {'J01': -593.0000000000001, 'top_mgr': 2}, {'J01': 16}, {'J01': 50}, 
310.0, {'J01': -569.0, 'top_mgr': 7}, {'J01': 14}, {'J01': 43}, 
315.0, {'J01': -404.40000000000003, 'top_mgr': 19}, {'J01': 9}, {'J01': 25}, 
320.0, {'J01': -421.40000000000003, 'top_mgr': 10}, {'J01': 6}, {'J01': 20}, 
325.0, {'J01': -278.4, 'top_mgr': 9}, {'J01': 5}, {'J01': 16}, 
330.0, {'J01': -269.0, 'top_mgr': 5}, {'J01': 5}, {'J01': 20}, 
335.0, {'J01': -301.00000000000006, 'top_mgr': 2}, {'J01': 4}, {'J01': 28}, 
340.0, {'J01': -316.6, 'top_mgr': 9}, {'J01': 4}, {'J01': 21}, 
345.0, {'J01': -278.0, 'top_mgr': 11}, {'J01': 4}, {'J01': 15}, 
350.0, {'J01': -306.6, 'top_mgr': 3}, {'J01': 4}, {'J01': 18}, 
355.0, {'J01': -326.00000000000006, 'top_mgr': 6}, {'J01': 4}, {'J01': 15}, 
360.0, {'J01': -318.6, 'top_mgr': 5}, {'J01': 4}, {'J01': 18}, 
365.0, {'J01': -288.80000000000007, 'top_mgr': 3}, {'J01': 4}, {'J01': 22}, 
370.0, {'J01': -195.60000000000002, 'top_mgr': 6}, {'J01': 6}, {'J01': 24}, 
375.0, {'J01': -218.00000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 29}, 
380.0, {'J01': -260.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 32}, 
385.0, {'J01': -302.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 34}, 
390.0, {'J01': -254.60000000000002, 'top_mgr': 11}, {'J01': 6}, {'J01': 23}, 
395.0, {'J01': -251.00000000000003, 'top_mgr': 6}, {'J01': 4}, {'J01': 21}, 
400.0, {'J01': -276.00000000000006, 'top_mgr': 9}, {'J01': 4}, {'J01': 18}, 
405.0, {'J01': -257.59999999999997, 'top_mgr': 9}, {'J01': 4}, {'J01': 14}, 
410.0, {'J01': -286.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 15}, 
415.0, {'J01': -314.6, 'top_mgr': 8}, {'J01': 4}, {'J01': 15}, 
420.0, {'J01': -343.6, 'top_mgr': 3}, {'J01': 4}, {'J01': 16}, 
425.0, {'J01': -286.40000000000003, 'top_mgr': 7}, {'J01': 4}, {'J01': 13}, 
430.0, {'J01': -268.0, 'top_mgr': 4}, {'J01': 3}, {'J01': 14}, 
435.0, {'J01': -282.0, 'top_mgr': 1}, {'J01': 3}, {'J01': 20}, 
440.0, {'J01': -296.0, 'top_mgr': 4}, {'J01': 4}, {'J01': 20}, 
445.0, {'J01': -320.20000000000005, 'top_mgr': 3}, {'J01': 4}, {'J01': 20}, 
450.0, {'J01': -325.6, 'top_mgr': 8}, {'J01': 4}, {'J01': 16}, 
455.0, {'J01': -334.2, 'top_mgr': 5}, {'J01': 4}, {'J01': 16}, 
460.0, {'J01': -365.8, 'top_mgr': 5}, {'J01': 4}, {'J01': 18}, 
465.0, {'J01': -246.2, 'top_mgr': 6}, {'J01': 4}, {'J01': 17}, 
470.0, {'J01': -262.6, 'top_mgr': 2}, {'J01': 4}, {'J01': 18}, 
475.0, {'J01': -204.8, 'top_mgr': 5}, {'J01': 4}, {'J01': 17}, 
480.0, {'J01': -242.4, 'top_mgr': 0}, {'J01': 4}, {'J01': 21}, 
485.0, {'J01': -272.59999999999997, 'top_mgr': 2}, {'J01': 4}, {'J01': 26}, 
490.0, {'J01': -266.0, 'top_mgr': 4}, {'J01': 5}, {'J01': 27}, 
495.0, {'J01': -279.0, 'top_mgr': 5}, {'J01': 6}, {'J01': 29}, 
500.0, {'J01': -312.40000000000003, 'top_mgr': 2}, {'J01': 7}, {'J01': 31}, 
505.0, {'J01': -352.40000000000003, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
510.0, {'J01': -378.4000000000001, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
515.0, {'J01': -251.6, 'top_mgr': 8}, {'J01': 7}, {'J01': 32}, 
520.0, {'J01': -249.79999999999998, 'top_mgr': 4}, {'J01': 7}, {'J01': 33}, 
525.0, {'J01': -295.99999999999994, 'top_mgr': 0}, {'J01': 7}, {'J01': 39}, 
530.0, {'J01': -318.19999999999993, 'top_mgr': 2}, {'J01': 7}, {'J01': 39}, 
535.0, {'J01': -368.19999999999993, 'top_mgr': 0}, {'J01': 8}, {'J01': 45}, 
540.0, {'J01': -383.3999999999999, 'top_mgr': 3}, {'J01': 8}, {'J01': 43}, 
545.0, {'J01': -380.8, 'top_mgr': 7}, {'J01': 8}, {'J01': 40}, 
550.0, {'J01': -412.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 40}, 
555.0, {'J01': -424.8, 'top_mgr': 7}, {'J01': 7}, {'J01': 36}, 
560.0, {'J01': -437.0, 'top_mgr': 5}, {'J01': 6}, {'J01': 33}, 
565.0, {'J01': -450.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 30}, 
570.0, {'J01': -431.6, 'top_mgr': 5}, {'J01': 7}, {'J01': 26}, 
575.0, {'J01': -397.79999999999995, 'top_mgr': 8}, {'J01': 7}, {'J01': 24}, 
580.0, {'J01': -426.80000000000007, 'top_mgr': 6}, {'J01': 8}, {'J01': 25}, 
585.0, {'J01': -414.0, 'top_mgr': 9}, {'J01': 6}, {'J01': 23}, 
590.0, {'J01': -365.4, 'top_mgr': 5}, {'J01': 5}, {'J01': 27}, 
595.0, {'J01': -413.20000000000005, 'top_mgr': 1}, {'J01': 6}, {'J01': 33}, 
600.0, {'J01': -464.20000000000005, 'top_mgr': 0}, {'J01': 6}, {'J01': 36}, 
605.0, {'J01': -504.6, 'top_mgr': 2}, {'J01': 7}, {'J01': 42}, 
610.0, {'J01': -468.0, 'top_mgr': 8}, {'J01': 7}, {'J01': 35}, 
615.0, {'J01': -424.80000000000007, 'top_mgr': 5}, {'J01': 7}, {'J01': 34}, 
620.0, {'J01': -427.00000000000006, 'top_mgr': 6}, {'J01': 7}, {'J01': 33}, 
625.0, {'J01': -457.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 35}, 
630.0, {'J01': -458.8, 'top_mgr': 6}, {'J01': 8}, {'J01': 37}, 
