5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -1.5}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -34.0}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -85.0}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -150.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -154.0}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -237.5}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -197.0}, {'J01': 3}, {'J01': 10}, 
50.0, {'J01': -154.5}, {'J01': 3}, {'J01': 13}, 
55.0, {'J01': -232.5}, {'J01': 4}, {'J01': 16}, 
60.0, {'J01': -385.0}, {'J01': 5}, {'J01': 22}, 
65.0, {'J01': -400.0}, {'J01': 5}, {'J01': 22}, 
70.0, {'J01': -229.0}, {'J01': 4}, {'J01': 13}, 
75.0, {'J01': -247.5}, {'J01': 4}, {'J01': 13}, 
80.0, {'J01': -398.5}, {'J01': 4}, {'J01': 22}, 
85.0, {'J01': -553.5}, {'J01': 5}, {'J01': 25}, 
90.0, {'J01': -523.0}, {'J01': 7}, {'J01': 20}, 
95.0, {'J01': -693.0}, {'J01': 8}, {'J01': 26}, 
100.0, {'J01': -968.5}, {'J01': 8}, {'J01': 31}, 
105.0, {'J01': -853.0}, {'J01': 7}, {'J01': 27}, 
110.0, {'J01': -563.5}, {'J01': 5}, {'J01': 17}, 
115.0, {'J01': -535.5}, {'J01': 4}, {'J01': 17}, 
120.0, {'J01': -718.0}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -785.5}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -839.0}, {'J01': 8}, {'J01': 28}, 
135.0, {'J01': -1125.0}, {'J01': 8}, {'J01': 32}, 
140.0, {'J01': -1454.0}, {'J01': 8}, {'J01': 36}, 
145.0, {'J01': -1419.5}, {'J01': 7}, {'J01': 33}, 
150.0, {'J01': -815.5}, {'J01': 5}, {'J01': 24}, 
155.0, {'J01': -895.5}, {'J01': 5}, {'J01': 24}, 
160.0, {'J01': -1143.0}, {'J01': 5}, {'J01': 29}, 
165.0, {'J01': -1300.5}, {'J01': 7}, {'J01': 35}, 
170.0, {'J01': -1340.5}, {'J01': 8}, {'J01': 34}, 
175.0, {'J01': -1524.5}, {'J01': 8}, {'J01': 35}, 
180.0, {'J01': -1889.5}, {'J01': 8}, {'J01': 40}, 
185.0, {'J01': -1871.0}, {'J01': 9}, {'J01': 38}, 
190.0, {'J01': -1165.0}, {'J01': 5}, {'J01': 25}, 
195.0, {'J01': -1055.0}, {'J01': 4}, {'J01': 23}, 
200.0, {'J01': -1261.0}, {'J01': 4}, {'J01': 26}, 
205.0, {'J01': -1482.5}, {'J01': 6}, {'J01': 31}, 
210.0, {'J01': -1742.5}, {'J01': 8}, {'J01': 35}, 
215.0, {'J01': -2018.5}, {'J01': 8}, {'J01': 34}, 
220.0, {'J01': -2359.0}, {'J01': 8}, {'J01': 35}, 
225.0, {'J01': -2014.5}, {'J01': 7}, {'J01': 29}, 
230.0, {'J01': -1018.0}, {'J01': 4}, {'J01': 16}, 
235.0, {'J01': -1063.5}, {'J01': 4}, {'J01': 17}, 
240.0, {'J01': -1239.5}, {'J01': 4}, {'J01': 21}, 
245.0, {'J01': -895.0}, {'J01': 7}, {'J01': 24}, 
250.0, {'J01': -893.0}, {'J01': 8}, {'J01': 26}, 
255.0, {'J01': -1158.0}, {'J01': 8}, {'J01': 29}, 
260.0, {'J01': -1454.0}, {'J01': 8}, {'J01': 31}, 
265.0, {'J01': -1319.5}, {'J01': 7}, {'J01': 28}, 
270.0, {'J01': -579.5}, {'J01': 4}, {'J01': 17}, 
275.0, {'J01': -604.5}, {'J01': 4}, {'J01': 16}, 
280.0, {'J01': -773.5}, {'J01': 4}, {'J01': 21}, 
285.0, {'J01': -826.5}, {'J01': 7}, {'J01': 24}, 
290.0, {'J01': -923.5}, {'J01': 8}, {'J01': 26}, 
295.0, {'J01': -1106.5}, {'J01': 8}, {'J01': 29}, 
300.0, {'J01': -1411.0}, {'J01': 8}, {'J01': 35}, 
305.0, {'J01': -1387.0}, {'J01': 7}, {'J01': 32}, 
310.0, {'J01': -818.5}, {'J01': 5}, {'J01': 20}, 
315.0, {'J01': -732.0}, {'J01': 4}, {'J01': 19}, 
320.0, {'J01': -893.5}, {'J01': 4}, {'J01': 25}, 
325.0, {'J01': -965.5}, {'J01': 6}, {'J01': 25}, 
330.0, {'J01': -1057.5}, {'J01': 8}, {'J01': 28}, 
335.0, {'J01': -1283.5}, {'J01': 8}, {'J01': 30}, 
340.0, {'J01': -1591.5}, {'J01': 8}, {'J01': 34}, 
345.0, {'J01': -1450.0}, {'J01': 7}, {'J01': 29}, 
350.0, {'J01': -624.5}, {'J01': 4}, {'J01': 17}, 
355.0, {'J01': -610.0}, {'J01': 4}, {'J01': 17}, 
360.0, {'J01': -791.0}, {'J01': 4}, {'J01': 22}, 
365.0, {'J01': -907.5}, {'J01': 7}, {'J01': 27}, 
370.0, {'J01': -1017.5}, {'J01': 8}, {'J01': 31}, 
375.0, {'J01': -1188.5}, {'J01': 8}, {'J01': 30}, 
380.0, {'J01': -1469.5}, {'J01': 8}, {'J01': 32}, 
385.0, {'J01': -1112.5}, {'J01': 7}, {'J01': 24}, 
390.0, {'J01': -578.0}, {'J01': 4}, {'J01': 17}, 
395.0, {'J01': -576.0}, {'J01': 4}, {'J01': 18}, 
400.0, {'J01': -767.0}, {'J01': 4}, {'J01': 23}, 
405.0, {'J01': -837.0}, {'J01': 6}, {'J01': 26}, 
410.0, {'J01': -873.5}, {'J01': 8}, {'J01': 28}, 
415.0, {'J01': -1112.5}, {'J01': 8}, {'J01': 32}, 
420.0, {'J01': -1452.0}, {'J01': 8}, {'J01': 38}, 
425.0, {'J01': -1319.0}, {'J01': 7}, {'J01': 34}, 
430.0, {'J01': -679.0}, {'J01': 4}, {'J01': 20}, 
435.0, {'J01': -653.5}, {'J01': 4}, {'J01': 19}, 
440.0, {'J01': -753.5}, {'J01': 4}, {'J01': 21}, 
445.0, {'J01': -922.0}, {'J01': 6}, {'J01': 28}, 
450.0, {'J01': -1137.5}, {'J01': 8}, {'J01': 30}, 
455.0, {'J01': -1162.5}, {'J01': 8}, {'J01': 28}, 
460.0, {'J01': -1455.5}, {'J01': 8}, {'J01': 33}, 
465.0, {'J01': -1444.0}, {'J01': 8}, {'J01': 29}, 
470.0, {'J01': -1087.5}, {'J01': 6}, {'J01': 21}, 
475.0, {'J01': -1133.5}, {'J01': 6}, {'J01': 22}, 
480.0, {'J01': -1323.0}, {'J01': 6}, {'J01': 27}, 
485.0, {'J01': -1339.0}, {'J01': 8}, {'J01': 28}, 
490.0, {'J01': -1433.0}, {'J01': 8}, {'J01': 29}, 
495.0, {'J01': -1625.0}, {'J01': 8}, {'J01': 31}, 
500.0, {'J01': -1944.5}, {'J01': 8}, {'J01': 35}, 
505.0, {'J01': -1747.0}, {'J01': 7}, {'J01': 30}, 
510.0, {'J01': -868.5}, {'J01': 4}, {'J01': 20}, 
515.0, {'J01': -751.0}, {'J01': 4}, {'J01': 18}, 
520.0, {'J01': -939.5}, {'J01': 4}, {'J01': 23}, 
525.0, {'J01': -1190.5}, {'J01': 6}, {'J01': 31}, 
530.0, {'J01': -1143.0}, {'J01': 8}, {'J01': 32}, 
535.0, {'J01': -1307.0}, {'J01': 8}, {'J01': 33}, 
540.0, {'J01': -1529.5}, {'J01': 8}, {'J01': 36}, 
545.0, {'J01': -1345.5}, {'J01': 7}, {'J01': 30}, 
550.0, {'J01': -759.5}, {'J01': 4}, {'J01': 20}, 
555.0, {'J01': -699.5}, {'J01': 4}, {'J01': 17}, 
560.0, {'J01': -825.0}, {'J01': 4}, {'J01': 21}, 
565.0, {'J01': -924.5}, {'J01': 6}, {'J01': 26}, 
570.0, {'J01': -917.0}, {'J01': 8}, {'J01': 28}, 
575.0, {'J01': -1077.0}, {'J01': 8}, {'J01': 29}, 
580.0, {'J01': -1381.5}, {'J01': 8}, {'J01': 34}, 
585.0, {'J01': -1258.5}, {'J01': 7}, {'J01': 27}, 
590.0, {'J01': -720.5}, {'J01': 4}, {'J01': 17}, 
595.0, {'J01': -655.0}, {'J01': 4}, {'J01': 16}, 
600.0, {'J01': -762.5}, {'J01': 4}, {'J01': 19}, 
605.0, {'J01': -845.0}, {'J01': 6}, {'J01': 26}, 
610.0, {'J01': -980.5}, {'J01': 8}, {'J01': 30}, 
615.0, {'J01': -1175.5}, {'J01': 8}, {'J01': 31}, 
620.0, {'J01': -1495.5}, {'J01': 8}, {'J01': 35}, 
625.0, {'J01': -1322.5}, {'J01': 7}, {'J01': 26}, 
630.0, {'J01': -760.5}, {'J01': 4}, {'J01': 18}, 
635.0, {'J01': -847.0}, {'J01': 4}, {'J01': 18}, 
640.0, {'J01': -1039.5}, {'J01': 4}, {'J01': 25}, 
645.0, {'J01': -1065.5}, {'J01': 7}, {'J01': 28}, 
650.0, {'J01': -1030.0}, {'J01': 8}, {'J01': 27}, 
655.0, {'J01': -1221.0}, {'J01': 8}, {'J01': 27}, 
660.0, {'J01': -1501.5}, {'J01': 8}, {'J01': 32}, 
665.0, {'J01': -1721.5}, {'J01': 8}, {'J01': 31}, 
670.0, {'J01': -1490.5}, {'J01': 7}, {'J01': 24}, 
675.0, {'J01': -1686.0}, {'J01': 7}, {'J01': 28}, 
680.0, {'J01': -1972.0}, {'J01': 7}, {'J01': 31}, 
685.0, {'J01': -2106.0}, {'J01': 8}, {'J01': 32}, 
690.0, {'J01': -2176.5}, {'J01': 8}, {'J01': 28}, 
695.0, {'J01': -2459.5}, {'J01': 8}, {'J01': 30}, 
700.0, {'J01': -2771.5}, {'J01': 8}, {'J01': 35}, 
705.0, {'J01': -3008.5}, {'J01': 8}, {'J01': 36}, 
710.0, {'J01': -3169.0}, {'J01': 8}, {'J01': 32}, 
715.0, {'J01': -3491.5}, {'J01': 8}, {'J01': 34}, 
720.0, {'J01': -3835.0}, {'J01': 8}, {'J01': 36}, 
725.0, {'J01': -4133.0}, {'J01': 8}, {'J01': 35}, 
730.0, {'J01': -4348.5}, {'J01': 8}, {'J01': 33}, 
735.0, {'J01': -4680.0}, {'J01': 8}, {'J01': 35}, 
740.0, {'J01': -5034.5}, {'J01': 8}, {'J01': 37}, 
745.0, {'J01': -4288.0}, {'J01': 7}, {'J01': 32}, 
750.0, {'J01': -2632.5}, {'J01': 5}, {'J01': 22}, 
755.0, {'J01': -2259.5}, {'J01': 4}, {'J01': 23}, 
760.0, {'J01': -2504.5}, {'J01': 4}, {'J01': 30}, 
765.0, {'J01': -2681.5}, {'J01': 6}, {'J01': 34}, 
770.0, {'J01': -2749.0}, {'J01': 8}, {'J01': 36}, 
775.0, {'J01': -2806.0}, {'J01': 8}, {'J01': 35}, 
780.0, {'J01': -3098.0}, {'J01': 8}, {'J01': 36}, 
785.0, {'J01': -2448.0}, {'J01': 7}, {'J01': 33}, 
790.0, {'J01': -1117.0}, {'J01': 5}, {'J01': 23}, 
795.0, {'J01': -721.0}, {'J01': 4}, {'J01': 17}, 
