episode,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,nan,
1,2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,
1,3,4.0,0.0,0.0,2.0,0.0,-0.0074,-0.0074,-0.0074,1.0,
1,4,2.0,0.0,0.0,1.0,0.0,0.0037,0.0037,0.0037,0.9999,
1,5,15.5,0.0,0.0,3.0,0.0,-0.02498,-0.02498,-0.02498,0.9999,
1,6,41.5,0.0,1.0,5.0,0.0,-0.26014,-0.26014,-0.26014,0.9999,
1,7,74.5,0.0,0.0,8.0,0.0,0.15098,0.15098,0.15098,0.9998,
1,8,118.5,0.0,0.0,10.0,0.0,-0.08141,-0.08141,-0.08141,0.9998,
1,9,229.5,0.0,0.0,14.0,0.0,-0.20537,-0.20537,-0.20537,0.9998,
1,10,334.5,4.0,1.0,19.0,1.0,-0.41198,-0.41198,-0.41198,0.9997,
1,11,455.5,18.0,8.5,20.0,2.0,-1.834,-1.834,-1.834,0.9997,
1,12,415.5,41.0,18.5,18.0,3.0,-2.079,-2.079,-2.079,0.9997,
1,13,504.0,58.0,12.5,18.0,2.0,1.08429,1.08429,1.08429,0.9996,
1,14,637.5,78.5,2.0,25.0,3.0,1.9502,1.9502,1.9502,0.9996,
1,15,788.0,113.0,7.5,30.0,4.0,-1.49366,-1.49366,-1.49366,0.9996,
1,16,1004.5,157.5,21.0,33.0,5.0,-3.0,-3.0,-3.0,0.9995,
1,17,1289.5,213.5,36.5,36.0,7.0,-3.0,-3.0,-3.0,0.9995,
1,18,1579.5,283.5,56.5,36.0,7.0,-3.0,-3.0,-3.0,0.9995,
1,19,1826.0,353.5,68.5,35.0,7.0,-3.0,-3.0,-3.0,0.9994,
1,20,1643.0,254.5,25.5,28.0,5.0,3.0,3.0,3.0,0.9994,
1,21,1613.0,67.5,2.0,22.0,2.0,3.0,3.0,3.0,0.9994,
1,22,1822.5,89.0,29.5,28.0,4.0,-3.0,-3.0,-3.0,0.9993,
1,23,1891.0,35.0,61.0,28.0,3.0,-3.0,-3.0,-3.0,0.9993,
1,24,2064.0,65.0,8.5,29.0,3.0,3.0,3.0,3.0,0.9993,
1,25,2229.5,107.5,1.0,32.0,6.0,1.22363,1.22363,1.22363,0.9992,
1,26,2480.5,172.5,12.0,34.0,8.0,-2.88913,-2.88913,-2.88913,0.9992,
1,27,2743.5,255.5,28.0,38.0,10.0,-3.0,-3.0,-3.0,0.9992,
1,28,3003.5,344.5,42.0,37.0,10.0,-3.0,-3.0,-3.0,0.9991,
1,29,3275.5,449.0,1.0,40.0,12.0,3.0,3.0,3.0,0.9991,
1,30,3452.5,579.0,18.0,46.0,16.0,-3.0,-3.0,-3.0,0.9991,
1,31,3708.0,740.5,48.5,48.0,17.0,-3.0,-3.0,-3.0,0.999,
1,32,3993.0,819.5,8.0,46.0,16.0,3.0,3.0,3.0,0.999,
1,33,4207.5,937.0,12.5,46.0,18.0,-1.51802,-1.51802,-1.51802,0.999,0.03882
1,34,4487.5,1122.5,23.5,48.0,20.0,-3.0,-3.0,-3.0,0.9989,0.03766
1,35,4675.5,1249.5,20.5,47.0,20.0,0.10774,0.10774,0.10774,0.9989,0.03563
1,36,4873.5,1398.0,3.0,45.0,19.0,3.0,3.0,3.0,0.9989,0.03123
1,37,4997.0,1593.0,0.5,44.0,20.0,0.0244,0.0244,0.0244,0.9988,0.02887
1,38,5208.0,1793.0,5.5,45.0,20.0,-1.73483,-1.73483,-1.73483,0.9988,0.02766
1,39,4821.5,1677.0,1.0,44.0,18.0,1.83411,1.83411,1.83411,0.9988,0.02488
1,40,3601.5,1560.5,4.0,36.0,16.0,1.78668,1.78668,1.78668,0.9987,0.02391
1,41,2392.5,1028.0,9.0,28.0,13.0,1.93359,1.93359,1.93359,0.9987,0.02198
1,42,1981.0,1036.5,14.5,27.0,12.0,-0.41692,-0.41692,-0.41692,0.9987,0.02085
1,43,2034.5,948.0,0.0,26.0,10.0,3.0,3.0,3.0,0.9986,0.02161
1,44,1997.5,869.0,0.0,27.0,10.0,0.18075,0.18075,0.18075,0.9986,0.02155
1,45,2185.5,969.0,0.0,32.0,10.0,-0.48997,-0.48997,-0.48997,0.9986,0.01874
1,46,2408.5,1073.0,1.5,36.0,11.0,-0.87846,-0.87846,-0.87846,0.9985,0.01482
1,47,2651.0,1191.0,17.5,40.0,14.0,-3.0,-3.0,-3.0,0.9985,0.01405
1,48,2917.0,1334.0,42.5,43.0,15.0,-3.0,-3.0,-3.0,0.9985,0.01379
1,49,1945.5,944.0,67.5,35.0,12.0,-2.94901,-2.94901,-2.94901,0.9984,0.00945
1,50,1751.0,1024.0,92.5,33.0,12.0,-3.0,-3.0,-3.0,0.9984,0.00779
1,51,1971.0,1147.5,121.5,38.0,13.0,-3.0,-3.0,-3.0,0.9984,0.004
1,52,2191.0,1280.5,152.0,40.0,14.0,-3.0,-3.0,-3.0,0.9984,0.00713
1,53,1555.0,993.0,170.0,36.0,13.0,-2.23121,-2.23121,-2.23121,0.9983,0.00234
1,54,1785.0,1048.5,202.0,34.0,11.0,-3.0,-3.0,-3.0,0.9983,0.00434
1,55,2022.0,1163.0,239.0,40.0,14.0,-3.0,-3.0,-3.0,0.9983,0.0039
1,56,2090.5,1212.0,0.0,40.0,14.0,3.0,3.0,3.0,0.9982,0.0052
1,57,1970.0,1331.0,0.0,37.0,13.0,0.05379,0.05379,0.05379,0.9982,0.00493
1,58,2188.5,1462.0,0.0,39.0,14.0,-0.59047,-0.59047,-0.59047,0.9982,0.00516
1,59,2415.0,1606.5,0.0,39.0,16.0,-0.62446,-0.62446,-0.62446,0.9981,0.00024
1,60,2649.0,1771.5,0.5,42.0,17.0,-0.77349,-0.77349,-0.77349,0.9981,-0.00081
1,61,2875.0,1941.5,5.5,40.0,17.0,-1.71994,-1.71994,-1.71994,0.9981,-0.006
1,62,3105.0,2111.5,19.0,40.0,17.0,-3.0,-3.0,-3.0,0.998,-0.01024
1,63,3335.0,2288.0,34.0,43.0,20.0,-3.0,-3.0,-3.0,0.998,-0.00934
1,64,3566.0,2492.5,50.0,47.0,23.0,-3.0,-3.0,-3.0,0.998,-0.01508
1,65,3795.0,2705.5,68.5,46.0,23.0,-3.0,-3.0,-3.0,0.9979,-0.0135
1,66,4027.0,2936.0,0.0,48.0,24.0,3.0,3.0,3.0,0.9979,-0.02077
1,67,4273.0,3180.5,0.0,51.0,25.0,-0.80268,-0.80268,-0.80268,0.9979,-0.02573
1,68,4543.0,3436.5,6.5,55.0,27.0,-2.24164,-2.24164,-2.24164,0.9978,-0.02549
1,69,4823.0,3706.5,27.5,55.0,27.0,-3.0,-3.0,-3.0,0.9978,-0.02762
1,70,5036.0,3942.5,26.0,53.0,27.0,-0.4115,-0.4115,-0.4115,0.9978,-0.03242
1,71,5177.0,4213.5,39.5,52.0,28.0,-3.0,-3.0,-3.0,0.9977,-0.04551
1,72,5418.5,4497.5,54.5,54.0,29.0,-3.0,-3.0,-3.0,0.9977,-0.05506
1,73,5669.0,4787.5,71.5,55.0,29.0,-3.0,-3.0,-3.0,0.9977,-0.04837
1,74,5930.0,5078.0,96.0,57.0,30.0,-3.0,-3.0,-3.0,0.9976,-0.05437
1,75,4335.5,3303.5,13.0,48.0,23.0,3.0,3.0,3.0,0.9976,-0.0619
1,76,4005.5,3240.5,0.5,43.0,22.0,3.0,3.0,3.0,0.9976,-0.04745
1,77,4216.0,3460.5,6.0,44.0,22.0,-1.86835,-1.86835,-1.86835,0.9975,-0.05333
1,78,4452.0,3681.0,8.0,51.0,23.0,-1.17413,-1.17413,-1.17413,0.9975,-0.05974
1,79,4741.0,3914.5,16.0,55.0,24.0,-2.56285,-2.56285,-2.56285,0.9975,-0.06118
1,80,5060.0,4158.5,28.5,58.0,25.0,-3.0,-3.0,-3.0,0.9974,-0.056
1,81,5390.5,4421.0,50.5,63.0,29.0,-3.0,-3.0,-3.0,0.9974,-0.06854
1,82,4166.0,3008.5,58.5,53.0,24.0,2.57706,2.57706,2.57706,0.9974,-0.06969
1,83,2027.0,3027.5,83.5,40.0,22.0,-1.37035,-1.37035,-1.37035,0.9973,-0.05647
1,84,1029.0,3215.0,115.5,36.0,22.0,-3.0,-3.0,-3.0,0.9973,-0.06242
1,85,929.0,2830.5,0.0,34.0,21.0,3.0,3.0,3.0,0.9973,-0.07165
1,86,950.0,3041.5,1.0,41.0,22.0,-0.55081,-0.55081,-0.55081,0.9972,-0.05952
1,87,1164.0,3267.0,11.5,52.0,24.0,-2.9428,-2.9428,-2.9428,0.9972,-0.05214
1,88,1118.0,3507.5,43.0,54.0,25.0,-3.0,-3.0,-3.0,0.9972,-0.04295
1,89,1059.5,3535.0,2.0,51.0,23.0,3.0,3.0,3.0,0.9971,-0.0464
1,90,979.5,3718.0,7.0,49.0,24.0,-1.17227,-1.17227,-1.17227,0.9971,-0.02964
1,91,1199.0,3962.0,12.0,49.0,25.0,-1.8131,-1.8131,-1.8131,0.9971,-0.03445
1,92,1410.5,4214.0,20.0,51.0,26.0,-2.44576,-2.44576,-2.44576,0.997,-0.02493
1,93,1663.0,4478.5,43.5,54.0,27.0,-3.0,-3.0,-3.0,0.997,-0.02225
1,94,1599.0,4313.5,42.0,51.0,25.0,0.671,0.671,0.671,0.997,-0.0319
1,95,1854.0,4563.5,76.5,52.0,25.0,-3.0,-3.0,-3.0,0.9969,-0.02158
1,96,2054.0,4817.0,8.0,56.0,27.0,3.0,3.0,3.0,0.9969,-0.01977
1,97,2252.0,5091.5,22.0,56.0,28.0,-3.0,-3.0,-3.0,0.9969,-0.0094
1,98,1742.0,3740.0,35.0,49.0,24.0,0.10827,0.10827,0.10827,0.9968,-0.00346
1,99,1720.5,3874.0,1.0,48.0,25.0,3.0,3.0,3.0,0.9968,0.0057
1,100,1891.5,4124.0,3.0,49.0,25.0,-1.0958,-1.0958,-1.0958,0.9968,-0.00148
1,101,2104.5,4380.5,1.0,53.0,27.0,-0.33462,-0.33462,-0.33462,0.9967,0.00089
1,102,2183.5,4651.0,0.5,56.0,28.0,-0.42465,-0.42465,-0.42465,0.9967,-0.0001
1,103,2403.0,4939.0,4.0,58.0,30.0,-1.5576,-1.5576,-1.5576,0.9967,0.00724
1,104,2536.5,5245.5,12.0,60.0,32.0,-2.37892,-2.37892,-2.37892,0.9966,0.01689
1,105,2724.5,5570.5,35.0,63.0,33.0,-3.0,-3.0,-3.0,0.9966,0.00693
1,106,2972.0,5845.5,53.5,61.0,33.0,-3.0,-3.0,-3.0,0.9966,0.0236
1,107,3209.0,6181.5,0.0,63.0,35.0,3.0,3.0,3.0,0.9965,0.03355
1,108,3498.5,6531.5,13.0,66.0,35.0,-3.0,-3.0,-3.0,0.9965,0.04154
1,109,3813.5,6882.5,34.5,68.0,36.0,-3.0,-3.0,-3.0,0.9965,0.05786
1,110,4052.5,7242.5,6.5,67.0,36.0,3.0,3.0,3.0,0.9964,0.05757
1,111,4283.0,7602.5,18.0,65.0,36.0,-3.0,-3.0,-3.0,0.9964,0.06487
1,112,4520.0,7964.5,30.0,64.0,37.0,-3.0,-3.0,-3.0,0.9964,0.07399
1,113,4747.0,8334.5,45.0,64.0,37.0,-3.0,-3.0,-3.0,0.9963,0.0911
1,114,4199.0,8290.0,4.5,60.0,34.0,3.0,3.0,3.0,0.9963,0.10036
1,115,3733.0,8632.0,10.0,58.0,35.0,-0.79015,-0.79015,-0.79015,0.9963,0.11817
1,116,3973.0,8990.0,0.0,65.0,38.0,1.1674,1.1674,1.1674,0.9962,0.15421
1,117,3908.5,8013.0,3.5,61.0,36.0,0.76599,0.76599,0.76599,0.9962,0.16401
1,118,3696.0,7313.0,21.5,57.0,34.0,-2.42839,-2.42839,-2.42839,0.9962,0.16948
1,119,3784.5,7655.0,59.0,61.0,35.0,-3.0,-3.0,-3.0,0.9961,0.17883
1,120,4049.0,8009.5,114.5,63.0,36.0,-3.0,-3.0,-3.0,0.9961,0.207
1,121,4319.0,8371.0,79.0,64.0,37.0,3.0,3.0,3.0,0.9961,0.21344
1,122,4472.5,8734.0,24.0,63.0,38.0,3.0,3.0,3.0,0.996,0.24756
1,123,4631.5,9121.0,1.0,66.0,40.0,3.0,3.0,3.0,0.996,0.27804
1,124,4894.5,9508.5,7.0,67.0,39.0,-2.30959,-2.30959,-2.30959,0.996,0.29676
1,125,4104.0,9418.5,18.0,62.0,39.0,-0.74188,-0.74188,-0.74188,0.9959,0.33241
1,126,2372.0,8375.0,41.0,52.0,36.0,-0.18899,-0.18899,-0.18899,0.9959,0.36248
1,127,2539.5,8161.5,58.5,55.0,36.0,-3.0,-3.0,-3.0,0.9959,0.39341
1,128,2671.0,8523.5,86.0,58.0,37.0,-3.0,-3.0,-3.0,0.9958,0.42173
1,129,2148.0,7718.5,118.0,53.0,32.0,-3.0,-3.0,-3.0,0.9958,0.45165
1,130,1609.0,6968.5,164.0,50.0,32.0,-3.0,-3.0,-3.0,0.9958,0.5028
1,131,1291.5,6391.0,215.0,43.0,29.0,-3.0,-3.0,-3.0,0.9957,0.53674
1,132,775.5,5354.0,266.5,35.0,26.0,-3.0,-3.0,-3.0,0.9957,0.61416
1,133,795.0,4778.5,214.0,34.0,24.0,3.0,3.0,3.0,0.9957,0.68139
1,134,915.5,3954.0,247.5,42.0,22.0,-3.0,-3.0,-3.0,0.9956,0.75309
1,135,965.0,3230.5,299.0,35.0,20.0,-3.0,-3.0,-3.0,0.9956,0.79348
1,136,1047.5,3050.0,352.5,32.0,20.0,-3.0,-3.0,-3.0,0.9956,0.84766
1,137,1108.0,2847.5,421.0,31.0,19.0,-3.0,-3.0,-3.0,0.9955,0.8961
1,138,1247.0,3037.5,491.0,39.0,19.0,-3.0,-3.0,-3.0,0.9955,0.94565
1,139,1284.5,2652.5,569.5,36.0,17.0,-3.0,-3.0,-3.0,0.9955,1.00562
1,140,1014.0,2263.0,2.0,30.0,12.0,3.0,3.0,3.0,0.9954,1.0297
1,141,1205.5,1899.5,11.0,36.0,14.0,-1.74588,-1.74588,-1.74588,0.9954,1.06225
1,142,1434.0,2047.0,44.0,43.0,17.0,-3.0,-3.0,-3.0,0.9954,1.12829
1,143,1413.0,2077.5,25.0,44.0,17.0,3.0,3.0,3.0,0.9953,1.1781
1,144,1268.5,2252.5,34.0,43.0,18.0,-1.88969,-1.88969,-1.88969,0.9953,1.21501
1,145,1521.0,2432.5,47.0,45.0,18.0,-3.0,-3.0,-3.0,0.9953,1.28125
1,146,1414.0,2612.5,8.0,43.0,18.0,3.0,3.0,3.0,0.9952,1.29064
1,147,1427.5,1784.5,1.5,38.0,15.0,2.5302,2.5302,2.5302,0.9952,1.31035
1,148,1641.5,1934.5,5.5,40.0,15.0,-1.45727,-1.45727,-1.45727,0.9952,1.33284
1,149,1867.0,2089.0,10.5,43.0,16.0,-1.69698,-1.69698,-1.69698,0.9952,1.35052
1,150,2151.5,2239.5,16.5,49.0,18.0,-2.01248,-2.01248,-2.01248,0.9951,1.36056
1,151,2461.5,2419.5,26.5,49.0,18.0,-2.94972,-2.94972,-2.94972,0.9951,1.37397
1,152,2587.5,2602.5,39.0,49.0,19.0,-3.0,-3.0,-3.0,0.9951,1.38119
1,153,2859.0,2794.0,54.5,51.0,20.0,-3.0,-3.0,-3.0,0.995,1.37349
1,154,2780.0,2994.0,74.5,50.0,20.0,-3.0,-3.0,-3.0,0.995,1.36894
1,155,2993.0,3199.0,98.0,50.0,21.0,-3.0,-3.0,-3.0,0.995,1.36672
1,156,3263.0,3409.0,114.5,49.0,21.0,-3.0,-3.0,-3.0,0.9949,1.36878
1,157,3548.0,3625.0,0.0,54.0,23.0,3.0,3.0,3.0,0.9949,1.36499
1,158,3869.0,3855.0,5.0,58.0,23.0,-1.98099,-1.98099,-1.98099,0.9949,1.36015
