episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
38,2895254.5,5408554.5,7847.5,45623.0,19706.0,-0.21606,1.77644,-3.0,3.0,0.6507,0.0009,0.2875,-2.67232,0.477603,1080,51.7
39,2295324.0,6600765.0,9503.0,46160.0,21074.0,-0.20213,1.84482,-3.0,3.0,0.7412,0.0011,0.2685,-3.21668,0.450283,1080,51.2
40,2771903.0,3753297.5,8419.5,43702.0,17446.0,-0.18119,1.78779,-3.0,3.0,0.5745,0.0013,0.2495,-3.35415,0.468714,1080,50.0
41,2769796.5,1619704.5,6536.5,36320.0,10055.0,-0.14843,1.66668,-3.0,3.0,0.3684,0.0015,0.2305,-3.16746,0.460432,1080,49.3
42,3240065.0,2698145.5,17658.0,40689.0,13698.0,-0.21342,1.75971,-3.0,3.0,0.453,0.003,0.2115,-2.80505,0.443663,1080,48.6
43,3004617.5,1794447.0,6566.5,38247.0,11100.0,-0.11014,1.67562,-3.0,3.0,0.3734,0.0014,0.1925,-2.71842,0.428538,1080,49.8
44,2606046.0,1201107.5,6688.0,34543.0,8758.0,-0.12123,1.68297,-3.0,3.0,0.3149,0.0018,0.1735,-2.47593,0.413727,1080,48.9
45,3474297.0,885661.0,6632.0,34567.0,8062.0,-0.14607,1.70883,-3.0,3.0,0.2028,0.0015,0.1545,-2.12404,0.373992,1080,48.9
46,3293974.0,1455288.0,6631.0,37219.0,10212.0,-0.11205,1.72156,-3.0,3.0,0.306,0.0014,0.1355,-2.09506,0.379272,1080,50.2
47,3368788.5,3944994.0,139355.5,43476.0,17796.0,-0.5971,1.92122,-3.0,3.0,0.5293,0.0187,0.1165,1.68881,0.745178,1080,48.5
48,5528878.5,45638397.5,1275863.5,65651.0,42368.0,-1.71382,2.00721,-3.0,3.0,0.8702,0.0243,0.0975,135.08372,11.200139,1080,46.9
49,8508078.5,130307925.5,2123894.5,89300.0,66347.0,-1.87124,1.90814,-3.0,3.0,0.9246,0.0151,0.0785,522.55044,40.752392,1080,60.9
50,9448882.0,129440660.5,2144858.0,93143.0,68337.0,-1.81473,1.95802,-3.0,3.0,0.9178,0.0152,0.0595,897.05449,67.050905,1080,48.4
51,9836317.0,54670333.5,2469779.5,83886.0,54208.0,-1.76675,1.92525,-3.0,3.0,0.8163,0.0369,0.05,885.3984,63.407458,1080,49.6
52,11437466.0,89961448.5,3186205.0,108913.0,78761.0,-1.57541,2.268,-3.0,3.0,0.8602,0.0305,0.05,751.97995,51.927107,1080,59.3
53,21105943.5,101283237.0,2962857.5,109766.0,78863.0,-1.8177,1.9968,-3.0,3.0,0.808,0.0236,0.05,569.98124,34.657002,1080,58.8
54,12343995.5,72196337.5,2873335.0,99221.0,69279.0,-1.41354,2.28962,-3.0,3.0,0.8259,0.0329,0.05,394.83269,20.812353,1080,57.0
55,11547095.0,34583366.5,2511897.5,74573.0,44260.0,-1.2723,2.16375,-3.0,3.0,0.711,0.0516,0.05,213.26815,10.984222,1080,48.3
56,7038355.0,11271612.5,8970.0,57296.0,28277.0,-0.35786,1.7987,-3.0,3.0,0.6153,0.0005,0.05,93.49933,5.020796,1080,52.4
57,4813890.0,13377779.5,24325.0,57840.0,30617.0,-0.40865,1.90577,-3.0,3.0,0.7344,0.0013,0.05,44.93897,2.4846,1080,51.9
58,6921346.5,2923186.5,4198.0,41537.0,13392.0,-0.13001,1.42436,-3.0,3.0,0.2968,0.0004,0.05,14.65132,1.442279,1080,48.6
59,5937311.0,4926468.0,3768.0,46853.0,18036.0,-0.12224,1.41069,-3.0,3.0,0.4533,0.0003,0.05,3.52544,1.070195,1080,47.8
60,5534887.0,8424464.0,5516.5,54679.0,25020.0,-0.14254,1.72997,-3.0,3.0,0.6033,0.0004,0.05,-0.95257,0.91683,1080,50.6
61,5999271.0,4820945.0,5437.0,47462.0,17880.0,-0.12675,1.74657,-3.0,3.0,0.4453,0.0005,0.05,-2.53587,0.957854,1080,48.4
62,5228543.5,5188608.5,4539.0,47981.0,19635.0,-0.09974,1.67814,-3.0,3.0,0.4979,0.0004,0.05,-2.30231,0.765742,1080,46.9
63,6590037.5,3667032.0,4783.5,40311.0,12283.0,-0.11272,1.64191,-3.0,3.0,0.3573,0.0005,0.05,-2.86209,0.653786,1080,45.2
64,6090692.5,2805653.5,4913.0,42230.0,13658.0,-0.07147,1.65054,-3.0,3.0,0.3152,0.0006,0.05,-3.31051,0.595285,1080,45.3
65,7179843.0,1810772.5,5143.0,40484.0,10923.0,-0.09554,1.69362,-3.0,3.0,0.2013,0.0006,0.05,-3.10886,0.56637,1080,44.9
66,4268913.5,1189203.5,4771.5,34830.0,8835.0,-0.07207,1.57169,-3.0,3.0,0.2177,0.0009,0.05,-2.6382,0.549085,1080,44.6
67,4090251.0,2758018.0,6346.0,41050.0,13518.0,-0.13355,1.72316,-3.0,3.0,0.4024,0.0009,0.05,-2.14828,0.541219,1080,44.4
68,3236852.5,1557277.0,5680.5,36978.0,10929.0,-0.1091,1.66014,-3.0,3.0,0.3244,0.0012,0.05,-2.0268,0.517804,1080,42.9
69,3578920.5,2401907.0,6240.0,38944.0,12624.0,-0.11199,1.67922,-3.0,3.0,0.4012,0.001,0.05,-2.05435,0.519524,1080,42.7
