70.0, {'J10': np.float32(-0.12025902), 'J11': np.float32(0.010175764), 'J12': np.float32(-0.2053654), 'J13': np.float32(-0.007400555), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.08233117)}, {'J10': 3, 'J11': 0, 'J12': 6, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 5, 'J11': 0, 'J12': 13, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
75.0, {'J10': np.float32(-0.12025902), 'J11': np.float32(-0.01480111), 'J12': np.float32(-0.25901943), 'J13': np.float32(-0.019426458), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.20166512)}, {'J10': 3, 'J11': 1, 'J12': 7, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 5, 'J11': 1, 'J12': 15, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 16}, 
80.0, {'J10': np.float32(-0.12210916), 'J11': np.float32(-0.03237743), 'J12': np.float32(-0.2867715), 'J13': np.float32(-0.04347826), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.08788159)}, {'J10': 4, 'J11': 1, 'J12': 7, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 6, 'J11': 1, 'J12': 15, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, 
85.0, {'J10': np.float32(0.39037928), 'J11': np.float32(-0.047178537), 'J12': np.float32(-0.2960222), 'J13': np.float32(-0.03052729), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.024976874)}, {'J10': 3, 'J11': 2, 'J12': 8, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 6, 'J11': 2, 'J12': 18, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, 
90.0, {'J10': np.float32(-0.116558746), 'J11': np.float32(-0.066604994), 'J12': np.float32(-0.34227568), 'J13': np.float32(-0.039777983), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.037927844)}, {'J10': 3, 'J11': 2, 'J12': 8, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 7, 'J11': 2, 'J12': 18, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
95.0, {'J10': np.float32(-0.025901943), 'J11': np.float32(0.16096207), 'J12': np.float32(-0.34227568), 'J13': np.float32(0.11748381), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.04347826)}, {'J10': 3, 'J11': 0, 'J12': 8, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 4, 'J11': 0, 'J12': 18, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
100.0, {'J10': np.float32(-0.07678076), 'J11': np.float32(-0.005550416), 'J12': np.float32(-0.35152635), 'J13': np.float32(-0.053654023), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.033302497)}, {'J10': 4, 'J11': 0, 'J12': 9, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 5, 'J11': 0, 'J12': 19, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, 
105.0, {'J10': np.float32(-0.09250694), 'J11': np.float32(-0.012950972), 'J12': np.float32(-0.37187788), 'J13': np.float32(-0.10823312), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.039777983)}, {'J10': 4, 'J11': 1, 'J12': 9, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 5, 'J11': 1, 'J12': 21, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
110.0, {'J10': np.float32(-0.09250694), 'J11': np.float32(-0.037002776), 'J12': np.float32(-0.4051804), 'J13': np.float32(-0.078630894), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.13506013)}, {'J10': 4, 'J11': 1, 'J12': 9, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 5, 'J11': 1, 'J12': 22, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
115.0, {'J10': np.float32(-0.095282145), 'J11': np.float32(-0.041628122), 'J12': np.float32(-0.44218317), 'J13': np.float32(-0.10915819), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.024976874)}, {'J10': 5, 'J11': 1, 'J12': 9, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 6, 'J11': 1, 'J12': 25, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
