5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.018181818)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.23636363)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-0.16363636)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.44545454)}, {'J8': 2}, {'J8': 3}, 
35.0, {'J8': np.float32(-0.54545456)}, {'J8': 2}, {'J8': 3}, 
40.0, {'J8': np.float32(-0.6454545)}, {'J8': 3}, {'J8': 5}, 
45.0, {'J8': np.float32(-1.0727273)}, {'J8': 4}, {'J8': 7}, 
50.0, {'J8': np.float32(-0.6090909)}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': np.float32(-0.90909094)}, {'J8': 4}, {'J8': 5}, 
60.0, {'J8': np.float32(0.23636363)}, {'J8': 3}, {'J8': 7}, 
65.0, {'J8': np.float32(1.7727273)}, {'J8': 4}, {'J8': 5}, 
70.0, {'J8': np.float32(-0.91818184)}, {'J8': 4}, {'J8': 6}, 
75.0, {'J8': np.float32(-0.56363636)}, {'J8': 4}, {'J8': 7}, 
80.0, {'J8': np.float32(-0.93636364)}, {'J8': 4}, {'J8': 7}, 
85.0, {'J8': np.float32(-0.91818184)}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': np.float32(-0.93636364)}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': np.float32(-1.1727272)}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': np.float32(-0.53636366)}, {'J8': 4}, {'J8': 7}, 
105.0, {'J8': np.float32(0.28181818)}, {'J8': 5}, {'J8': 6}, 
110.0, {'J8': np.float32(-1.1636363)}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': np.float32(-1.3090909)}, {'J8': 5}, {'J8': 10}, 
120.0, {'J8': np.float32(-1.0272727)}, {'J8': 5}, {'J8': 8}, 
125.0, {'J8': np.float32(-0.77272725)}, {'J8': 5}, {'J8': 8}, 
130.0, {'J8': np.float32(-1.5272727)}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': np.float32(-1.7)}, {'J8': 5}, {'J8': 11}, 
140.0, {'J8': np.float32(-1.0818182)}, {'J8': 6}, {'J8': 14}, 
145.0, {'J8': np.float32(-1.7454545)}, {'J8': 5}, {'J8': 13}, 
150.0, {'J8': np.float32(-2.418182)}, {'J8': 5}, {'J8': 14}, 
155.0, {'J8': np.float32(-2.581818)}, {'J8': 6}, {'J8': 15}, 
160.0, {'J8': np.float32(-1.4909091)}, {'J8': 6}, {'J8': 15}, 
165.0, {'J8': np.float32(0.74545455)}, {'J8': 5}, {'J8': 12}, 
170.0, {'J8': np.float32(-1.0727273)}, {'J8': 5}, {'J8': 11}, 
175.0, {'J8': np.float32(-0.5272727)}, {'J8': 5}, {'J8': 11}, 
180.0, {'J8': np.float32(0.45454547)}, {'J8': 5}, {'J8': 9}, 
185.0, {'J8': np.float32(1.0)}, {'J8': 5}, {'J8': 7}, 
190.0, {'J8': np.float32(0.09090909)}, {'J8': 5}, {'J8': 10}, 
195.0, {'J8': np.float32(-1.1818181)}, {'J8': 5}, {'J8': 11}, 
200.0, {'J8': np.float32(-0.8818182)}, {'J8': 5}, {'J8': 9}, 
205.0, {'J8': np.float32(-1.0727273)}, {'J8': 5}, {'J8': 9}, 
