5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -7.0}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -8.0}, {'J01': 4}, {'J01': 8}, 
30.0, {'J01': -8.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -11.0}, {'J01': 4}, {'J01': 10}, 
40.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -13.0}, {'J01': 4}, {'J01': 13}, 
50.0, {'J01': -15.0}, {'J01': 4}, {'J01': 15}, 
55.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
60.0, {'J01': -15.0}, {'J01': 4}, {'J01': 14}, 
65.0, {'J01': -17.0}, {'J01': 4}, {'J01': 16}, 
70.0, {'J01': -15.0}, {'J01': 4}, {'J01': 14}, 
75.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
80.0, {'J01': -16.0}, {'J01': 4}, {'J01': 15}, 
85.0, {'J01': -20.0}, {'J01': 4}, {'J01': 19}, 
90.0, {'J01': -17.0}, {'J01': 4}, {'J01': 16}, 
95.0, {'J01': -16.0}, {'J01': 4}, {'J01': 14}, 
100.0, {'J01': -16.0}, {'J01': 4}, {'J01': 14}, 
105.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
110.0, {'J01': -15.0}, {'J01': 4}, {'J01': 15}, 
115.0, {'J01': -21.0}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -20.0}, {'J01': 4}, {'J01': 17}, 
125.0, {'J01': -23.0}, {'J01': 4}, {'J01': 21}, 
130.0, {'J01': -24.0}, {'J01': 4}, {'J01': 23}, 
135.0, {'J01': -26.0}, {'J01': 5}, {'J01': 25}, 
140.0, {'J01': -32.0}, {'J01': 6}, {'J01': 32}, 
145.0, {'J01': -37.0}, {'J01': 7}, {'J01': 36}, 
150.0, {'J01': -37.0}, {'J01': 8}, {'J01': 35}, 
155.0, {'J01': -39.0}, {'J01': 7}, {'J01': 37}, 
160.0, {'J01': -31.0}, {'J01': 6}, {'J01': 30}, 
165.0, {'J01': -31.0}, {'J01': 5}, {'J01': 31}, 
170.0, {'J01': -26.0}, {'J01': 5}, {'J01': 26}, 
175.0, {'J01': -29.0}, {'J01': 5}, {'J01': 28}, 
180.0, {'J01': -27.0}, {'J01': 5}, {'J01': 24}, 
185.0, {'J01': -21.0}, {'J01': 4}, {'J01': 18}, 
190.0, {'J01': -24.0}, {'J01': 4}, {'J01': 22}, 
195.0, {'J01': -34.0}, {'J01': 7}, {'J01': 33}, 
200.0, {'J01': -37.0}, {'J01': 8}, {'J01': 35}, 
205.0, {'J01': -41.0}, {'J01': 8}, {'J01': 38}, 
210.0, {'J01': -34.0}, {'J01': 7}, {'J01': 32}, 
215.0, {'J01': -27.0}, {'J01': 6}, {'J01': 27}, 
220.0, {'J01': -25.0}, {'J01': 5}, {'J01': 24}, 
225.0, {'J01': -24.0}, {'J01': 4}, {'J01': 23}, 
230.0, {'J01': -19.0}, {'J01': 4}, {'J01': 19}, 
235.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
240.0, {'J01': -16.0}, {'J01': 4}, {'J01': 15}, 
245.0, {'J01': -19.0}, {'J01': 4}, {'J01': 17}, 
250.0, {'J01': -15.0}, {'J01': 4}, {'J01': 14}, 
255.0, {'J01': -19.0}, {'J01': 4}, {'J01': 18}, 
260.0, {'J01': -15.0}, {'J01': 4}, {'J01': 14}, 
265.0, {'J01': -21.0}, {'J01': 4}, {'J01': 19}, 
270.0, {'J01': -18.0}, {'J01': 4}, {'J01': 16}, 
275.0, {'J01': -23.0}, {'J01': 4}, {'J01': 20}, 
280.0, {'J01': -20.0}, {'J01': 4}, {'J01': 16}, 
285.0, {'J01': -15.0}, {'J01': 3}, {'J01': 13}, 
290.0, {'J01': -21.0}, {'J01': 4}, {'J01': 21}, 
295.0, {'J01': -31.0}, {'J01': 6}, {'J01': 31}, 
300.0, {'J01': -41.0}, {'J01': 8}, {'J01': 39}, 
305.0, {'J01': -41.0}, {'J01': 8}, {'J01': 38}, 
310.0, {'J01': -39.0}, {'J01': 8}, {'J01': 37}, 
315.0, {'J01': -37.0}, {'J01': 8}, {'J01': 36}, 
320.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
325.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
330.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
335.0, {'J01': -41.0}, {'J01': 8}, {'J01': 41}, 
340.0, {'J01': -38.0}, {'J01': 9}, {'J01': 38}, 
345.0, {'J01': -43.0}, {'J01': 9}, {'J01': 42}, 
350.0, {'J01': -47.0}, {'J01': 10}, {'J01': 45}, 
355.0, {'J01': -51.0}, {'J01': 10}, {'J01': 48}, 
360.0, {'J01': -46.0}, {'J01': 8}, {'J01': 44}, 
365.0, {'J01': -35.0}, {'J01': 6}, {'J01': 35}, 
370.0, {'J01': -39.0}, {'J01': 7}, {'J01': 38}, 
375.0, {'J01': -47.0}, {'J01': 8}, {'J01': 46}, 
380.0, {'J01': -45.0}, {'J01': 7}, {'J01': 43}, 
385.0, {'J01': -41.0}, {'J01': 7}, {'J01': 40}, 
390.0, {'J01': -43.0}, {'J01': 7}, {'J01': 41}, 
395.0, {'J01': -46.0}, {'J01': 8}, {'J01': 44}, 
400.0, {'J01': -46.0}, {'J01': 8}, {'J01': 44}, 
405.0, {'J01': -43.0}, {'J01': 8}, {'J01': 42}, 
410.0, {'J01': -44.0}, {'J01': 10}, {'J01': 44}, 
415.0, {'J01': -47.0}, {'J01': 11}, {'J01': 47}, 
420.0, {'J01': -51.0}, {'J01': 11}, {'J01': 50}, 
425.0, {'J01': -50.0}, {'J01': 11}, {'J01': 48}, 
430.0, {'J01': -42.0}, {'J01': 9}, {'J01': 40}, 
435.0, {'J01': -44.0}, {'J01': 9}, {'J01': 42}, 
440.0, {'J01': -46.0}, {'J01': 10}, {'J01': 45}, 
445.0, {'J01': -49.0}, {'J01': 11}, {'J01': 49}, 
450.0, {'J01': -52.0}, {'J01': 12}, {'J01': 52}, 
455.0, {'J01': -43.0}, {'J01': 8}, {'J01': 43}, 
460.0, {'J01': -40.0}, {'J01': 6}, {'J01': 38}, 
465.0, {'J01': -39.0}, {'J01': 6}, {'J01': 37}, 
470.0, {'J01': -45.0}, {'J01': 10}, {'J01': 44}, 
475.0, {'J01': -44.0}, {'J01': 8}, {'J01': 42}, 
480.0, {'J01': -40.0}, {'J01': 6}, {'J01': 37}, 
485.0, {'J01': -39.0}, {'J01': 6}, {'J01': 38}, 
490.0, {'J01': -39.0}, {'J01': 6}, {'J01': 39}, 
495.0, {'J01': -38.0}, {'J01': 6}, {'J01': 38}, 
500.0, {'J01': -33.0}, {'J01': 5}, {'J01': 33}, 
505.0, {'J01': -31.0}, {'J01': 7}, {'J01': 31}, 
510.0, {'J01': -34.0}, {'J01': 9}, {'J01': 33}, 
515.0, {'J01': -36.0}, {'J01': 9}, {'J01': 33}, 
520.0, {'J01': -37.0}, {'J01': 9}, {'J01': 35}, 
525.0, {'J01': -38.0}, {'J01': 10}, {'J01': 38}, 
530.0, {'J01': -35.0}, {'J01': 8}, {'J01': 34}, 
535.0, {'J01': -34.0}, {'J01': 8}, {'J01': 33}, 
540.0, {'J01': -37.0}, {'J01': 8}, {'J01': 37}, 
545.0, {'J01': -38.0}, {'J01': 9}, {'J01': 37}, 
550.0, {'J01': -35.0}, {'J01': 8}, {'J01': 32}, 
555.0, {'J01': -32.0}, {'J01': 8}, {'J01': 29}, 
560.0, {'J01': -29.0}, {'J01': 8}, {'J01': 26}, 
565.0, {'J01': -26.0}, {'J01': 8}, {'J01': 25}, 
570.0, {'J01': -25.0}, {'J01': 7}, {'J01': 23}, 
575.0, {'J01': -24.0}, {'J01': 6}, {'J01': 23}, 
580.0, {'J01': -24.0}, {'J01': 6}, {'J01': 21}, 
585.0, {'J01': -25.0}, {'J01': 7}, {'J01': 23}, 
590.0, {'J01': -25.0}, {'J01': 8}, {'J01': 24}, 
595.0, {'J01': -25.0}, {'J01': 8}, {'J01': 25}, 
600.0, {'J01': -25.0}, {'J01': 8}, {'J01': 25}, 
605.0, {'J01': -26.0}, {'J01': 8}, {'J01': 26}, 
610.0, {'J01': -27.0}, {'J01': 8}, {'J01': 26}, 
615.0, {'J01': -29.0}, {'J01': 8}, {'J01': 27}, 
620.0, {'J01': -29.0}, {'J01': 8}, {'J01': 27}, 
625.0, {'J01': -31.0}, {'J01': 8}, {'J01': 27}, 
630.0, {'J01': -31.0}, {'J01': 8}, {'J01': 27}, 
635.0, {'J01': -28.0}, {'J01': 7}, {'J01': 25}, 
640.0, {'J01': -27.0}, {'J01': 6}, {'J01': 25}, 
645.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
650.0, {'J01': -27.0}, {'J01': 7}, {'J01': 27}, 
655.0, {'J01': -28.0}, {'J01': 7}, {'J01': 27}, 
660.0, {'J01': -27.0}, {'J01': 7}, {'J01': 26}, 
665.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
670.0, {'J01': -30.0}, {'J01': 7}, {'J01': 30}, 
675.0, {'J01': -30.0}, {'J01': 7}, {'J01': 30}, 
680.0, {'J01': -35.0}, {'J01': 7}, {'J01': 35}, 
685.0, {'J01': -44.0}, {'J01': 7}, {'J01': 44}, 
690.0, {'J01': -49.0}, {'J01': 7}, {'J01': 49}, 
695.0, {'J01': -50.0}, {'J01': 8}, {'J01': 50}, 
700.0, {'J01': -50.0}, {'J01': 8}, {'J01': 47}, 
705.0, {'J01': -52.0}, {'J01': 8}, {'J01': 48}, 
710.0, {'J01': -54.0}, {'J01': 8}, {'J01': 51}, 
715.0, {'J01': -55.0}, {'J01': 9}, {'J01': 53}, 
720.0, {'J01': -45.0}, {'J01': 7}, {'J01': 43}, 
725.0, {'J01': -38.0}, {'J01': 7}, {'J01': 37}, 
730.0, {'J01': -39.0}, {'J01': 7}, {'J01': 38}, 
735.0, {'J01': -39.0}, {'J01': 7}, {'J01': 38}, 
740.0, {'J01': -35.0}, {'J01': 7}, {'J01': 34}, 
745.0, {'J01': -29.0}, {'J01': 7}, {'J01': 29}, 
750.0, {'J01': -27.0}, {'J01': 7}, {'J01': 27}, 
755.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
760.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
765.0, {'J01': -30.0}, {'J01': 7}, {'J01': 28}, 
770.0, {'J01': -31.0}, {'J01': 7}, {'J01': 29}, 
775.0, {'J01': -33.0}, {'J01': 8}, {'J01': 31}, 
780.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
785.0, {'J01': -28.0}, {'J01': 8}, {'J01': 28}, 
790.0, {'J01': -29.0}, {'J01': 7}, {'J01': 28}, 
795.0, {'J01': -30.0}, {'J01': 7}, {'J01': 29}, 
800.0, {'J01': -28.0}, {'J01': 6}, {'J01': 28}, 
805.0, {'J01': -31.0}, {'J01': 5}, {'J01': 28}, 
810.0, {'J01': -39.0}, {'J01': 7}, {'J01': 36}, 
815.0, {'J01': -37.0}, {'J01': 8}, {'J01': 36}, 
820.0, {'J01': -39.0}, {'J01': 8}, {'J01': 39}, 
825.0, {'J01': -43.0}, {'J01': 8}, {'J01': 42}, 
830.0, {'J01': -46.0}, {'J01': 8}, {'J01': 44}, 
835.0, {'J01': -45.0}, {'J01': 8}, {'J01': 44}, 
840.0, {'J01': -44.0}, {'J01': 8}, {'J01': 44}, 
845.0, {'J01': -42.0}, {'J01': 7}, {'J01': 40}, 
850.0, {'J01': -37.0}, {'J01': 6}, {'J01': 35}, 
855.0, {'J01': -34.0}, {'J01': 6}, {'J01': 32}, 
860.0, {'J01': -35.0}, {'J01': 7}, {'J01': 33}, 
865.0, {'J01': -39.0}, {'J01': 8}, {'J01': 37}, 
870.0, {'J01': -39.0}, {'J01': 8}, {'J01': 38}, 
875.0, {'J01': -42.0}, {'J01': 8}, {'J01': 40}, 
880.0, {'J01': -46.0}, {'J01': 8}, {'J01': 44}, 
885.0, {'J01': -50.0}, {'J01': 8}, {'J01': 48}, 
890.0, {'J01': -52.0}, {'J01': 8}, {'J01': 50}, 
