episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
39,3161792.5,2225960.5,5657.5,38372.0,12855.0,-0.1186,1.66901,-3.0,3.0,0.4127,0.001,0.0857,-2.25846,0.466427,1080,28.9
40,4003357.5,1039340.0,5361.5,33609.0,7714.0,-0.10517,1.61791,-3.0,3.0,0.2059,0.0011,0.0619,-2.16037,0.458893,1080,27.8
41,3271486.5,1728768.5,5700.5,35782.0,10280.0,-0.10175,1.66601,-3.0,3.0,0.3453,0.0011,0.05,-2.93213,0.483443,1080,28.3
42,4906546.0,578151.5,4928.5,32939.0,6356.0,-0.06359,1.64691,-3.0,3.0,0.1053,0.0009,0.05,-2.93286,0.489806,1080,28.1
43,5506986.5,449187.0,5277.5,31995.0,5403.0,-0.08091,1.56504,-3.0,3.0,0.0753,0.0009,0.05,-2.81595,0.483264,1080,32.5
44,11986184.0,877912.5,4725.5,31343.0,5812.0,-0.1276,1.55246,-3.0,3.0,0.0682,0.0004,0.05,-2.05409,0.479436,1080,33.3
45,3629239.0,1099806.5,5575.5,34290.0,8346.0,-0.08973,1.64826,-3.0,3.0,0.2323,0.0012,0.05,-2.36245,0.47999,1080,31.9
46,2713705.5,4722313.0,8567.5,45137.0,18789.0,-0.13221,1.76623,-3.0,3.0,0.6343,0.0012,0.05,-2.07113,0.452119,1080,32.5
47,2647791.5,5252646.5,6372.0,46013.0,19808.0,-0.12654,1.7946,-3.0,3.0,0.6643,0.0008,0.05,-1.91671,0.430922,1080,32.4
48,2542738.5,2750072.0,5776.5,39280.0,13943.0,-0.11899,1.72016,-3.0,3.0,0.519,0.0011,0.05,-1.87582,0.456309,1080,31.4
49,3324056.0,1692865.5,5395.5,36034.0,11036.0,-0.07263,1.70661,-3.0,3.0,0.3371,0.0011,0.05,-2.04427,0.448532,1080,30.6
50,2752280.5,3121123.5,6121.5,40741.0,15712.0,-0.09823,1.72751,-3.0,3.0,0.5308,0.001,0.05,-1.98065,0.428252,1080,32.0
51,2627317.0,1742831.0,6332.0,37042.0,11717.0,-0.10144,1.72106,-3.0,3.0,0.3982,0.0014,0.05,-2.21374,0.444949,1080,31.5
