5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -4.2, 'top_mgr': 0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -15.200000000000001, 'top_mgr': 3}, {'J01': 4}, {'J01': 5}, 
25.0, {'J01': -25.8, 'top_mgr': 0}, {'J01': 4}, {'J01': 6}, 
30.0, {'J01': -25.6, 'top_mgr': 2}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -32.2, 'top_mgr': 4}, {'J01': 3}, {'J01': 9}, 
40.0, {'J01': -59.2, 'top_mgr': 2}, {'J01': 3}, {'J01': 12}, 
45.0, {'J01': -71.6, 'top_mgr': 3}, {'J01': 5}, {'J01': 12}, 
50.0, {'J01': -105.0, 'top_mgr': 2}, {'J01': 5}, {'J01': 17}, 
55.0, {'J01': -150.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 25}, 
60.0, {'J01': -193.00000000000003, 'top_mgr': 1}, {'J01': 6}, {'J01': 27}, 
65.0, {'J01': -201.20000000000002, 'top_mgr': 4}, {'J01': 8}, {'J01': 27}, 
70.0, {'J01': -204.99999999999997, 'top_mgr': 4}, {'J01': 8}, {'J01': 27}, 
75.0, {'J01': -249.79999999999998, 'top_mgr': 0}, {'J01': 8}, {'J01': 34}, 
80.0, {'J01': -281.20000000000005, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
85.0, {'J01': -316.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
90.0, {'J01': -367.6000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 38}, 
95.0, {'J01': -417.6, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
100.0, {'J01': -402.00000000000006, 'top_mgr': 7}, {'J01': 7}, {'J01': 36}, 
105.0, {'J01': -343.40000000000003, 'top_mgr': 8}, {'J01': 7}, {'J01': 31}, 
110.0, {'J01': -384.40000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 29}, 
115.0, {'J01': -374.8, 'top_mgr': 4}, {'J01': 7}, {'J01': 29}, 
120.0, {'J01': -369.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
125.0, {'J01': -418.6, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
130.0, {'J01': -422.6, 'top_mgr': 3}, {'J01': 8}, {'J01': 38}, 
135.0, {'J01': -402.20000000000005, 'top_mgr': 8}, {'J01': 7}, {'J01': 33}, 
140.0, {'J01': -428.6, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
145.0, {'J01': -481.20000000000005, 'top_mgr': 0}, {'J01': 7}, {'J01': 39}, 
150.0, {'J01': -538.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 44}, 
155.0, {'J01': -591.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 45}, 
160.0, {'J01': -579.2, 'top_mgr': 8}, {'J01': 7}, {'J01': 37}, 
165.0, {'J01': -593.2, 'top_mgr': 6}, {'J01': 6}, {'J01': 35}, 
170.0, {'J01': -649.2, 'top_mgr': 0}, {'J01': 6}, {'J01': 39}, 
175.0, {'J01': -531.0, 'top_mgr': 9}, {'J01': 6}, {'J01': 34}, 
180.0, {'J01': -468.40000000000003, 'top_mgr': 6}, {'J01': 8}, {'J01': 33}, 
185.0, {'J01': -476.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
