5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.0031835868)}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': np.float32(-0.005305978)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.025822427)}, {'J01': 1}, {'J01': 5}, 
30.0, {'J01': np.float32(-0.17370513)}, {'J01': 3}, {'J01': 8}, 
35.0, {'J01': np.float32(-0.41480756)}, {'J01': 4}, {'J01': 12}, 
40.0, {'J01': np.float32(0.45232594)}, {'J01': 3}, {'J01': 11}, 
45.0, {'J01': np.float32(-0.047753803)}, {'J01': 4}, {'J01': 15}, 
50.0, {'J01': np.float32(-0.3542139)}, {'J01': 5}, {'J01': 20}, 
55.0, {'J01': np.float32(-0.827139)}, {'J01': 5}, {'J01': 23}, 
60.0, {'J01': np.float32(-0.841642)}, {'J01': 7}, {'J01': 28}, 
65.0, {'J01': np.float32(-0.74542695)}, {'J01': 7}, {'J01': 29}, 
70.0, {'J01': np.float32(-0.7270329)}, {'J01': 6}, {'J01': 25}, 
75.0, {'J01': np.float32(-0.6000432)}, {'J01': 4}, {'J01': 20}, 
80.0, {'J01': np.float32(-0.7763899)}, {'J01': 4}, {'J01': 16}, 
85.0, {'J01': np.float32(3.0)}, {'J01': 4}, {'J01': 15}, 
90.0, {'J01': np.float32(-0.09833746)}, {'J01': 4}, {'J01': 20}, 
95.0, {'J01': np.float32(-0.6894318)}, {'J01': 4}, {'J01': 22}, 
100.0, {'J01': np.float32(-1.7137506)}, {'J01': 4}, {'J01': 24}, 
105.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 29}, 
110.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 27}, 
115.0, {'J01': np.float32(-0.84925866)}, {'J01': 8}, {'J01': 35}, 
120.0, {'J01': np.float32(-0.59623486)}, {'J01': 8}, {'J01': 38}, 
125.0, {'J01': np.float32(1.0960436)}, {'J01': 8}, {'J01': 37}, 
130.0, {'J01': np.float32(1.038739)}, {'J01': 8}, {'J01': 37}, 
135.0, {'J01': np.float32(-1.3789463)}, {'J01': 8}, {'J01': 44}, 
140.0, {'J01': np.float32(-1.9088678)}, {'J01': 7}, {'J01': 40}, 
145.0, {'J01': np.float32(-1.0691)}, {'J01': 6}, {'J01': 33}, 
150.0, {'J01': np.float32(-1.9787413)}, {'J01': 6}, {'J01': 36}, 
155.0, {'J01': np.float32(-2.9259837)}, {'J01': 7}, {'J01': 39}, 
160.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 41}, 
165.0, {'J01': np.float32(-0.79802746)}, {'J01': 8}, {'J01': 42}, 
170.0, {'J01': np.float32(0.09446919)}, {'J01': 8}, {'J01': 44}, 
