380.0, {'J01': np.float32(-0.24053767)}, {'J01': 13}, {'J01': 54}, 
385.0, {'J01': np.float32(-0.24053767)}, {'J01': 13}, {'J01': 54}, 
390.0, {'J01': np.float32(-0.31111857)}, {'J01': 13}, {'J01': 54}, 
395.0, {'J01': np.float32(-0.59344214)}, {'J01': 14}, {'J01': 55}, 
400.0, {'J01': np.float32(0.18294773)}, {'J01': 14}, {'J01': 56}, 
405.0, {'J01': np.float32(-0.49110815)}, {'J01': 17}, {'J01': 61}, 
410.0, {'J01': np.float32(-0.38559052)}, {'J01': 17}, {'J01': 60}, 
415.0, {'J01': np.float32(-0.5517845)}, {'J01': 18}, {'J01': 62}, 
420.0, {'J01': np.float32(-0.45121917)}, {'J01': 19}, {'J01': 62}, 
425.0, {'J01': np.float32(-0.7003747)}, {'J01': 19}, {'J01': 64}, 
430.0, {'J01': np.float32(-0.48650962)}, {'J01': 19}, {'J01': 62}, 
435.0, {'J01': np.float32(-0.59450334)}, {'J01': 19}, {'J01': 66}, 
440.0, {'J01': np.float32(-0.59238094)}, {'J01': 20}, {'J01': 66}, 
445.0, {'J01': np.float32(-0.59414965)}, {'J01': 20}, {'J01': 67}, 
450.0, {'J01': np.float32(-0.59414965)}, {'J01': 22}, {'J01': 69}, 
455.0, {'J01': np.float32(-0.601578)}, {'J01': 23}, {'J01': 72}, 
460.0, {'J01': np.float32(-0.5994556)}, {'J01': 24}, {'J01': 72}, 
465.0, {'J01': np.float32(-0.6379296)}, {'J01': 25}, {'J01': 74}, 
470.0, {'J01': np.float32(-0.96930206)}, {'J01': 25}, {'J01': 75}, 
475.0, {'J01': np.float32(0.41551504)}, {'J01': 25}, {'J01': 72}, 
480.0, {'J01': np.float32(-0.57752424)}, {'J01': 25}, {'J01': 72}, 
485.0, {'J01': np.float32(-0.7024971)}, {'J01': 26}, {'J01': 75}, 
490.0, {'J01': np.float32(-1.165164)}, {'J01': 27}, {'J01': 77}, 
495.0, {'J01': np.float32(-1.8356825)}, {'J01': 27}, {'J01': 77}, 
500.0, {'J01': np.float32(-2.0121348)}, {'J01': 29}, {'J01': 79}, 
505.0, {'J01': np.float32(-2.0827157)}, {'J01': 31}, {'J01': 81}, 
510.0, {'J01': np.float32(3.0)}, {'J01': 31}, {'J01': 82}, 
515.0, {'J01': np.float32(-0.5652264)}, {'J01': 32}, {'J01': 82}, 
520.0, {'J01': np.float32(-0.5299359)}, {'J01': 32}, {'J01': 83}, 
525.0, {'J01': np.float32(-0.7416786)}, {'J01': 32}, {'J01': 84}, 
530.0, {'J01': np.float32(0.4636286)}, {'J01': 33}, {'J01': 82}, 
535.0, {'J01': np.float32(-0.5831695)}, {'J01': 34}, {'J01': 81}, 
540.0, {'J01': np.float32(-1.2897004)}, {'J01': 34}, {'J01': 83}, 
545.0, {'J01': np.float32(0.63853997)}, {'J01': 34}, {'J01': 84}, 
550.0, {'J01': np.float32(-0.3181932)}, {'J01': 34}, {'J01': 84}, 
555.0, {'J01': np.float32(-0.8122595)}, {'J01': 34}, {'J01': 84}, 
