episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
39,4187836.0,1357966.5,5223.5,38033.0,9625.0,-0.0882,1.62682,-3.0,3.0,0.2446,0.0009,0.0857,-1.3936,0.427019,1080,42.0
40,4612018.5,3990880.0,6664.0,45681.0,16760.0,-0.12841,1.82263,-3.0,3.0,0.4635,0.0008,0.0619,-1.82247,0.43992,1080,44.8
41,4291099.0,822099.5,4765.5,35082.0,7392.0,-0.08807,1.59614,-3.0,3.0,0.1606,0.0009,0.05,-2.14525,0.4372,1080,41.5
42,3365913.0,4473648.5,7590.5,46556.0,18791.0,-0.11349,1.79548,-3.0,3.0,0.5701,0.001,0.05,-1.98535,0.429756,1080,43.6
43,4997381.5,1167330.0,5288.0,37322.0,8954.0,-0.07668,1.62536,-3.0,3.0,0.1892,0.0009,0.05,-1.94607,0.422392,1080,42.0
44,4130606.5,2191121.0,5367.0,37948.0,10736.0,-0.0956,1.61696,-3.0,3.0,0.3463,0.0008,0.05,-1.79457,0.430646,1080,40.7
45,5024899.5,866823.5,5100.5,35638.0,7452.0,-0.04572,1.63247,-3.0,3.0,0.147,0.0009,0.05,-1.7147,0.437935,1080,41.3
46,3517296.0,2962469.0,5886.0,42037.0,14295.0,-0.04813,1.73541,-3.0,3.0,0.4568,0.0009,0.05,-1.76116,0.419417,1080,41.1
47,3322219.0,2904183.0,5583.5,41769.0,14609.0,-0.09101,1.6611,-3.0,3.0,0.466,0.0009,0.05,-2.25759,0.424892,1080,40.1
48,4042080.5,1126387.5,5515.0,37126.0,9259.0,-0.09455,1.69966,-3.0,3.0,0.2177,0.0011,0.05,-2.07668,0.418807,1080,40.0
49,4237163.5,1708079.0,5942.0,36818.0,9950.0,-0.11323,1.66827,-3.0,3.0,0.287,0.001,0.05,-1.56058,0.438609,1080,39.5
50,3962010.5,1474260.0,5855.5,37590.0,10069.0,-0.09342,1.61801,-3.0,3.0,0.2709,0.0011,0.05,-1.80198,0.410291,1080,38.7
51,3814309.0,1729789.5,5683.5,37959.0,10547.0,-0.07899,1.67382,-3.0,3.0,0.3117,0.001,0.05,-1.84635,0.432942,1080,39.6
52,4275121.5,3494935.0,7623.0,41099.0,14294.0,-0.11564,1.68446,-3.0,3.0,0.4494,0.001,0.05,-1.64946,0.407611,1080,40.0
53,3470249.5,1806522.0,5400.5,38789.0,10574.0,-0.08627,1.65227,-3.0,3.0,0.342,0.001,0.05,-1.58186,0.410615,1080,38.7
54,3511841.5,2336569.5,5474.0,39908.0,12676.0,-0.05751,1.66104,-3.0,3.0,0.3991,0.0009,0.05,-1.72665,0.402233,1080,39.2
55,2961147.0,1483675.0,5741.0,36461.0,9708.0,-0.08621,1.62796,-3.0,3.0,0.3334,0.0013,0.05,-2.0383,0.403626,1080,41.9
56,2898325.5,3723902.0,5839.0,41955.0,14757.0,-0.10418,1.64214,-3.0,3.0,0.5618,0.0009,0.05,-1.92393,0.392007,1080,41.5
57,3771019.0,2897066.0,6281.5,42643.0,14427.0,-0.07936,1.73193,-3.0,3.0,0.4341,0.0009,0.05,-2.1152,0.388155,1080,39.8
58,3489890.0,1314617.5,5516.5,37494.0,9844.0,-0.07464,1.67752,-3.0,3.0,0.2733,0.0011,0.05,-2.1012,0.401542,1080,39.2
59,3404568.0,1675627.0,5419.0,37200.0,10325.0,-0.09182,1.63269,-3.0,3.0,0.3295,0.0011,0.05,-1.85386,0.385253,1080,40.2
60,2661006.0,1555546.5,6314.0,37403.0,10727.0,-0.11094,1.70548,-3.0,3.0,0.3684,0.0015,0.05,-1.7965,0.388808,1080,39.7
61,2693537.5,2671270.0,5892.0,41104.0,14307.0,-0.09357,1.67283,-3.0,3.0,0.4974,0.0011,0.05,-2.13396,0.396158,1080,39.1
62,2351227.5,5510071.0,6477.5,47190.0,20908.0,-0.09981,1.78264,-3.0,3.0,0.7003,0.0008,0.05,-1.99673,0.382637,1080,42.5
63,2804251.5,1140776.5,6147.0,36335.0,9650.0,-0.11185,1.67197,-3.0,3.0,0.2887,0.0016,0.05,-2.19638,0.369633,1080,41.3
64,2753792.5,1876317.5,5976.5,39018.0,12179.0,-0.10405,1.70185,-3.0,3.0,0.4047,0.0013,0.05,-2.26692,0.377867,1080,38.3
65,2545628.5,1265520.0,5990.0,35875.0,9664.0,-0.07091,1.64673,-3.0,3.0,0.3315,0.0016,0.05,-1.86326,0.372399,1080,38.6
66,2617033.5,1495912.5,5871.0,37750.0,10746.0,-0.06579,1.65485,-3.0,3.0,0.3632,0.0014,0.05,-1.86635,0.380456,1080,42.7
67,2784583.5,2271437.5,5574.0,40248.0,13512.0,-0.06448,1.68742,-3.0,3.0,0.4488,0.0011,0.05,-2.00963,0.369712,1080,43.2
68,2950997.0,1243256.0,5672.0,35617.0,9464.0,-0.04387,1.68905,-3.0,3.0,0.296,0.0014,0.05,-1.86221,0.362073,1080,39.7
69,2628994.0,1764605.0,5453.5,36216.0,10603.0,-0.06566,1.64478,-3.0,3.0,0.4011,0.0012,0.05,-1.58904,0.348848,1080,41.4
70,2730216.5,1782886.0,6542.5,36794.0,10855.0,-0.10257,1.65135,-3.0,3.0,0.3945,0.0014,0.05,-2.09001,0.359933,1080,42.0
71,2783747.0,2880788.5,6056.5,40871.0,14653.0,-0.08616,1.70189,-3.0,3.0,0.508,0.0011,0.05,-1.88749,0.3564,1080,43.0
72,2561078.0,2500294.5,6360.0,40257.0,13565.0,-0.0788,1.71507,-3.0,3.0,0.4934,0.0013,0.05,-1.55434,0.348638,1080,42.0
73,2695562.0,4130461.0,6276.0,45215.0,18267.0,-0.11093,1.71888,-3.0,3.0,0.6045,0.0009,0.05,-1.61933,0.343161,1080,40.6
74,2488310.5,3157437.0,6377.5,41688.0,15437.0,-0.08409,1.7059,-3.0,3.0,0.5586,0.0011,0.05,-1.86747,0.338367,1080,40.1
75,2669127.5,3788712.5,6404.5,42975.0,16609.0,-0.10349,1.72065,-3.0,3.0,0.5861,0.001,0.05,-1.84503,0.347082,1080,40.4
76,3043914.0,3628382.0,6403.0,41997.0,15674.0,-0.10089,1.72592,-3.0,3.0,0.5433,0.001,0.05,-1.8927,0.36296,1080,41.0
77,2883847.5,2836381.0,6315.0,41044.0,14697.0,-0.10187,1.7146,-3.0,3.0,0.4953,0.0011,0.05,-1.77638,0.360052,1080,40.2
78,2732545.0,1147970.5,5727.0,34681.0,8599.0,-0.07265,1.55894,-3.0,3.0,0.2954,0.0015,0.05,-1.45058,0.334214,1080,39.1
79,2140971.5,4826414.0,7080.5,45404.0,19435.0,-0.12903,1.74607,-3.0,3.0,0.692,0.001,0.05,-1.47696,0.328629,1080,40.3
80,2517671.0,1642213.0,6157.0,37094.0,11399.0,-0.05865,1.68941,-3.0,3.0,0.3942,0.0015,0.05,-1.67776,0.345806,1080,40.0
81,2213236.5,2352296.5,6188.0,39417.0,14135.0,-0.08395,1.63538,-3.0,3.0,0.5145,0.0014,0.05,-1.96376,0.35274,1080,39.2
82,2469173.0,2765051.0,7040.5,40757.0,14924.0,-0.07244,1.74378,-3.0,3.0,0.5276,0.0013,0.05,-1.88312,0.351838,1080,39.6
83,2682949.0,2033114.5,11346.0,37142.0,11266.0,-0.13958,1.67885,-3.0,3.0,0.4301,0.0024,0.05,-1.97438,0.357757,1080,39.3
84,3183651.5,1272275.0,5459.5,34448.0,8504.0,-0.07097,1.56899,-3.0,3.0,0.2852,0.0012,0.05,-1.96657,0.352955,1080,38.4
85,2283428.5,2567660.0,6848.0,40738.0,14706.0,-0.10348,1.69792,-3.0,3.0,0.5285,0.0014,0.05,-1.80917,0.35173,1080,40.1
86,2373178.0,1666621.0,5903.5,37159.0,11285.0,-0.07259,1.61511,-3.0,3.0,0.4119,0.0015,0.05,-1.73605,0.348722,1080,39.0
87,2890997.5,1877783.0,6568.5,38291.0,12062.0,-0.09438,1.72768,-3.0,3.0,0.3932,0.0014,0.05,-2.05391,0.346923,1080,39.2
88,2511613.0,924132.5,5734.0,34456.0,8609.0,-0.08145,1.64564,-3.0,3.0,0.2685,0.0017,0.05,-2.16805,0.33922,1080,38.2
89,2720696.0,1551305.0,5598.0,36253.0,10409.0,-0.07809,1.66341,-3.0,3.0,0.3627,0.0013,0.05,-2.1046,0.342866,1080,39.6
