85.0, {'J10': -11.0, 'J11': 0, 'J12': -317.5, 'J13': -113.0, 'cluster3106249630_3106249631_J60_J61_#5more': -686.5}, {'J10': 1, 'J11': 0, 'J12': 6, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 1, 'J11': 0, 'J12': 15, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, 
90.0, {'J10': 0, 'J11': -8.5, 'J12': -272.5, 'J13': -154.0, 'cluster3106249630_3106249631_J60_J61_#5more': -512.5}, {'J10': 0, 'J11': 2, 'J12': 4, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 0, 'J11': 2, 'J12': 9, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, 
95.0, {'J10': -3.5, 'J11': 0, 'J12': -301.0, 'J13': -125.0, 'cluster3106249630_3106249631_J60_J61_#5more': -519.0}, {'J10': 1, 'J11': 0, 'J12': 4, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 2, 'J11': 0, 'J12': 9, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, 
100.0, {'J10': -23.5, 'J11': 0, 'J12': -370.5, 'J13': -69.0, 'cluster3106249630_3106249631_J60_J61_#5more': -551.5}, {'J10': 1, 'J11': 0, 'J12': 4, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 2, 'J11': 0, 'J12': 11, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 17}, 
105.0, {'J10': 0, 'J11': -2.5, 'J12': -419.5, 'J13': -101.5, 'cluster3106249630_3106249631_J60_J61_#5more': -708.0}, {'J10': 0, 'J11': 1, 'J12': 4, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 0, 'J11': 1, 'J12': 11, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
110.0, {'J10': 0, 'J11': -12.5, 'J12': -479.0, 'J13': -141.5, 'cluster3106249630_3106249631_J60_J61_#5more': -938.0}, {'J10': 0, 'J11': 1, 'J12': 6, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, {'J10': 0, 'J11': 1, 'J12': 16, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 27}, 
115.0, {'J10': -2.5, 'J11': -2.5, 'J12': -650.5, 'J13': -187.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1091.0}, {'J10': 1, 'J11': 1, 'J12': 6, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, {'J10': 2, 'J11': 1, 'J12': 21, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, 
120.0, {'J10': -29.0, 'J11': -22.5, 'J12': -882.0, 'J13': -252.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1232.0}, {'J10': 3, 'J11': 4, 'J12': 7, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 11}, {'J10': 5, 'J11': 6, 'J12': 28, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
125.0, {'J10': -12.0, 'J11': -25.5, 'J12': -855.5, 'J13': -172.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1031.5}, {'J10': 1, 'J11': 2, 'J12': 8, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 1, 'J11': 3, 'J12': 23, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
130.0, {'J10': 0, 'J11': -14.5, 'J12': -851.5, 'J13': -131.5, 'cluster3106249630_3106249631_J60_J61_#5more': -411.0}, {'J10': 0, 'J11': 1, 'J12': 9, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 0, 'J11': 2, 'J12': 18, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, 
135.0, {'J10': -2.0, 'J11': -39.5, 'J12': -977.5, 'J13': -165.0, 'cluster3106249630_3106249631_J60_J61_#5more': -301.0}, {'J10': 1, 'J11': 2, 'J12': 11, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 4, 'J12': 20, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
140.0, {'J10': -15.5, 'J11': -68.0, 'J12': -1031.5, 'J13': -205.0, 'cluster3106249630_3106249631_J60_J61_#5more': -362.5}, {'J10': 2, 'J11': 2, 'J12': 13, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 2, 'J11': 4, 'J12': 21, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, 
