5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -5.5}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -23.0}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -44.5}, {'J01': 2}, {'J01': 4}, 
30.0, {'J01': -92.0}, {'J01': 2}, {'J01': 8}, 
35.0, {'J01': -166.0}, {'J01': 2}, {'J01': 10}, 
40.0, {'J01': -202.5}, {'J01': 2}, {'J01': 7}, 
45.0, {'J01': -220.0}, {'J01': 2}, {'J01': 9}, 
50.0, {'J01': -275.5}, {'J01': 2}, {'J01': 14}, 
55.0, {'J01': -361.0}, {'J01': 3}, {'J01': 13}, 
60.0, {'J01': -451.0}, {'J01': 3}, {'J01': 15}, 
65.0, {'J01': -616.5}, {'J01': 3}, {'J01': 25}, 
70.0, {'J01': -897.0}, {'J01': 5}, {'J01': 34}, 
75.0, {'J01': -1128.5}, {'J01': 7}, {'J01': 36}, 
80.0, {'J01': -1219.0}, {'J01': 5}, {'J01': 27}, 
85.0, {'J01': -1366.5}, {'J01': 4}, {'J01': 24}, 
90.0, {'J01': -1261.5}, {'J01': 3}, {'J01': 18}, 
95.0, {'J01': -1402.5}, {'J01': 4}, {'J01': 26}, 
100.0, {'J01': -1631.5}, {'J01': 7}, {'J01': 31}, 
105.0, {'J01': -1845.5}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -1932.5}, {'J01': 4}, {'J01': 24}, 
115.0, {'J01': -2078.5}, {'J01': 4}, {'J01': 22}, 
120.0, {'J01': -2050.0}, {'J01': 3}, {'J01': 18}, 
125.0, {'J01': -2142.5}, {'J01': 3}, {'J01': 24}, 
130.0, {'J01': -2343.5}, {'J01': 6}, {'J01': 31}, 
135.0, {'J01': -2684.5}, {'J01': 8}, {'J01': 41}, 
140.0, {'J01': -2896.0}, {'J01': 7}, {'J01': 41}, 
145.0, {'J01': -3034.5}, {'J01': 5}, {'J01': 33}, 
150.0, {'J01': -3169.0}, {'J01': 4}, {'J01': 28}, 
155.0, {'J01': -3216.0}, {'J01': 4}, {'J01': 23}, 
160.0, {'J01': -3259.0}, {'J01': 4}, {'J01': 22}, 
165.0, {'J01': -3131.0}, {'J01': 4}, {'J01': 27}, 
170.0, {'J01': -3261.5}, {'J01': 7}, {'J01': 30}, 
175.0, {'J01': -3586.0}, {'J01': 8}, {'J01': 38}, 
180.0, {'J01': -3937.0}, {'J01': 8}, {'J01': 41}, 
185.0, {'J01': -4165.5}, {'J01': 6}, {'J01': 37}, 
190.0, {'J01': -3606.5}, {'J01': 6}, {'J01': 36}, 
195.0, {'J01': -3346.5}, {'J01': 6}, {'J01': 35}, 
200.0, {'J01': -3232.0}, {'J01': 6}, {'J01': 27}, 
205.0, {'J01': -2943.0}, {'J01': 4}, {'J01': 18}, 
210.0, {'J01': -2972.0}, {'J01': 4}, {'J01': 17}, 
215.0, {'J01': -2617.0}, {'J01': 4}, {'J01': 17}, 
220.0, {'J01': -2604.5}, {'J01': 5}, {'J01': 22}, 
225.0, {'J01': -2588.5}, {'J01': 6}, {'J01': 29}, 
230.0, {'J01': -2821.5}, {'J01': 8}, {'J01': 34}, 
235.0, {'J01': -3019.5}, {'J01': 7}, {'J01': 32}, 
240.0, {'J01': -3128.5}, {'J01': 5}, {'J01': 27}, 
245.0, {'J01': -3169.0}, {'J01': 5}, {'J01': 23}, 
250.0, {'J01': -3224.5}, {'J01': 7}, {'J01': 21}, 
255.0, {'J01': -3080.0}, {'J01': 7}, {'J01': 20}, 
260.0, {'J01': -3230.0}, {'J01': 7}, {'J01': 26}, 
265.0, {'J01': -3501.5}, {'J01': 7}, {'J01': 34}, 
270.0, {'J01': -3772.0}, {'J01': 7}, {'J01': 36}, 
275.0, {'J01': -3923.5}, {'J01': 7}, {'J01': 29}, 
280.0, {'J01': -4087.5}, {'J01': 7}, {'J01': 26}, 
285.0, {'J01': -4217.0}, {'J01': 7}, {'J01': 23}, 
290.0, {'J01': -4144.0}, {'J01': 8}, {'J01': 23}, 
295.0, {'J01': -4389.0}, {'J01': 8}, {'J01': 30}, 
300.0, {'J01': -4660.0}, {'J01': 8}, {'J01': 32}, 
305.0, {'J01': -4867.0}, {'J01': 8}, {'J01': 29}, 
310.0, {'J01': -4803.0}, {'J01': 8}, {'J01': 26}, 
315.0, {'J01': -5070.0}, {'J01': 8}, {'J01': 32}, 
320.0, {'J01': -5355.0}, {'J01': 8}, {'J01': 35}, 
325.0, {'J01': -5517.0}, {'J01': 8}, {'J01': 33}, 
330.0, {'J01': -5699.0}, {'J01': 8}, {'J01': 28}, 
335.0, {'J01': -5565.5}, {'J01': 8}, {'J01': 24}, 
340.0, {'J01': -5641.0}, {'J01': 8}, {'J01': 27}, 
345.0, {'J01': -5888.0}, {'J01': 8}, {'J01': 30}, 
350.0, {'J01': -6166.5}, {'J01': 8}, {'J01': 31}, 
355.0, {'J01': -6344.0}, {'J01': 8}, {'J01': 26}, 
360.0, {'J01': -6380.0}, {'J01': 8}, {'J01': 26}, 
365.0, {'J01': -6526.0}, {'J01': 8}, {'J01': 30}, 
370.0, {'J01': -6840.0}, {'J01': 8}, {'J01': 36}, 
375.0, {'J01': -6937.0}, {'J01': 8}, {'J01': 28}, 
380.0, {'J01': -7063.5}, {'J01': 8}, {'J01': 23}, 
385.0, {'J01': -7132.0}, {'J01': 8}, {'J01': 22}, 
390.0, {'J01': -7193.5}, {'J01': 8}, {'J01': 22}, 
395.0, {'J01': -7388.5}, {'J01': 8}, {'J01': 30}, 
400.0, {'J01': -7654.0}, {'J01': 8}, {'J01': 33}, 
405.0, {'J01': -7891.0}, {'J01': 8}, {'J01': 32}, 
410.0, {'J01': -8039.0}, {'J01': 8}, {'J01': 27}, 
415.0, {'J01': -8189.5}, {'J01': 8}, {'J01': 23}, 
420.0, {'J01': -8316.5}, {'J01': 8}, {'J01': 23}, 
425.0, {'J01': -8351.0}, {'J01': 8}, {'J01': 23}, 
430.0, {'J01': -8593.0}, {'J01': 8}, {'J01': 29}, 
