jammed_count,start_edge,end_edge,num_edges,example_id,edges
83,-300626108#4,109712077,17,bike0_1148,-300626108#4 -300626108#3 -300626108#2 -364393929#1 -364393929#0 -1911240#6 -1911240#5 -1911240#4 152449891 162093000#0 4250845#0 104402603 104402603.29 109712078 104402602#1 -1101419247 109712077
82,654282338#1,127497088#0,9,bike0_893,654282338#1 654282338#2 654282338#3 1323685793 1323685793.43 363511226#2 1323685795#1 451935263 127497088#0
81,128079756#1,4234182#0,7,bike0_2960,128079756#1 128079756#2 128079759#0 1355686495 1075746754#0 -27294504#0 4234182#0
80,-234571649#0,363647271#2,6,bike0_286,-234571649#0 87325166#0 234577460#1 234577460#2 229881046#0 363647271#2
80,420044917#1,234571649#0,15,bike0_2652,420044917#1 1018614217#0 1018614217#1 1018614217#1.62 497264736 497264736.104 262671471#2 8121740#0 497264739#0 497262589#1 497262589#2 1265224597 E48 234577462#1 234571649#0
79,305430250#3,278143066#2,6,bike0_66,305430250#3 -76815388#1.2 -209692779#8 278143066#0 278143066#1 278143066#2
77,27226010#2,127497088#2,14,bike0_64,27226010#2 27226010#3 742302328#0 E32 654282338#1 654282338#2 654282338#3 1323685793 1323685793.43 363511226#2 1323685795#1 451935263 127497088#0 127497088#2
77,420039032,-24815667#5,8,bike0_3383,420039032 27201304#1 1067190735#0 E1 26165232#0 -1067175970 -24815667#7 -24815667#5
73,234470016#0,27201304#1,12,bike0_119,234470016#0 234577460#1 234577460#2 229881046#0 363647271#2 E16 E16.174 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1
71,164056929#1,27432851#0,4,bike0_8349,164056929#1 152449891 162093000#0 27432851#0
70,537400024#1,1694121#0.3,13,bike0_280,537400024#1 1323685812.0 596202508#2 742302330#1 127496109#0 127496109#1 1323685808#0 1355324272 1355324272.32 742322419#0 654821491#1 330916631#0 1694121#0.3
68,176710614#0,-36523265#4,11,bike0_807,176710614#0 176710614#1 176710614#2 8122261#3 8122261#3.96 8122261#3.140 747921366#1 -305430250#4.1 -305430250#2 -1072940286#1 -36523265#4
66,-176710614#1,-1694123#2,16,bike0_191,-176710614#1 -1424171454 1424171454 176710614#1 176710614#2 8122261#3 8122261#3.96 8122261#3.140 -209692779#8 -209692779#5 -209692779#4 -209692779#3 -209692779#2 -162053484#1 -576383494 -1694123#2
62,-127998250#1.38,E14,10,bike0_342,-127998250#1.38 -127998250#0 368640338#0 363647271#2 E16 E16.174 24613283#1 -330748694#12 -330748694#11 E14
62,266942153#3,-27199040#1,14,bike0_2894,266942153#3 -266942153#3 -266942153#1 266942152#0 266942152#2 266942152#4 266942152#5 27199041#0 27199041#1 27199041#2 27199041#3 -27199042 -27199040#2 -27199040#1
