5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -4.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -38.5}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -94.0}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -164.0}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -170.5}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -254.5}, {'J01': 4}, {'J01': 10}, 
45.0, {'J01': -159.0}, {'J01': 2}, {'J01': 8}, 
50.0, {'J01': -153.0}, {'J01': 3}, {'J01': 12}, 
55.0, {'J01': -234.0}, {'J01': 4}, {'J01': 16}, 
60.0, {'J01': -390.0}, {'J01': 5}, {'J01': 22}, 
65.0, {'J01': -327.5}, {'J01': 5}, {'J01': 20}, 
70.0, {'J01': -223.5}, {'J01': 4}, {'J01': 12}, 
75.0, {'J01': -227.5}, {'J01': 4}, {'J01': 12}, 
80.0, {'J01': -365.0}, {'J01': 4}, {'J01': 21}, 
85.0, {'J01': -459.5}, {'J01': 5}, {'J01': 21}, 
90.0, {'J01': -453.5}, {'J01': 6}, {'J01': 19}, 
95.0, {'J01': -605.5}, {'J01': 7}, {'J01': 22}, 
100.0, {'J01': -845.5}, {'J01': 8}, {'J01': 30}, 
105.0, {'J01': -802.5}, {'J01': 7}, {'J01': 26}, 
110.0, {'J01': -543.0}, {'J01': 5}, {'J01': 18}, 
115.0, {'J01': -535.5}, {'J01': 4}, {'J01': 18}, 
120.0, {'J01': -727.5}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -908.5}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -1136.5}, {'J01': 8}, {'J01': 33}, 
135.0, {'J01': -1402.0}, {'J01': 8}, {'J01': 35}, 
140.0, {'J01': -1760.5}, {'J01': 8}, {'J01': 39}, 
145.0, {'J01': -1685.5}, {'J01': 7}, {'J01': 35}, 
150.0, {'J01': -1133.0}, {'J01': 4}, {'J01': 24}, 
155.0, {'J01': -1276.0}, {'J01': 4}, {'J01': 24}, 
160.0, {'J01': -1527.0}, {'J01': 4}, {'J01': 29}, 
165.0, {'J01': -1522.5}, {'J01': 7}, {'J01': 35}, 
170.0, {'J01': -1127.5}, {'J01': 8}, {'J01': 30}, 
175.0, {'J01': -1337.0}, {'J01': 8}, {'J01': 33}, 
180.0, {'J01': -1676.5}, {'J01': 8}, {'J01': 38}, 
185.0, {'J01': -2065.5}, {'J01': 8}, {'J01': 41}, 
190.0, {'J01': -1349.0}, {'J01': 6}, {'J01': 28}, 
195.0, {'J01': -1094.0}, {'J01': 5}, {'J01': 24}, 
200.0, {'J01': -1300.0}, {'J01': 5}, {'J01': 26}, 
205.0, {'J01': -1359.5}, {'J01': 6}, {'J01': 27}, 
210.0, {'J01': -1518.0}, {'J01': 8}, {'J01': 29}, 
215.0, {'J01': -1742.5}, {'J01': 8}, {'J01': 30}, 
220.0, {'J01': -2053.5}, {'J01': 8}, {'J01': 34}, 
225.0, {'J01': -1788.0}, {'J01': 7}, {'J01': 29}, 
230.0, {'J01': -1183.5}, {'J01': 6}, {'J01': 20}, 
235.0, {'J01': -1012.5}, {'J01': 5}, {'J01': 17}, 
240.0, {'J01': -1197.0}, {'J01': 5}, {'J01': 23}, 
245.0, {'J01': -1251.0}, {'J01': 7}, {'J01': 26}, 
250.0, {'J01': -1284.0}, {'J01': 8}, {'J01': 26}, 
255.0, {'J01': -1546.5}, {'J01': 8}, {'J01': 28}, 
260.0, {'J01': -1835.5}, {'J01': 8}, {'J01': 31}, 
265.0, {'J01': -1259.0}, {'J01': 7}, {'J01': 24}, 
270.0, {'J01': -625.0}, {'J01': 4}, {'J01': 17}, 
275.0, {'J01': -588.0}, {'J01': 4}, {'J01': 16}, 
280.0, {'J01': -760.5}, {'J01': 4}, {'J01': 23}, 
285.0, {'J01': -933.5}, {'J01': 7}, {'J01': 27}, 
290.0, {'J01': -912.0}, {'J01': 8}, {'J01': 25}, 
295.0, {'J01': -1128.0}, {'J01': 8}, {'J01': 28}, 
300.0, {'J01': -1421.5}, {'J01': 8}, {'J01': 34}, 
305.0, {'J01': -1399.0}, {'J01': 7}, {'J01': 32}, 
310.0, {'J01': -856.5}, {'J01': 5}, {'J01': 23}, 
315.0, {'J01': -771.0}, {'J01': 4}, {'J01': 20}, 
320.0, {'J01': -915.0}, {'J01': 4}, {'J01': 25}, 
325.0, {'J01': -1101.0}, {'J01': 6}, {'J01': 27}, 
330.0, {'J01': -1198.0}, {'J01': 8}, {'J01': 30}, 
335.0, {'J01': -1453.5}, {'J01': 8}, {'J01': 32}, 
340.0, {'J01': -1783.5}, {'J01': 8}, {'J01': 35}, 
345.0, {'J01': -1606.0}, {'J01': 7}, {'J01': 33}, 
350.0, {'J01': -798.0}, {'J01': 5}, {'J01': 20}, 
355.0, {'J01': -770.5}, {'J01': 5}, {'J01': 18}, 
360.0, {'J01': -916.5}, {'J01': 5}, {'J01': 22}, 
365.0, {'J01': -1091.5}, {'J01': 6}, {'J01': 28}, 
370.0, {'J01': -1053.0}, {'J01': 8}, {'J01': 31}, 
375.0, {'J01': -1252.0}, {'J01': 8}, {'J01': 31}, 
380.0, {'J01': -1567.5}, {'J01': 8}, {'J01': 33}, 
385.0, {'J01': -1504.0}, {'J01': 7}, {'J01': 29}, 
390.0, {'J01': -738.0}, {'J01': 4}, {'J01': 18}, 
395.0, {'J01': -809.0}, {'J01': 4}, {'J01': 20}, 
400.0, {'J01': -969.5}, {'J01': 4}, {'J01': 25}, 
405.0, {'J01': -1003.0}, {'J01': 7}, {'J01': 27}, 
