335.0, {'J01': -1376.4, 'top_mgr': 0}, {'J01': 34}, {'J01': 73}, 
340.0, {'J01': -1412.2000000000003, 'top_mgr': 0}, {'J01': 34}, {'J01': 75}, 
345.0, {'J01': -1320.0000000000002, 'top_mgr': 15}, {'J01': 31}, {'J01': 61}, 
350.0, {'J01': -1352.0, 'top_mgr': 2}, {'J01': 31}, {'J01': 59}, 
355.0, {'J01': -1394.0, 'top_mgr': 0}, {'J01': 33}, {'J01': 65}, 
360.0, {'J01': -1433.0, 'top_mgr': 1}, {'J01': 33}, {'J01': 68}, 
365.0, {'J01': -1478.0, 'top_mgr': 1}, {'J01': 33}, {'J01': 77}, 
370.0, {'J01': -1437.2000000000003, 'top_mgr': 5}, {'J01': 31}, {'J01': 73}, 
375.0, {'J01': -1459.4, 'top_mgr': 2}, {'J01': 31}, {'J01': 72}, 
380.0, {'J01': -1483.6, 'top_mgr': 2}, {'J01': 32}, {'J01': 71}, 
385.0, {'J01': -1474.4, 'top_mgr': 1}, {'J01': 32}, {'J01': 71}, 
390.0, {'J01': -1505.6, 'top_mgr': 0}, {'J01': 32}, {'J01': 74}, 
395.0, {'J01': -1541.1999999999998, 'top_mgr': 0}, {'J01': 32}, {'J01': 76}, 
400.0, {'J01': -1558.8000000000002, 'top_mgr': 1}, {'J01': 31}, {'J01': 75}, 
405.0, {'J01': -1164.0000000000005, 'top_mgr': 10}, {'J01': 32}, {'J01': 70}, 
410.0, {'J01': -1181.6, 'top_mgr': 6}, {'J01': 31}, {'J01': 66}, 
415.0, {'J01': -1221.6, 'top_mgr': 1}, {'J01': 32}, {'J01': 69}, 
420.0, {'J01': -1185.1999999999998, 'top_mgr': 8}, {'J01': 32}, {'J01': 64}, 
425.0, {'J01': -1205.6, 'top_mgr': 2}, {'J01': 32}, {'J01': 71}, 
430.0, {'J01': -1246.3999999999999, 'top_mgr': 0}, {'J01': 32}, {'J01': 75}, 
435.0, {'J01': -1224.4, 'top_mgr': 6}, {'J01': 32}, {'J01': 70}, 
440.0, {'J01': -1080.0, 'top_mgr': 12}, {'J01': 33}, {'J01': 60}, 
445.0, {'J01': -1015.1999999999999, 'top_mgr': 5}, {'J01': 35}, {'J01': 62}, 
450.0, {'J01': -1055.0, 'top_mgr': 1}, {'J01': 35}, {'J01': 66}, 
455.0, {'J01': -1028.6, 'top_mgr': 4}, {'J01': 35}, {'J01': 65}, 
460.0, {'J01': -1052.2, 'top_mgr': 4}, {'J01': 37}, {'J01': 69}, 
465.0, {'J01': -1090.0, 'top_mgr': 0}, {'J01': 38}, {'J01': 74}, 
470.0, {'J01': -1120.2, 'top_mgr': 1}, {'J01': 38}, {'J01': 73}, 
475.0, {'J01': -1144.2, 'top_mgr': 3}, {'J01': 38}, {'J01': 71}, 
480.0, {'J01': -1153.6, 'top_mgr': 1}, {'J01': 38}, {'J01': 73}, 
485.0, {'J01': -1165.4, 'top_mgr': 2}, {'J01': 38}, {'J01': 71}, 
490.0, {'J01': -1172.2, 'top_mgr': 4}, {'J01': 38}, {'J01': 70}, 
495.0, {'J01': -1197.8, 'top_mgr': 3}, {'J01': 38}, {'J01': 71}, 
500.0, {'J01': -1219.6000000000001, 'top_mgr': 5}, {'J01': 38}, {'J01': 70}, 
505.0, {'J01': -1251.4, 'top_mgr': 1}, {'J01': 38}, {'J01': 70}, 
510.0, {'J01': -997.8000000000001, 'top_mgr': 8}, {'J01': 38}, {'J01': 66}, 
515.0, {'J01': -542.8000000000001, 'top_mgr': 18}, {'J01': 35}, {'J01': 56}, 
