5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -15.98}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -1.0}, {'J01': 1}, {'J01': 1}, 
25.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': -7.0}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -14.91}, {'J01': 4}, {'J01': 7}, 
40.0, {'J01': -32.89}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': -20.91}, {'J01': 4}, {'J01': 13}, 
50.0, {'J01': -24.910000000000004}, {'J01': 4}, {'J01': 17}, 
55.0, {'J01': -18.84}, {'J01': 5}, {'J01': 19}, 
60.0, {'J01': -20.76}, {'J01': 6}, {'J01': 21}, 
65.0, {'J01': -22.68}, {'J01': 6}, {'J01': 23}, 
70.0, {'J01': -23.91}, {'J01': 6}, {'J01': 16}, 
75.0, {'J01': -63.71000000000001}, {'J01': 6}, {'J01': 24}, 
80.0, {'J01': -61.72}, {'J01': 8}, {'J01': 30}, 
85.0, {'J01': -48.66}, {'J01': 8}, {'J01': 33}, 
90.0, {'J01': -70.63}, {'J01': 8}, {'J01': 31}, 
95.0, {'J01': -71.7}, {'J01': 7}, {'J01': 24}, 
100.0, {'J01': -56.72}, {'J01': 7}, {'J01': 25}, 
105.0, {'J01': -50.730000000000004}, {'J01': 7}, {'J01': 27}, 
110.0, {'J01': -37.67}, {'J01': 8}, {'J01': 30}, 
115.0, {'J01': -64.56}, {'J01': 8}, {'J01': 33}, 
120.0, {'J01': -57.49}, {'J01': 8}, {'J01': 34}, 
125.0, {'J01': -105.35}, {'J01': 8}, {'J01': 34}, 
130.0, {'J01': -82.53}, {'J01': 7}, {'J01': 27}, 
135.0, {'J01': -84.45}, {'J01': 7}, {'J01': 29}, 
140.0, {'J01': -95.28}, {'J01': 7}, {'J01': 32}, 
145.0, {'J01': -81.38}, {'J01': 8}, {'J01': 34}, 
150.0, {'J01': -77.99000000000001}, {'J01': 8}, {'J01': 39}, 
155.0, {'J01': -48.18000000000001}, {'J01': 8}, {'J01': 33}, 
160.0, {'J01': -76.07000000000001}, {'J01': 8}, {'J01': 37}, 
165.0, {'J01': -108.87}, {'J01': 10}, {'J01': 38}, 
170.0, {'J01': -51.86}, {'J01': 12}, {'J01': 37}, 
175.0, {'J01': -101.56}, {'J01': 13}, {'J01': 39}, 
180.0, {'J01': -54.7}, {'J01': 13}, {'J01': 40}, 
185.0, {'J01': -62.769999999999996}, {'J01': 13}, {'J01': 40}, 
190.0, {'J01': -76.91}, {'J01': 13}, {'J01': 38}, 
195.0, {'J01': -70.84}, {'J01': 13}, {'J01': 40}, 
200.0, {'J01': -60.09}, {'J01': 11}, {'J01': 37}, 
205.0, {'J01': -54.019999999999996}, {'J01': 11}, {'J01': 39}, 
210.0, {'J01': -78.91}, {'J01': 12}, {'J01': 40}, 
215.0, {'J01': -51.94}, {'J01': 12}, {'J01': 37}, 
220.0, {'J01': -54.78}, {'J01': 14}, {'J01': 40}, 
225.0, {'J01': -43.870000000000005}, {'J01': 14}, {'J01': 37}, 
230.0, {'J01': -47.79}, {'J01': 14}, {'J01': 41}, 
235.0, {'J01': -61.85}, {'J01': 14}, {'J01': 39}, 
240.0, {'J01': -32.88}, {'J01': 14}, {'J01': 34}, 
245.0, {'J01': -46.71}, {'J01': 15}, {'J01': 40}, 
250.0, {'J01': -37.95}, {'J01': 12}, {'J01': 31}, 
255.0, {'J01': -45.94}, {'J01': 12}, {'J01': 31}, 
260.0, {'J01': -49.94}, {'J01': 11}, {'J01': 35}, 
265.0, {'J01': -60.09}, {'J01': 11}, {'J01': 37}, 
270.0, {'J01': -51.10000000000001}, {'J01': 11}, {'J01': 36}, 
275.0, {'J01': -65.69}, {'J01': 14}, {'J01': 43}, 
280.0, {'J01': -67.69}, {'J01': 14}, {'J01': 45}, 
285.0, {'J01': -59.7}, {'J01': 15}, {'J01': 45}, 
290.0, {'J01': -51.63}, {'J01': 16}, {'J01': 45}, 
295.0, {'J01': -95.42}, {'J01': 17}, {'J01': 49}, 
300.0, {'J01': -115.55}, {'J01': 16}, {'J01': 45}, 
305.0, {'J01': -60.69}, {'J01': 15}, {'J01': 38}, 
310.0, {'J01': -86.66}, {'J01': 15}, {'J01': 40}, 
315.0, {'J01': -122.54}, {'J01': 15}, {'J01': 44}, 
320.0, {'J01': -43.56}, {'J01': 16}, {'J01': 45}, 
325.0, {'J01': -54.63}, {'J01': 16}, {'J01': 48}, 
330.0, {'J01': -51.550000000000004}, {'J01': 18}, {'J01': 45}, 
335.0, {'J01': -77.52000000000001}, {'J01': 18}, {'J01': 47}, 
340.0, {'J01': -117.39}, {'J01': 19}, {'J01': 47}, 
345.0, {'J01': -76.52000000000001}, {'J01': 18}, {'J01': 46}, 
350.0, {'J01': -58.540000000000006}, {'J01': 18}, {'J01': 44}, 
355.0, {'J01': -52.470000000000006}, {'J01': 18}, {'J01': 46}, 
