5.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
10.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
15.0, {'J10': 0, 'J11': -4.0, 'J12': -0.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
20.0, {'J10': 0, 'J11': -14.0, 'J12': -10.5, 'J13': -6.0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
25.0, {'J10': -1.5, 'J11': -27.5, 'J12': -23.5, 'J13': -3.0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 3, 'J12': 3, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
30.0, {'J10': -1.0, 'J11': -57.5, 'J12': -5.0, 'J13': -29.5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 3, 'J12': 1, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
35.0, {'J10': -3.0, 'J11': -87.5, 'J12': -3.0, 'J13': -89.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1.0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 1, 'J11': 3, 'J12': 1, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
40.0, {'J10': -13.0, 'J11': -117.5, 'J12': 0, 'J13': -177.5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 0, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 3, 'J12': 0, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
45.0, {'J10': -23.0, 'J11': -147.5, 'J12': -1.0, 'J13': -290.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1.0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 1, 'J11': 3, 'J12': 1, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
50.0, {'J10': -39.0, 'J11': -177.5, 'J12': -7.0, 'J13': -410.5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 2, 'J11': 2, 'J12': 1, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 3, 'J11': 3, 'J12': 3, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
55.0, {'J10': -72.5, 'J11': -207.5, 'J12': -19.0, 'J13': -534.5, 'cluster3106249630_3106249631_J60_J61_#5more': -0.5}, {'J10': 2, 'J11': 2, 'J12': 1, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 4, 'J11': 3, 'J12': 4, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
60.0, {'J10': -36.0, 'J11': -240.5, 'J12': -22.0, 'J13': -664.5, 'cluster3106249630_3106249631_J60_J61_#5more': -21.0}, {'J10': 1, 'J11': 2, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 2, 'J11': 4, 'J12': 4, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
65.0, {'J10': -4.5, 'J11': -280.5, 'J12': -65.5, 'J13': -800.0, 'cluster3106249630_3106249631_J60_J61_#5more': -58.5}, {'J10': 1, 'J11': 2, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 2, 'J11': 4, 'J12': 7, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
70.0, {'J10': -26.0, 'J11': -320.5, 'J12': -67.5, 'J13': -962.0, 'cluster3106249630_3106249631_J60_J61_#5more': -68.0}, {'J10': 2, 'J11': 2, 'J12': 2, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 3, 'J11': 4, 'J12': 7, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
75.0, {'J10': -2.5, 'J11': -362.5, 'J12': -86.5, 'J13': -1147.0, 'cluster3106249630_3106249631_J60_J61_#5more': -99.5}, {'J10': 1, 'J11': 3, 'J12': 2, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 5, 'J12': 5, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
80.0, {'J10': 0, 'J11': -412.5, 'J12': -129.0, 'J13': -1354.5, 'cluster3106249630_3106249631_J60_J61_#5more': -139.5}, {'J10': 0, 'J11': 3, 'J12': 3, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 5, 'J12': 7, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
85.0, {'J10': -4.5, 'J11': -465.0, 'J12': -212.0, 'J13': -1105.5, 'cluster3106249630_3106249631_J60_J61_#5more': -125.5}, {'J10': 1, 'J11': 4, 'J12': 4, 'J13': 9, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 1, 'J11': 6, 'J12': 12, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
90.0, {'J10': -0.5, 'J11': -525.0, 'J12': -325.0, 'J13': -997.0, 'cluster3106249630_3106249631_J60_J61_#5more': -155.5}, {'J10': 1, 'J11': 4, 'J12': 5, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 1, 'J11': 6, 'J12': 14, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
95.0, {'J10': 0, 'J11': -587.0, 'J12': -348.5, 'J13': -1147.0, 'cluster3106249630_3106249631_J60_J61_#5more': -113.0}, {'J10': 0, 'J11': 5, 'J12': 7, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 0, 'J11': 7, 'J12': 12, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
100.0, {'J10': 0, 'J11': -657.0, 'J12': -458.0, 'J13': -1306.0, 'cluster3106249630_3106249631_J60_J61_#5more': -55.5}, {'J10': 0, 'J11': 5, 'J12': 9, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 0, 'J11': 7, 'J12': 15, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
105.0, {'J10': -4.0, 'J11': -727.0, 'J12': -625.5, 'J13': -1492.0, 'cluster3106249630_3106249631_J60_J61_#5more': -2.0}, {'J10': 1, 'J11': 5, 'J12': 10, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 1, 'J11': 7, 'J12': 21, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
110.0, {'J10': -2.5, 'J11': -802.0, 'J12': -662.5, 'J13': -1707.5, 'cluster3106249630_3106249631_J60_J61_#5more': -19.5}, {'J10': 1, 'J11': 6, 'J12': 10, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 2, 'J11': 8, 'J12': 16, 'J13': 23, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
115.0, {'J10': 0, 'J11': -882.0, 'J12': -520.5, 'J13': -1946.0, 'cluster3106249630_3106249631_J60_J61_#5more': -59.0}, {'J10': 0, 'J11': 6, 'J12': 8, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 8, 'J12': 13, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
120.0, {'J10': -3.0, 'J11': -962.0, 'J12': -488.0, 'J13': -2201.0, 'cluster3106249630_3106249631_J60_J61_#5more': -99.0}, {'J10': 1, 'J11': 6, 'J12': 6, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 8, 'J12': 11, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
125.0, {'J10': -1.5, 'J11': -1042.0, 'J12': -620.0, 'J13': -2462.0, 'cluster3106249630_3106249631_J60_J61_#5more': -134.5}, {'J10': 1, 'J11': 6, 'J12': 8, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 8, 'J12': 20, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
130.0, {'J10': 0, 'J11': -1132.5, 'J12': -785.0, 'J13': -2736.5, 'cluster3106249630_3106249631_J60_J61_#5more': -223.0}, {'J10': 0, 'J11': 8, 'J12': 9, 'J13': 16, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 0, 'J11': 11, 'J12': 18, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 11}, 
135.0, {'J10': 0, 'J11': -1242.5, 'J12': -968.5, 'J13': -3016.5, 'cluster3106249630_3106249631_J60_J61_#5more': -338.0}, {'J10': 0, 'J11': 8, 'J12': 9, 'J13': 16, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 0, 'J11': 11, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, 
140.0, {'J10': -4.0, 'J11': -1353.0, 'J12': -1186.5, 'J13': -3296.5, 'cluster3106249630_3106249631_J60_J61_#5more': -466.5}, {'J10': 1, 'J11': 9, 'J12': 11, 'J13': 16, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 1, 'J11': 12, 'J12': 26, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, 
145.0, {'J10': 0, 'J11': -1473.0, 'J12': -1407.5, 'J13': -3579.5, 'cluster3106249630_3106249631_J60_J61_#5more': -612.5}, {'J10': 0, 'J11': 9, 'J12': 13, 'J13': 17, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 0, 'J11': 12, 'J12': 31, 'J13': 29, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, 
