5.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
10.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
15.0, {'J10': 0, 'J11': -4.0, 'J12': -0.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
20.0, {'J10': 0, 'J11': -14.0, 'J12': -10.5, 'J13': -5.5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
25.0, {'J10': -1.0, 'J11': -27.0, 'J12': -23.5, 'J13': -3.0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 3, 'J12': 3, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
30.0, {'J10': -7.0, 'J11': -57.0, 'J12': -5.0, 'J13': -21.0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 2, 'J11': 2, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 3, 'J11': 3, 'J12': 2, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
35.0, {'J10': -3.0, 'J11': -87.0, 'J12': -10.5, 'J13': -77.5, 'cluster3106249630_3106249631_J60_J61_#5more': -2.0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 1, 'J11': 3, 'J12': 1, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
40.0, {'J10': -13.0, 'J11': -117.0, 'J12': 0, 'J13': -156.5, 'cluster3106249630_3106249631_J60_J61_#5more': -22.0}, {'J10': 1, 'J11': 2, 'J12': 0, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 3, 'J12': 0, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
45.0, {'J10': -23.0, 'J11': -147.0, 'J12': 0, 'J13': -256.5, 'cluster3106249630_3106249631_J60_J61_#5more': -40.0}, {'J10': 1, 'J11': 2, 'J12': 0, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 3, 'J12': 0, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
50.0, {'J10': -37.5, 'J11': -177.0, 'J12': -11.5, 'J13': -357.0, 'cluster3106249630_3106249631_J60_J61_#5more': -45.0}, {'J10': 2, 'J11': 2, 'J12': 1, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 3, 'J11': 3, 'J12': 3, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
55.0, {'J10': -71.5, 'J11': -207.0, 'J12': -29.5, 'J13': -471.0, 'cluster3106249630_3106249631_J60_J61_#5more': -65.0}, {'J10': 2, 'J11': 2, 'J12': 2, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 4, 'J11': 3, 'J12': 4, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
60.0, {'J10': -38.5, 'J11': -239.5, 'J12': -46.0, 'J13': -591.0, 'cluster3106249630_3106249631_J60_J61_#5more': -89.5}, {'J10': 1, 'J11': 2, 'J12': 2, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 3, 'J11': 4, 'J12': 4, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
65.0, {'J10': -58.0, 'J11': -279.5, 'J12': -35.5, 'J13': -717.5, 'cluster3106249630_3106249631_J60_J61_#5more': -64.5}, {'J10': 2, 'J11': 2, 'J12': 3, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 3, 'J11': 4, 'J12': 5, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
70.0, {'J10': -11.5, 'J11': -319.5, 'J12': -75.0, 'J13': -877.5, 'cluster3106249630_3106249631_J60_J61_#5more': -86.0}, {'J10': 1, 'J11': 2, 'J12': 5, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 4, 'J12': 8, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
75.0, {'J10': -6.5, 'J11': -361.5, 'J12': -147.5, 'J13': -1064.5, 'cluster3106249630_3106249631_J60_J61_#5more': -123.0}, {'J10': 1, 'J11': 3, 'J12': 6, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 2, 'J11': 5, 'J12': 8, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
80.0, {'J10': -14.0, 'J11': -411.5, 'J12': -115.5, 'J13': -1267.0, 'cluster3106249630_3106249631_J60_J61_#5more': -173.0}, {'J10': 1, 'J11': 3, 'J12': 4, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 5, 'J12': 6, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
85.0, {'J10': -2.0, 'J11': -464.5, 'J12': -106.0, 'J13': -1024.0, 'cluster3106249630_3106249631_J60_J61_#5more': -223.0}, {'J10': 1, 'J11': 4, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 1, 'J11': 6, 'J12': 6, 'J13': 17, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
90.0, {'J10': -4.5, 'J11': -524.5, 'J12': -122.5, 'J13': -872.0, 'cluster3106249630_3106249631_J60_J61_#5more': -172.0}, {'J10': 2, 'J11': 4, 'J12': 4, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 3, 'J11': 6, 'J12': 5, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
95.0, {'J10': 0, 'J11': -586.0, 'J12': -193.0, 'J13': -1013.5, 'cluster3106249630_3106249631_J60_J61_#5more': -212.0}, {'J10': 0, 'J11': 5, 'J12': 9, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 7, 'J12': 12, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
100.0, {'J10': 0, 'J11': -656.0, 'J12': -294.0, 'J13': -1163.5, 'cluster3106249630_3106249631_J60_J61_#5more': -257.0}, {'J10': 0, 'J11': 5, 'J12': 10, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 7, 'J12': 13, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
105.0, {'J10': -4.0, 'J11': -726.5, 'J12': -434.0, 'J13': -1326.5, 'cluster3106249630_3106249631_J60_J61_#5more': -307.0}, {'J10': 1, 'J11': 6, 'J12': 11, 'J13': 9, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 8, 'J12': 17, 'J13': 20, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
110.0, {'J10': -3.0, 'J11': -806.5, 'J12': -617.5, 'J13': -1532.5, 'cluster3106249630_3106249631_J60_J61_#5more': -357.0}, {'J10': 1, 'J11': 6, 'J12': 12, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 8, 'J12': 22, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
115.0, {'J10': 0, 'J11': -886.5, 'J12': -758.5, 'J13': -1756.5, 'cluster3106249630_3106249631_J60_J61_#5more': -407.0}, {'J10': 0, 'J11': 6, 'J12': 12, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 8, 'J12': 19, 'J13': 23, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
120.0, {'J10': -3.0, 'J11': -966.5, 'J12': -906.5, 'J13': -1989.0, 'cluster3106249630_3106249631_J60_J61_#5more': -457.0}, {'J10': 1, 'J11': 6, 'J12': 12, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 8, 'J12': 20, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
125.0, {'J10': 0, 'J11': -1047.0, 'J12': -1078.0, 'J13': -2241.0, 'cluster3106249630_3106249631_J60_J61_#5more': -508.5}, {'J10': 0, 'J11': 7, 'J12': 13, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 9, 'J12': 24, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
130.0, {'J10': 0, 'J11': -1142.0, 'J12': -994.0, 'J13': -2505.5, 'cluster3106249630_3106249631_J60_J61_#5more': -413.5}, {'J10': 0, 'J11': 8, 'J12': 11, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 0, 'J11': 11, 'J12': 20, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
135.0, {'J10': 0, 'J11': -1252.0, 'J12': -1178.0, 'J13': -2775.5, 'cluster3106249630_3106249631_J60_J61_#5more': -322.0}, {'J10': 0, 'J11': 8, 'J12': 11, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 0, 'J11': 11, 'J12': 22, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
140.0, {'J10': -4.0, 'J11': -1363.0, 'J12': -1410.0, 'J13': -3045.5, 'cluster3106249630_3106249631_J60_J61_#5more': -135.0}, {'J10': 1, 'J11': 9, 'J12': 11, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 1, 'J11': 13, 'J12': 25, 'J13': 27, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
145.0, {'J10': -2.5, 'J11': -1493.0, 'J12': -1692.5, 'J13': -3317.5, 'cluster3106249630_3106249631_J60_J61_#5more': -161.5}, {'J10': 1, 'J11': 9, 'J12': 14, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 1, 'J11': 13, 'J12': 36, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
