5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -6.0}, {'J01': 2}, {'J01': 6}, 
30.0, {'J01': -14.449}, {'J01': 2}, {'J01': 7}, 
35.0, {'J01': -15.449}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -21.631}, {'J01': 3}, {'J01': 8}, 
45.0, {'J01': -33.08}, {'J01': 4}, {'J01': 12}, 
50.0, {'J01': -36.08}, {'J01': 4}, {'J01': 15}, 
55.0, {'J01': -40.347}, {'J01': 4}, {'J01': 18}, 
60.0, {'J01': -41.347}, {'J01': 4}, {'J01': 19}, 
65.0, {'J01': -45.881}, {'J01': 4}, {'J01': 21}, 
70.0, {'J01': -45.881}, {'J01': 4}, {'J01': 21}, 
75.0, {'J01': -58.245000000000005}, {'J01': 4}, {'J01': 21}, 
80.0, {'J01': -61.336000000000006}, {'J01': 4}, {'J01': 21}, 
85.0, {'J01': -32.340999999999994}, {'J01': 4}, {'J01': 18}, 
90.0, {'J01': -43.790000000000006}, {'J01': 3}, {'J01': 22}, 
95.0, {'J01': -37.813}, {'J01': 4}, {'J01': 18}, 
100.0, {'J01': -43.989000000000004}, {'J01': 7}, {'J01': 26}, 
105.0, {'J01': -56.08}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': -80.069}, {'J01': 8}, {'J01': 41}, 
115.0, {'J01': -79.98400000000001}, {'J01': 7}, {'J01': 36}, 
120.0, {'J01': -75.075}, {'J01': 5}, {'J01': 28}, 
125.0, {'J01': -78.34800000000001}, {'J01': 4}, {'J01': 22}, 
130.0, {'J01': -77.43900000000001}, {'J01': 4}, {'J01': 18}, 
135.0, {'J01': -31.631}, {'J01': 3}, {'J01': 18}, 
140.0, {'J01': -44.08}, {'J01': 3}, {'J01': 23}, 
145.0, {'J01': -57.529}, {'J01': 6}, {'J01': 29}, 
150.0, {'J01': -62.881}, {'J01': 8}, {'J01': 38}, 
