445.0, {'J01': -78.75}, {'J01': 14}, {'J01': 40}, 
450.0, {'J01': -95.65}, {'J01': 15}, {'J01': 41}, 
455.0, {'J01': -75.44}, {'J01': 18}, {'J01': 45}, 
460.0, {'J01': -97.41}, {'J01': 18}, {'J01': 43}, 
465.0, {'J01': -146.27}, {'J01': 19}, {'J01': 44}, 
470.0, {'J01': -108.32000000000001}, {'J01': 20}, {'J01': 46}, 
475.0, {'J01': -108.24000000000001}, {'J01': 20}, {'J01': 46}, 
480.0, {'J01': -155.03}, {'J01': 20}, {'J01': 53}, 
485.0, {'J01': -144.43}, {'J01': 16}, {'J01': 42}, 
490.0, {'J01': -50.7}, {'J01': 16}, {'J01': 36}, 
495.0, {'J01': -76.59}, {'J01': 16}, {'J01': 38}, 
500.0, {'J01': -75.6}, {'J01': 16}, {'J01': 45}, 
505.0, {'J01': -92.03}, {'J01': 22}, {'J01': 54}, 
510.0, {'J01': -86.96000000000001}, {'J01': 22}, {'J01': 57}, 
515.0, {'J01': -87.96000000000001}, {'J01': 22}, {'J01': 58}, 
520.0, {'J01': -68.28999999999999}, {'J01': 19}, {'J01': 46}, 
525.0, {'J01': -88.25999999999999}, {'J01': 18}, {'J01': 42}, 
530.0, {'J01': -90.41}, {'J01': 16}, {'J01': 36}, 
535.0, {'J01': -60.84}, {'J01': 13}, {'J01': 30}, 
540.0, {'J01': -72.91}, {'J01': 12}, {'J01': 34}, 
545.0, {'J01': -106.80000000000001}, {'J01': 13}, {'J01': 44}, 
550.0, {'J01': -101.81}, {'J01': 13}, {'J01': 47}, 
555.0, {'J01': -78.84}, {'J01': 13}, {'J01': 48}, 
560.0, {'J01': -82.75}, {'J01': 14}, {'J01': 44}, 
565.0, {'J01': -76.75999999999999}, {'J01': 14}, {'J01': 46}, 
570.0, {'J01': -85.67}, {'J01': 14}, {'J01': 47}, 
575.0, {'J01': -90.74}, {'J01': 15}, {'J01': 44}, 
580.0, {'J01': -59.620000000000005}, {'J01': 15}, {'J01': 45}, 
585.0, {'J01': -83.82}, {'J01': 14}, {'J01': 37}, 
590.0, {'J01': -96.88}, {'J01': 11}, {'J01': 34}, 
