335.0, {'J01': -585.0, 'top_mgr': 11}, {'J01': 6}, {'J01': 27}, 
340.0, {'J01': -600.0, 'top_mgr': 4}, {'J01': 6}, {'J01': 28}, 
345.0, {'J01': -395.8, 'top_mgr': 4}, {'J01': 6}, {'J01': 27}, 
350.0, {'J01': -378.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 30}, 
355.0, {'J01': -415.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
360.0, {'J01': -399.0, 'top_mgr': 6}, {'J01': 7}, {'J01': 30}, 
365.0, {'J01': -294.40000000000003, 'top_mgr': 7}, {'J01': 7}, {'J01': 26}, 
370.0, {'J01': -332.40000000000003, 'top_mgr': 0}, {'J01': 7}, {'J01': 28}, 
375.0, {'J01': -373.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 33}, 
380.0, {'J01': -419.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
385.0, {'J01': -393.4, 'top_mgr': 8}, {'J01': 7}, {'J01': 31}, 
390.0, {'J01': -331.8, 'top_mgr': 11}, {'J01': 5}, {'J01': 24}, 
395.0, {'J01': -337.20000000000005, 'top_mgr': 10}, {'J01': 6}, {'J01': 22}, 
400.0, {'J01': -313.8, 'top_mgr': 8}, {'J01': 6}, {'J01': 18}, 
405.0, {'J01': -339.20000000000005, 'top_mgr': 5}, {'J01': 6}, {'J01': 21}, 
410.0, {'J01': -378.20000000000005, 'top_mgr': 2}, {'J01': 6}, {'J01': 24}, 
415.0, {'J01': -426.20000000000005, 'top_mgr': 1}, {'J01': 6}, {'J01': 32}, 
420.0, {'J01': -452.80000000000007, 'top_mgr': 6}, {'J01': 7}, {'J01': 34}, 
425.0, {'J01': -479.80000000000007, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
430.0, {'J01': -442.4, 'top_mgr': 4}, {'J01': 7}, {'J01': 33}, 
435.0, {'J01': -287.4, 'top_mgr': 7}, {'J01': 8}, {'J01': 32}, 
440.0, {'J01': -289.20000000000005, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
445.0, {'J01': -335.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
450.0, {'J01': -361.6000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 34}, 
455.0, {'J01': -391.4000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
460.0, {'J01': -456.6000000000001, 'top_mgr': 1}, {'J01': 8}, {'J01': 39}, 
465.0, {'J01': -410.20000000000005, 'top_mgr': 8}, {'J01': 7}, {'J01': 33}, 
470.0, {'J01': -440.0000000000001, 'top_mgr': 7}, {'J01': 6}, {'J01': 30}, 
475.0, {'J01': -472.2000000000001, 'top_mgr': 8}, {'J01': 4}, {'J01': 27}, 
480.0, {'J01': -478.6000000000001, 'top_mgr': 10}, {'J01': 3}, {'J01': 22}, 
485.0, {'J01': -363.80000000000007, 'top_mgr': 6}, {'J01': 3}, {'J01': 19}, 
490.0, {'J01': -240.19999999999996, 'top_mgr': 5}, {'J01': 6}, {'J01': 26}, 
495.0, {'J01': -264.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
500.0, {'J01': -286.4, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
505.0, {'J01': -312.40000000000003, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
510.0, {'J01': -359.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
515.0, {'J01': -367.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
520.0, {'J01': -367.0, 'top_mgr': 7}, {'J01': 8}, {'J01': 37}, 
525.0, {'J01': -362.4, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
530.0, {'J01': -329.79999999999995, 'top_mgr': 12}, {'J01': 6}, {'J01': 28}, 
535.0, {'J01': -323.79999999999995, 'top_mgr': 4}, {'J01': 6}, {'J01': 27}, 
540.0, {'J01': -358.00000000000006, 'top_mgr': 4}, {'J01': 6}, {'J01': 27}, 
545.0, {'J01': -406.00000000000006, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
550.0, {'J01': -409.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
555.0, {'J01': -453.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
560.0, {'J01': -499.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
565.0, {'J01': -370.2, 'top_mgr': 11}, {'J01': 6}, {'J01': 27}, 
570.0, {'J01': -293.2, 'top_mgr': 9}, {'J01': 6}, {'J01': 20}, 
575.0, {'J01': -330.0, 'top_mgr': 0}, {'J01': 6}, {'J01': 27}, 
580.0, {'J01': -359.19999999999993, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
585.0, {'J01': -400.79999999999995, 'top_mgr': 1}, {'J01': 7}, {'J01': 34}, 
590.0, {'J01': -356.59999999999997, 'top_mgr': 4}, {'J01': 8}, {'J01': 37}, 
595.0, {'J01': -371.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
600.0, {'J01': -361.99999999999994, 'top_mgr': 6}, {'J01': 8}, {'J01': 36}, 
605.0, {'J01': -346.59999999999997, 'top_mgr': 7}, {'J01': 7}, {'J01': 33}, 
610.0, {'J01': -357.99999999999994, 'top_mgr': 9}, {'J01': 5}, {'J01': 29}, 
615.0, {'J01': -311.0, 'top_mgr': 8}, {'J01': 5}, {'J01': 28}, 
620.0, {'J01': -303.0, 'top_mgr': 8}, {'J01': 4}, {'J01': 24}, 
625.0, {'J01': -329.4, 'top_mgr': 2}, {'J01': 4}, {'J01': 33}, 
630.0, {'J01': -370.5999999999999, 'top_mgr': 4}, {'J01': 5}, {'J01': 34}, 
635.0, {'J01': -422.5999999999999, 'top_mgr': 4}, {'J01': 8}, {'J01': 38}, 
640.0, {'J01': -467.3999999999999, 'top_mgr': 1}, {'J01': 8}, {'J01': 42}, 
645.0, {'J01': -403.0, 'top_mgr': 6}, {'J01': 8}, {'J01': 41}, 
650.0, {'J01': -446.79999999999995, 'top_mgr': 2}, {'J01': 8}, {'J01': 41}, 
655.0, {'J01': -476.79999999999995, 'top_mgr': 2}, {'J01': 9}, {'J01': 44}, 
660.0, {'J01': -445.40000000000003, 'top_mgr': 3}, {'J01': 9}, {'J01': 43}, 
665.0, {'J01': -470.0, 'top_mgr': 5}, {'J01': 11}, {'J01': 41}, 
670.0, {'J01': -467.80000000000007, 'top_mgr': 1}, {'J01': 12}, {'J01': 44}, 
675.0, {'J01': -505.8000000000001, 'top_mgr': 0}, {'J01': 12}, {'J01': 46}, 
680.0, {'J01': -545.0000000000002, 'top_mgr': 1}, {'J01': 13}, {'J01': 52}, 
685.0, {'J01': -400.80000000000007, 'top_mgr': 12}, {'J01': 12}, {'J01': 41}, 
690.0, {'J01': -359.2, 'top_mgr': 8}, {'J01': 9}, {'J01': 33}, 
695.0, {'J01': -400.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
700.0, {'J01': -445.80000000000007, 'top_mgr': 0}, {'J01': 10}, {'J01': 43}, 
705.0, {'J01': -490.80000000000007, 'top_mgr': 0}, {'J01': 11}, {'J01': 48}, 
710.0, {'J01': -397.40000000000003, 'top_mgr': 9}, {'J01': 9}, {'J01': 39}, 
715.0, {'J01': -430.2000000000001, 'top_mgr': 5}, {'J01': 7}, {'J01': 34}, 
720.0, {'J01': -475.2000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
725.0, {'J01': -517.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
730.0, {'J01': -481.8000000000001, 'top_mgr': 10}, {'J01': 7}, {'J01': 33}, 
735.0, {'J01': -432.80000000000007, 'top_mgr': 7}, {'J01': 6}, {'J01': 27}, 
740.0, {'J01': -477.6000000000001, 'top_mgr': 1}, {'J01': 6}, {'J01': 31}, 
745.0, {'J01': -525.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 35}, 
750.0, {'J01': -569.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
755.0, {'J01': -502.00000000000006, 'top_mgr': 6}, {'J01': 8}, {'J01': 35}, 
760.0, {'J01': -510.00000000000006, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
765.0, {'J01': -549.4, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
770.0, {'J01': -479.40000000000003, 'top_mgr': 6}, {'J01': 8}, {'J01': 36}, 
775.0, {'J01': -441.00000000000006, 'top_mgr': 4}, {'J01': 8}, {'J01': 37}, 
780.0, {'J01': -438.40000000000003, 'top_mgr': 5}, {'J01': 8}, {'J01': 33}, 
785.0, {'J01': -472.40000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
790.0, {'J01': -505.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
795.0, {'J01': -489.00000000000006, 'top_mgr': 8}, {'J01': 7}, {'J01': 31}, 
800.0, {'J01': -359.0, 'top_mgr': 9}, {'J01': 6}, {'J01': 23}, 
805.0, {'J01': -302.2, 'top_mgr': 8}, {'J01': 5}, {'J01': 22}, 
810.0, {'J01': -346.2, 'top_mgr': 0}, {'J01': 5}, {'J01': 26}, 
