140.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.81026787)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 3}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, 
145.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.5870536)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 3}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 5}, 
150.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.828125)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 7}, 
155.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.63839287)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 3}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 5}, 
160.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.71428573)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 2}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, 
165.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.72098213)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 5}, 
170.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.47544643)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 3}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, 
175.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.45089287)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 2}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, 
180.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.359375)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 5}, 
185.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.60491073)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 7}, 
190.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.52901787)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 3}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 5}, 
195.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.75223213)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 3}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 5}, 
200.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.66071427)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 2}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, 
205.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.4107143)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 1}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 2}, 
210.0, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': np.float32(-0.29910713)}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, {'cluster_2226036755_3627218951_6048884455_6048884458_#1more': 4}, 
