jammed_count,start_edge,end_edge,num_edges,example_id,edges
184,1246322842#3,-209692779#8,20,ped0_10000,1246322842#3 1246322842#2 1246322842#1 1246322842#0 1283309470 134510624#5 134510624#4 134510624#3 134510624#2 134510624#1 134510624#0 24856256#6 24856256#5 24856256#4 24856256#3 998112561 997856915#1 278143066#1 -278143066#0 -209692779#8
182,1081381424,746422997,8,ped0_10005,1081381424 36244295#1 1297403290#1 -776860860 576383502 27203882#0 218228181#1 746422997
132,118330098#3,636255961,9,ped0_10030,118330098#3 118330098#2 118330098#0 234577460#1 E55 E56 E57 169118003#1 636255961
117,134510624#5,304123916#3,21,ped0_10149,134510624#5 134510624#4 134510624#3 134510624#2 134510624#1 134510624#0 24856256#6 24856256#5 24856256#4 24856256#3 24856256#2 24856256#1 24856256#0 747921366#1 -305430250#4.1 -305430250#2 305430251#1 1338818818#0 496181688 304123916#0 304123916#3
113,27021833#1,E16,6,ped0_10006,27021833#1 102467238#2 1173376731 118330098#3 363647271#2 E16
108,1073334530#0,793658935,8,ped0_10046,1073334530#0 564743822 1355686488 2063100#0 417570102#0 -27294501 1116877365 793658935
107,1077682062#16,-954213839,13,ped0_10155,1077682062#16 1077682062#17 1077682062#18 266942147#0 776860860 1082164221 1081381423#0 -1081381424 -1356284791 -162093000#2 4250845#0 104402603 -954213839
100,1118927353#11,1173376731,5,ped0_10116,1118927353#11 1118927353#12 E44 118330098#3 1173376731
87,169212598#2,26278798,7,ped0_10016,169212598#2 -169212595 1118927300 E44 1880412#1 127998250#0 26278798
86,8122261#3.140,12645062#1.9,4,ped0_10069,8122261#3.140 -76815388#1.2 12645062#2 12645062#1.9
84,364393929#1,562592063,7,ped0_10231,364393929#1 -300626108#2 300626110 364393928#18 364393928#17 364393928#16 562592063
81,44044768#0,564449730,9,ped0_10015,44044768#0 742322421#0 E38 367471405#0 26515315 25109252#0 25109150#6 25109150#5 564449730
80,-165278578#0,1077682062#16,15,ped0_10009,-165278578#0 1096146332#0 -4250845#5 -4250845#2 -4250845#2.169 -162093000#2 -1356284791 -1081381424 1081381423#0 1082164221 776860860 266942147#0 1077682062#18 1077682062#17 1077682062#16
78,26515314#0,1355324272,9,ped0_10123,26515314#0 26435304 1278746994#5 1278746994#4 1278746994#3 1278746994#2 1278746994#1 1278746993 1355324272
77,1077208982#1,1073680282,4,ped0_10020,1077208982#1 36523265#5 1075331789#1 1073680282
71,-237100949#0,486296247#1,24,ped0_10115,-237100949#0 -237100949#1 -237100949#2 624807901 36523269 -209692779#5 -278143066#0 278143066#1 997856915#1 41968506 41908105#9 41908105#8 41908105#7 41908105#6 41908105#5 134509873#8 -1424171454 -176710614#0 26602843#1 284464404 631574431#3 998112560#1 998112559 486296247#1
68,59581131#2,-267174473#0,8,ped0_10349,59581131#2 562592044#0 562592044#2 1323685816 -27226010#3 266625730 -266625735#1 -267174473#0
67,164695754#1,1168785366,5,ped0_10108,164695754#1 1694123#0 576383494 -162053484#1 1168785366
67,1323685815#0,364393928#12,13,ped0_10423,1323685815#0 562592044#2 562592044#0 59581131#2 562592046 562592056#3 562592056#2 562592056#1 562592054 300626116#0 364393928#10 364393928#11 364393928#12
65,1118927353#0,1073680283#1,15,ped0_10026,1118927353#0 E53.67 8122261#1 8122261#3 8122261#3.96 8122261#3.140 747921366#1 -305430250#4.1 -305430250#2 305430251#1 1338818818#0 496181690#0 564743823#2 1084695407 1073680283#1
65,-234571649#0,60363158#1,16,ped0_10083,-234571649#0 87325166#0 234577460#1 234577460#2 229881046#0 363647271#2 E16 E16.174 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1 1067190735#0 E1 60363158#1
60,-86370286#0,25109112#4,13,ped0_10315,-86370286#0 86370286#0 209692778#1 747921366#1 -305430250#4.1 -305430250#2 305430251#1 1338818818#0 25109112#0 25109112#1 25109112#2 25109112#3 25109112#4
57,264570216,278143068,14,ped0_10011,264570216 27078661#8 27078661#7 264570200#3 264570200#2 264570200#1 264570200#0 40811007#3 40811007#4 40811007#5 40811007#6 40811007#7 41908105#8 278143068
54,-237100949#1,1366627906#0,23,ped0_10219,-237100949#1 -237100949#2 624807901 36523269 -209692779#5 -278143066#0 278143066#1 997856915#1 998112561 24856256#3 24856256#4 24856256#5 24856256#6 134510624#0 134510624#1 134510624#2 631579876#1 631579876#2 631579876#3 278143067#0 278143067#1 1246322837 1366627906#0
54,224976458,-E16.174,5,ped0_10329,224976458 246428298#8 246428298#7 934296492 -E16.174
53,266942147#0,12645062#2,14,ped0_10259,266942147#0 1077682060#0 1077682060#1 27203877#0 1356284885 -746422997 -47739048 -1355686483 -237100949#0 -237100949#1 -237100949#2 624807901 77628809#1 12645062#2
53,1070316627,1246322846#0,28,ped0_11592,1070316627 1700208#0 160350775#3 160350775#2 160350775#0 1355686496 1355686495 1075746754#0 1075746753#0 1355686472#1 1075746757#0 1118927353#7 1118927353#8 1118927353#9 781595829#1 781595833#1 781595828#1 134510624#8 134510624#9 1008683184#0 41908103#0 41908103#1 264570206 134509874#7 631579880#1 631579881#9 631579881#8 1246322846#0
52,283746422#0,364393928#10,16,ped0_10243,283746422#0 -1911240#5 1911240#6 -364393929#0 364393929#1 -300626108#2 300626110 364393928#18 364393928#17 364393928#16 364393928#15 364393928#14 364393928#13 364393928#12 364393928#11 364393928#10
51,-237225105#2,562592056#5,14,ped0_10111,-237225105#2 241934522 742322419#0 1355324272.32 1355324272 1323685808#0 127496109#1 127496109#0 742302330#1 562592044#2 562592044#0 59581131#1 562592047 562592056#5
51,642568258,-417570102#2,13,ped0_10146,642568258 12645062#1.9 -305430250#4.1 -305430250#2 305430251#1 1338818818#0 496181690#0 564743823#2 564743823#1 564743822 -1355686488 1355686491#1 -417570102#2
50,27078663#0,228152974,14,ped0_10279,27078663#0 486296247#0 486296247#1 E53 E51 1265224597 497262589#2 497262589#1 1248122870#1 E16 E16.174 262676813#0 262676813#2 228152974
49,-344389484,-502186116#30,6,ped0_10096,-344389484 936489858#2 237111847#0 502186116#0 -502186116#1 -502186116#30
49,1352158397#0,149561196#0,14,ped0_10227,1352158397#0 798412864 39640635 676336981 742322419#0 E38 367471405#0 1329759446#0 304123916#3 304123916#0 496181688 1355324235#2 1694119#0 149561196#0
49,1150386957#30,-1075805215,9,ped0_10852,1150386957#30 8222700#3 1323685815#1 742302330#1 127496109#0 -23803803 -23803802#0 3991394#1 -1075805215
48,289559994,1115971778,9,ped0_10090,289559994 798412864 1352158399 571260883 1355324262 1355324261#0 1278746993 1278746994#1 1115971778
48,769925501#3,102467231.17,9,ped0_10187,769925501#3 769925501#2 769925501#1 769925501#0 769925500#1 E47 87325166#0 -234571649#0 102467231.17
47,50424484#4,E37,15,ped0_10233,50424484#4 E50 209692779#6.58 209692779#6 209692779#5 -209692779#4 209692779#3 209692779#1 162053484#0 576383494 1694123#0 164695754#1 1077682063#1 1077682063#2 E37
46,486296247#1,-27360355,9,ped0_10057,486296247#1 E53 E51 1265224597 497262589#2 497262589#1 1248122870#1 1163086345#0 -27360355
46,209692779#3,50424484#2,7,ped0_10067,209692779#3 -209692779#4 209692779#5 209692779#6 209692779#6.58 E50 50424484#2
46,772983565#3,234577460#2,7,ped0_10237,772983565#3 772983565#2 772983565#1 26094914#1 769925508 234577460#1 234577460#2
46,60363158#1,E44,12,ped0_10377,60363158#1 E1 1067190735#0 27201304#1 420039032 262676813#2.76 262676813#2 262676813#0 E16.174 E16 1248122870#1 E44
45,562592052,300626109#0,14,ped0_10217,562592052 364393928#9 364393928#10 364393928#11 364393928#12 364393928#13 364393928#14 364393928#15 364393928#16 364393928#17 364393928#18 300626110 -300626108#2 300626109#0
44,300626114,364393928#3,11,ped0_10917,300626114 364393928#12 364393928#11 364393928#10 364393928#9 364393928#8 364393928#7 364393928#6 364393928#5 364393928#4 364393928#3
41,1118927300,E14,7,ped0_10051,1118927300 1248122870#1 1163086345#0 -27360355 -330748694#12 -330748694#11 E14
40,118330095#1,1248122869#2,9,ped0_10333,118330095#1 169212600 1118927300 1248122870#1 506789224#1 -1248122869#2 -1248122869#1 1248122869#1 1248122869#2
40,1323685815#1,367471405#0,8,ped0_10341,1323685815#1 363511225#3 363511225#2 363511225#1 654821494#0.63 654821494#0 1329759446#3 367471405#0
39,1018612467#1,8222700#2,5,ped0_10017,1018612467#1 1018612467#0 363511225#3 1323685815#1 8222700#2
39,576383502,642568258,13,ped0_10048,576383502 27203882#0 218228181#1 746422997 47739048 1355686483 237100949#0 237100949#1 237100949#2 36523272#1 36523272#3 12645062#1.9 642568258
