w_bike,w_ped,car_wait,bike_wait,ped_wait
0.4,60.0,5804.4822,3187.099,15.8279
0.4,120.0,3403.3774,2835.6572,10.9798
0.4,200.0,2646.7285,1480.2889,6.0112
0.4,300.0,4114.2659,1148.2972,5.1856
0.8,60.0,2442.5633,1806.3082,5.3831
0.8,120.0,3356.0038,1554.633,6.7488
0.8,200.0,2602.7587,1796.486,5.6121
0.8,300.0,2344.3968,2228.9434,5.9868
1.2,60.0,2236.9301,1851.1512,5.7257
1.2,120.0,3080.3231,2678.0609,28.4154
1.2,200.0,5035.0572,8540.9423,433.1307
1.2,300.0,2503.617,1515.2461,5.4567
1.6,60.0,4273.0526,1586.2996,5.1651
1.6,120.0,2371.7521,2178.188,6.0721
1.6,200.0,7575.8316,30722.8473,883.6332
1.6,300.0,5304.599,5030.4849,197.1309
