5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -3.1999999999999997, 'top_mgr': 3}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -13.8, 'top_mgr': 1}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -9.600000000000001, 'top_mgr': 4}, {'J01': 3}, {'J01': 4}, 
30.0, {'J01': -13.0, 'top_mgr': 6}, {'J01': 1}, {'J01': 3}, 
35.0, {'J01': -22.200000000000003, 'top_mgr': 1}, {'J01': 1}, {'J01': 5}, 
40.0, {'J01': -43.800000000000004, 'top_mgr': 1}, {'J01': 3}, {'J01': 11}, 
45.0, {'J01': -74.8, 'top_mgr': 2}, {'J01': 4}, {'J01': 18}, 
50.0, {'J01': -86.2, 'top_mgr': 3}, {'J01': 6}, {'J01': 23}, 
55.0, {'J01': -120.60000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 28}, 
60.0, {'J01': -168.60000000000002, 'top_mgr': 1}, {'J01': 7}, {'J01': 31}, 
65.0, {'J01': -187.40000000000003, 'top_mgr': 4}, {'J01': 7}, {'J01': 31}, 
70.0, {'J01': -230.20000000000002, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
75.0, {'J01': -269.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 33}, 
80.0, {'J01': -254.20000000000002, 'top_mgr': 7}, {'J01': 6}, {'J01': 28}, 
85.0, {'J01': -259.20000000000005, 'top_mgr': 5}, {'J01': 5}, {'J01': 24}, 
90.0, {'J01': -202.20000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 18}, 
95.0, {'J01': -214.60000000000002, 'top_mgr': 11}, {'J01': 4}, {'J01': 15}, 
100.0, {'J01': -174.8, 'top_mgr': 4}, {'J01': 4}, {'J01': 17}, 
105.0, {'J01': -201.60000000000002, 'top_mgr': 2}, {'J01': 4}, {'J01': 22}, 
110.0, {'J01': -226.00000000000003, 'top_mgr': 6}, {'J01': 4}, {'J01': 21}, 
115.0, {'J01': -239.60000000000002, 'top_mgr': 5}, {'J01': 4}, {'J01': 18}, 
120.0, {'J01': -255.40000000000003, 'top_mgr': 5}, {'J01': 4}, {'J01': 18}, 
125.0, {'J01': -288.00000000000006, 'top_mgr': 4}, {'J01': 5}, {'J01': 26}, 
130.0, {'J01': -328.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 33}, 
135.0, {'J01': -319.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 32}, 
140.0, {'J01': -339.6, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
145.0, {'J01': -326.6, 'top_mgr': 11}, {'J01': 6}, {'J01': 27}, 
150.0, {'J01': -307.19999999999993, 'top_mgr': 7}, {'J01': 5}, {'J01': 23}, 
155.0, {'J01': -307.79999999999995, 'top_mgr': 4}, {'J01': 5}, {'J01': 26}, 
160.0, {'J01': -352.79999999999995, 'top_mgr': 1}, {'J01': 6}, {'J01': 31}, 
