metric,FIXEDTIME 20,FIXEDTIME 40,FMA2C,IDQN,IDQN MM,IPPO,MAXPRESSURE,MAXWAVE,MPLight,MPLight MM,STOCHASTIC
duration,1,3,1261,96,98,1323,52,1,42,50,12
waitingTime_car,1,2,1261,96,94,1348,52,1,41,44,11
waitingTime_bike,51,1,1386,96,99,294,35,1,29,81,32
waitingTime_pedestrian,27,64,1332,96,45,43,52,1,2,3,94
waitingTime_combined,1,3,1261,96,98,1184,52,1,41,46,12
timeLoss,1,3,1261,96,98,1323,52,1,42,50,12
throughput_car,1,1,1337,96,94,1218,52,1,44,58,11
throughput_bike,1,1,1,98,1,1,2,1,1,1,1
throughput_pedestrian,1,1,1,8,1,1,1,1,1,1,1
throughput_combined,1,1,1337,96,94,1218,52,1,44,58,11
never_arrived_car,1,27,1108,93,27,1106,45,1,46,46,21
never_arrived_bike,1,1,1,99,1,1,10,1,1,1,1
never_arrived_pedestrian,1,1,1,8,1,1,1,1,1,1,1
queue_car,1,1,1334,96,99,1323,35,1,42,62,12
queue_bike,1,1,1386,96,45,294,35,1,29,81,12
queue_ped,27,68,1,96,68,43,52,1,2,3,94
queue_combined,1,1,1334,96,99,294,35,1,34,46,12
