5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -6.5}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -24.5}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -49.0}, {'J01': 2}, {'J01': 5}, 
30.0, {'J01': -105.5}, {'J01': 2}, {'J01': 8}, 
35.0, {'J01': -174.5}, {'J01': 3}, {'J01': 10}, 
40.0, {'J01': -220.5}, {'J01': 2}, {'J01': 8}, 
45.0, {'J01': -280.0}, {'J01': 2}, {'J01': 8}, 
50.0, {'J01': -286.0}, {'J01': 2}, {'J01': 11}, 
55.0, {'J01': -293.5}, {'J01': 3}, {'J01': 17}, 
60.0, {'J01': -449.0}, {'J01': 3}, {'J01': 21}, 
65.0, {'J01': -668.5}, {'J01': 6}, {'J01': 32}, 
70.0, {'J01': -977.5}, {'J01': 8}, {'J01': 35}, 
75.0, {'J01': -1334.5}, {'J01': 8}, {'J01': 38}, 
80.0, {'J01': -1333.0}, {'J01': 6}, {'J01': 32}, 
85.0, {'J01': -1395.0}, {'J01': 4}, {'J01': 27}, 
90.0, {'J01': -1445.5}, {'J01': 4}, {'J01': 22}, 
95.0, {'J01': -1142.0}, {'J01': 3}, {'J01': 15}, 
100.0, {'J01': -1304.5}, {'J01': 4}, {'J01': 22}, 
105.0, {'J01': -1555.5}, {'J01': 6}, {'J01': 33}, 
110.0, {'J01': -1686.0}, {'J01': 6}, {'J01': 29}, 
115.0, {'J01': -1893.5}, {'J01': 5}, {'J01': 28}, 
120.0, {'J01': -2017.5}, {'J01': 4}, {'J01': 25}, 
125.0, {'J01': -1999.5}, {'J01': 3}, {'J01': 22}, 
130.0, {'J01': -2164.5}, {'J01': 3}, {'J01': 24}, 
135.0, {'J01': -2430.0}, {'J01': 7}, {'J01': 35}, 
140.0, {'J01': -2807.0}, {'J01': 8}, {'J01': 44}, 
145.0, {'J01': -2998.0}, {'J01': 7}, {'J01': 43}, 
150.0, {'J01': -3366.0}, {'J01': 7}, {'J01': 42}, 
155.0, {'J01': -3792.5}, {'J01': 7}, {'J01': 46}, 
160.0, {'J01': -3968.5}, {'J01': 6}, {'J01': 44}, 
165.0, {'J01': -3833.5}, {'J01': 4}, {'J01': 33}, 
170.0, {'J01': -3793.0}, {'J01': 4}, {'J01': 26}, 
175.0, {'J01': -3279.5}, {'J01': 3}, {'J01': 20}, 
180.0, {'J01': -3266.0}, {'J01': 3}, {'J01': 24}, 
185.0, {'J01': -3525.0}, {'J01': 6}, {'J01': 32}, 
190.0, {'J01': -3865.0}, {'J01': 8}, {'J01': 39}, 
195.0, {'J01': -3952.0}, {'J01': 7}, {'J01': 35}, 
200.0, {'J01': -4142.0}, {'J01': 6}, {'J01': 31}, 
205.0, {'J01': -4144.0}, {'J01': 4}, {'J01': 26}, 
210.0, {'J01': -4108.0}, {'J01': 4}, {'J01': 20}, 
215.0, {'J01': -3317.5}, {'J01': 3}, {'J01': 17}, 
220.0, {'J01': -2914.5}, {'J01': 4}, {'J01': 22}, 
225.0, {'J01': -3136.5}, {'J01': 7}, {'J01': 27}, 
230.0, {'J01': -3341.5}, {'J01': 8}, {'J01': 32}, 
235.0, {'J01': -3502.5}, {'J01': 7}, {'J01': 31}, 
240.0, {'J01': -3601.5}, {'J01': 5}, {'J01': 27}, 
245.0, {'J01': -3668.0}, {'J01': 4}, {'J01': 23}, 
250.0, {'J01': -3710.0}, {'J01': 4}, {'J01': 20}, 
255.0, {'J01': -3704.5}, {'J01': 5}, {'J01': 19}, 
260.0, {'J01': -3741.5}, {'J01': 5}, {'J01': 22}, 
265.0, {'J01': -3963.0}, {'J01': 7}, {'J01': 30}, 
270.0, {'J01': -4266.0}, {'J01': 8}, {'J01': 39}, 
275.0, {'J01': -4533.5}, {'J01': 7}, {'J01': 38}, 
