5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -4.0}, {'J01': 3}, {'J01': 4}, 
25.0, {'J01': -7.0}, {'J01': 3}, {'J01': 7}, 
30.0, {'J01': -9.0}, {'J01': 4}, {'J01': 9}, 
35.0, {'J01': -16.091}, {'J01': 5}, {'J01': 13}, 
40.0, {'J01': -24.182000000000002}, {'J01': 6}, {'J01': 18}, 
45.0, {'J01': -33.449}, {'J01': 8}, {'J01': 26}, 
50.0, {'J01': -33.625}, {'J01': 8}, {'J01': 28}, 
55.0, {'J01': -25.267}, {'J01': 7}, {'J01': 24}, 
60.0, {'J01': -28.267}, {'J01': 7}, {'J01': 27}, 
65.0, {'J01': -29.534}, {'J01': 7}, {'J01': 27}, 
70.0, {'J01': -38.897999999999996}, {'J01': 6}, {'J01': 24}, 
75.0, {'J01': -28.448999999999998}, {'J01': 5}, {'J01': 21}, 
80.0, {'J01': -38.074}, {'J01': 5}, {'J01': 25}, 
85.0, {'J01': -41.165000000000006}, {'J01': 4}, {'J01': 25}, 
90.0, {'J01': -37.989000000000004}, {'J01': 4}, {'J01': 20}, 
95.0, {'J01': -45.529}, {'J01': 4}, {'J01': 17}, 
100.0, {'J01': -37.637}, {'J01': 3}, {'J01': 16}, 
105.0, {'J01': -43.989000000000004}, {'J01': 4}, {'J01': 26}, 
110.0, {'J01': -64.97200000000001}, {'J01': 7}, {'J01': 37}, 
115.0, {'J01': -80.779}, {'J01': 8}, {'J01': 41}, 
120.0, {'J01': -92.31899999999999}, {'J01': 8}, {'J01': 42}, 
125.0, {'J01': -91.96700000000001}, {'J01': 8}, {'J01': 38}, 
130.0, {'J01': -91.706}, {'J01': 7}, {'J01': 31}, 
135.0, {'J01': -92.97300000000001}, {'J01': 7}, {'J01': 31}, 
140.0, {'J01': -94.97300000000001}, {'J01': 7}, {'J01': 33}, 
145.0, {'J01': -76.779}, {'J01': 7}, {'J01': 37}, 
150.0, {'J01': -78.694}, {'J01': 8}, {'J01': 34}, 
155.0, {'J01': -94.416}, {'J01': 8}, {'J01': 33}, 
160.0, {'J01': -97.774}, {'J01': 7}, {'J01': 32}, 
165.0, {'J01': -97.774}, {'J01': 7}, {'J01': 32}, 
170.0, {'J01': -106.575}, {'J01': 7}, {'J01': 37}, 
175.0, {'J01': -117.376}, {'J01': 8}, {'J01': 44}, 
180.0, {'J01': -115.376}, {'J01': 8}, {'J01': 42}, 
185.0, {'J01': -102.308}, {'J01': 6}, {'J01': 34}, 
190.0, {'J01': -104.575}, {'J01': 6}, {'J01': 35}, 
195.0, {'J01': -104.575}, {'J01': 6}, {'J01': 35}, 
200.0, {'J01': -113.376}, {'J01': 6}, {'J01': 40}, 
205.0, {'J01': -101.308}, {'J01': 6}, {'J01': 33}, 
210.0, {'J01': -99.041}, {'J01': 6}, {'J01': 32}, 
215.0, {'J01': -97.308}, {'J01': 6}, {'J01': 29}, 
220.0, {'J01': -95.041}, {'J01': 6}, {'J01': 28}, 
225.0, {'J01': -91.041}, {'J01': 6}, {'J01': 24}, 
230.0, {'J01': -85.041}, {'J01': 6}, {'J01': 18}, 
235.0, {'J01': -26.869}, {'J01': 4}, {'J01': 18}, 
240.0, {'J01': -51.063}, {'J01': 3}, {'J01': 20}, 
245.0, {'J01': -89.768}, {'J01': 6}, {'J01': 32}, 
250.0, {'J01': -96.768}, {'J01': 8}, {'J01': 39}, 
255.0, {'J01': -105.393}, {'J01': 8}, {'J01': 42}, 
260.0, {'J01': -94.592}, {'J01': 7}, {'J01': 35}, 
265.0, {'J01': -82.058}, {'J01': 5}, {'J01': 25}, 
270.0, {'J01': -78.325}, {'J01': 4}, {'J01': 20}, 
275.0, {'J01': -76.882}, {'J01': 4}, {'J01': 18}, 
280.0, {'J01': -77.97300000000001}, {'J01': 4}, {'J01': 16}, 
285.0, {'J01': -29.448999999999998}, {'J01': 6}, {'J01': 22}, 
290.0, {'J01': -49.256}, {'J01': 8}, {'J01': 30}, 
295.0, {'J01': -58.972}, {'J01': 8}, {'J01': 31}, 
