5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -8.0}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -50.0}, {'J01': 2}, {'J01': 5}, 
25.0, {'J01': -44.0}, {'J01': 2}, {'J01': 3}, 
30.0, {'J01': -81.0}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': -129.0}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -209.0}, {'J01': 3}, {'J01': 8}, 
45.0, {'J01': -292.5}, {'J01': 4}, {'J01': 10}, 
50.0, {'J01': -397.0}, {'J01': 4}, {'J01': 13}, 
55.0, {'J01': -540.0}, {'J01': 4}, {'J01': 17}, 
60.0, {'J01': -710.5}, {'J01': 4}, {'J01': 18}, 
65.0, {'J01': -636.5}, {'J01': 3}, {'J01': 14}, 
70.0, {'J01': -638.5}, {'J01': 3}, {'J01': 13}, 
75.0, {'J01': -786.5}, {'J01': 3}, {'J01': 23}, 
80.0, {'J01': -1033.5}, {'J01': 5}, {'J01': 30}, 
85.0, {'J01': -1234.5}, {'J01': 7}, {'J01': 33}, 
90.0, {'J01': -1395.0}, {'J01': 5}, {'J01': 28}, 
95.0, {'J01': -1537.5}, {'J01': 4}, {'J01': 24}, 
100.0, {'J01': -1671.0}, {'J01': 4}, {'J01': 21}, 
105.0, {'J01': -1881.0}, {'J01': 4}, {'J01': 21}, 
110.0, {'J01': -2091.0}, {'J01': 4}, {'J01': 21}, 
115.0, {'J01': -2307.0}, {'J01': 4}, {'J01': 23}, 
120.0, {'J01': -2540.0}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -2780.0}, {'J01': 4}, {'J01': 24}, 
130.0, {'J01': -2465.5}, {'J01': 4}, {'J01': 23}, 
135.0, {'J01': -2242.0}, {'J01': 4}, {'J01': 24}, 
140.0, {'J01': -2395.5}, {'J01': 4}, {'J01': 19}, 
145.0, {'J01': -2586.0}, {'J01': 4}, {'J01': 20}, 
150.0, {'J01': -2043.5}, {'J01': 4}, {'J01': 19}, 
155.0, {'J01': -1768.0}, {'J01': 4}, {'J01': 20}, 
160.0, {'J01': -1913.5}, {'J01': 5}, {'J01': 21}, 
165.0, {'J01': -2101.5}, {'J01': 5}, {'J01': 20}, 
170.0, {'J01': -2304.5}, {'J01': 5}, {'J01': 21}, 
175.0, {'J01': -1757.5}, {'J01': 3}, {'J01': 18}, 
180.0, {'J01': -1954.5}, {'J01': 4}, {'J01': 27}, 
185.0, {'J01': -2239.0}, {'J01': 7}, {'J01': 33}, 
190.0, {'J01': -2588.5}, {'J01': 7}, {'J01': 39}, 
195.0, {'J01': -2852.0}, {'J01': 6}, {'J01': 36}, 
200.0, {'J01': -2953.0}, {'J01': 5}, {'J01': 29}, 
205.0, {'J01': -3023.0}, {'J01': 5}, {'J01': 24}, 
210.0, {'J01': -3173.5}, {'J01': 5}, {'J01': 23}, 
215.0, {'J01': -3407.5}, {'J01': 5}, {'J01': 25}, 
220.0, {'J01': -3657.5}, {'J01': 5}, {'J01': 25}, 
225.0, {'J01': -3910.0}, {'J01': 6}, {'J01': 26}, 
230.0, {'J01': -4171.0}, {'J01': 7}, {'J01': 27}, 
235.0, {'J01': -2779.5}, {'J01': 7}, {'J01': 22}, 
