5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -2.0, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -13.6, 'top_mgr': 2}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': -32.8, 'top_mgr': 0}, {'J01': 4}, {'J01': 8}, 
25.0, {'J01': -56.8, 'top_mgr': 0}, {'J01': 4}, {'J01': 10}, 
30.0, {'J01': -86.2, 'top_mgr': 0}, {'J01': 4}, {'J01': 13}, 
35.0, {'J01': -95.6, 'top_mgr': 2}, {'J01': 4}, {'J01': 14}, 
40.0, {'J01': -120.6, 'top_mgr': 1}, {'J01': 4}, {'J01': 19}, 
45.0, {'J01': -107.2, 'top_mgr': 4}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': -141.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 26}, 
55.0, {'J01': -178.80000000000004, 'top_mgr': 2}, {'J01': 8}, {'J01': 31}, 
60.0, {'J01': -221.80000000000004, 'top_mgr': 0}, {'J01': 8}, {'J01': 34}, 
65.0, {'J01': -263.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
70.0, {'J01': -211.80000000000004, 'top_mgr': 11}, {'J01': 6}, {'J01': 25}, 
75.0, {'J01': -212.60000000000002, 'top_mgr': 4}, {'J01': 5}, {'J01': 22}, 
80.0, {'J01': -164.0, 'top_mgr': 8}, {'J01': 5}, {'J01': 20}, 
85.0, {'J01': -164.8, 'top_mgr': 1}, {'J01': 6}, {'J01': 24}, 
90.0, {'J01': -204.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 31}, 
95.0, {'J01': -248.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
100.0, {'J01': -263.8, 'top_mgr': 5}, {'J01': 8}, {'J01': 31}, 
105.0, {'J01': -263.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
110.0, {'J01': -290.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
115.0, {'J01': -329.80000000000007, 'top_mgr': 0}, {'J01': 8}, {'J01': 38}, 
120.0, {'J01': -344.00000000000006, 'top_mgr': 4}, {'J01': 8}, {'J01': 36}, 
125.0, {'J01': -352.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
130.0, {'J01': -391.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
135.0, {'J01': -409.80000000000007, 'top_mgr': 5}, {'J01': 8}, {'J01': 38}, 
140.0, {'J01': -375.80000000000007, 'top_mgr': 7}, {'J01': 8}, {'J01': 34}, 
145.0, {'J01': -388.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 32}, 
150.0, {'J01': -417.4, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
155.0, {'J01': -448.8, 'top_mgr': 0}, {'J01': 9}, {'J01': 40}, 
160.0, {'J01': -488.0, 'top_mgr': 0}, {'J01': 10}, {'J01': 45}, 
165.0, {'J01': -373.99999999999994, 'top_mgr': 14}, {'J01': 8}, {'J01': 37}, 
170.0, {'J01': -406.59999999999997, 'top_mgr': 4}, {'J01': 7}, {'J01': 34}, 
175.0, {'J01': -452.59999999999997, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
180.0, {'J01': -435.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 41}, 
185.0, {'J01': -435.80000000000007, 'top_mgr': 8}, {'J01': 6}, {'J01': 33}, 
190.0, {'J01': -484.80000000000007, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
195.0, {'J01': -523.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 41}, 
200.0, {'J01': -517.0, 'top_mgr': 3}, {'J01': 9}, {'J01': 40}, 
205.0, {'J01': -564.1999999999999, 'top_mgr': 1}, {'J01': 9}, {'J01': 46}, 
210.0, {'J01': -610.1999999999999, 'top_mgr': 0}, {'J01': 9}, {'J01': 48}, 
215.0, {'J01': -636.4, 'top_mgr': 1}, {'J01': 10}, {'J01': 48}, 
220.0, {'J01': -620.8000000000001, 'top_mgr': 8}, {'J01': 8}, {'J01': 40}, 
225.0, {'J01': -503.40000000000003, 'top_mgr': 17}, {'J01': 5}, {'J01': 24}, 
230.0, {'J01': -533.6, 'top_mgr': 3}, {'J01': 5}, {'J01': 26}, 
235.0, {'J01': -373.00000000000006, 'top_mgr': 9}, {'J01': 5}, {'J01': 19}, 
240.0, {'J01': -291.40000000000003, 'top_mgr': 11}, {'J01': 5}, {'J01': 12}, 
245.0, {'J01': -313.40000000000003, 'top_mgr': 9}, {'J01': 5}, {'J01': 14}, 
250.0, {'J01': -332.40000000000003, 'top_mgr': 9}, {'J01': 5}, {'J01': 13}, 
255.0, {'J01': -337.8, 'top_mgr': 5}, {'J01': 5}, {'J01': 16}, 
260.0, {'J01': -380.8, 'top_mgr': 2}, {'J01': 5}, {'J01': 25}, 
265.0, {'J01': -414.40000000000003, 'top_mgr': 2}, {'J01': 6}, {'J01': 27}, 
270.0, {'J01': -439.6000000000001, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
275.0, {'J01': -309.40000000000003, 'top_mgr': 6}, {'J01': 8}, {'J01': 34}, 
280.0, {'J01': -309.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
285.0, {'J01': -336.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 29}, 
290.0, {'J01': -370.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 31}, 
295.0, {'J01': -391.59999999999997, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
300.0, {'J01': -426.79999999999995, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
305.0, {'J01': -465.99999999999994, 'top_mgr': 0}, {'J01': 8}, {'J01': 43}, 
310.0, {'J01': -458.6, 'top_mgr': 10}, {'J01': 7}, {'J01': 34}, 
315.0, {'J01': -442.0, 'top_mgr': 8}, {'J01': 6}, {'J01': 29}, 
320.0, {'J01': -467.4, 'top_mgr': 1}, {'J01': 6}, {'J01': 33}, 
325.0, {'J01': -511.80000000000007, 'top_mgr': 1}, {'J01': 7}, {'J01': 37}, 
330.0, {'J01': -450.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
335.0, {'J01': -477.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 39}, 
340.0, {'J01': -520.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
345.0, {'J01': -574.0, 'top_mgr': 0}, {'J01': 9}, {'J01': 46}, 
350.0, {'J01': -621.2, 'top_mgr': 1}, {'J01': 9}, {'J01': 46}, 
355.0, {'J01': -615.6000000000001, 'top_mgr': 6}, {'J01': 9}, {'J01': 43}, 
360.0, {'J01': -617.6, 'top_mgr': 4}, {'J01': 10}, {'J01': 40}, 
365.0, {'J01': -637.6, 'top_mgr': 2}, {'J01': 11}, {'J01': 42}, 
370.0, {'J01': -676.0, 'top_mgr': 0}, {'J01': 11}, {'J01': 43}, 
375.0, {'J01': -716.0, 'top_mgr': 0}, {'J01': 11}, {'J01': 43}, 
380.0, {'J01': -667.8000000000001, 'top_mgr': 11}, {'J01': 7}, {'J01': 32}, 
385.0, {'J01': -599.0, 'top_mgr': 12}, {'J01': 4}, {'J01': 20}, 
390.0, {'J01': -494.2, 'top_mgr': 12}, {'J01': 4}, {'J01': 14}, 
395.0, {'J01': -515.6, 'top_mgr': 4}, {'J01': 4}, {'J01': 15}, 
400.0, {'J01': -419.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 12}, 
405.0, {'J01': -439.6, 'top_mgr': 11}, {'J01': 4}, {'J01': 12}, 
410.0, {'J01': -460.6, 'top_mgr': 9}, {'J01': 4}, {'J01': 13}, 
415.0, {'J01': -478.6, 'top_mgr': 5}, {'J01': 4}, {'J01': 16}, 
420.0, {'J01': -487.8, 'top_mgr': 6}, {'J01': 4}, {'J01': 15}, 
425.0, {'J01': -238.20000000000005, 'top_mgr': 6}, {'J01': 3}, {'J01': 14}, 
430.0, {'J01': -288.20000000000005, 'top_mgr': 0}, {'J01': 4}, {'J01': 24}, 
435.0, {'J01': -254.40000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
440.0, {'J01': -260.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
445.0, {'J01': -274.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 34}, 
450.0, {'J01': -321.20000000000005, 'top_mgr': 0}, {'J01': 7}, {'J01': 37}, 
