440.0, {'J01': -61.80200000000001}, {'J01': 5}, {'J01': 24}, 
445.0, {'J01': -63.984}, {'J01': 4}, {'J01': 20}, 
450.0, {'J01': -33.165000000000006}, {'J01': 3}, {'J01': 17}, 
455.0, {'J01': -38.903999999999996}, {'J01': 3}, {'J01': 16}, 
460.0, {'J01': -40.813}, {'J01': 6}, {'J01': 21}, 
465.0, {'J01': -67.802}, {'J01': 8}, {'J01': 30}, 
470.0, {'J01': -94.43900000000001}, {'J01': 8}, {'J01': 35}, 
475.0, {'J01': -91.172}, {'J01': 8}, {'J01': 33}, 
480.0, {'J01': -68.71100000000001}, {'J01': 8}, {'J01': 34}, 
485.0, {'J01': -67.97800000000001}, {'J01': 8}, {'J01': 32}, 
490.0, {'J01': -75.723}, {'J01': 7}, {'J01': 25}, 
495.0, {'J01': -67.632}, {'J01': 6}, {'J01': 20}, 
500.0, {'J01': -77.905}, {'J01': 5}, {'J01': 21}, 
505.0, {'J01': -68.723}, {'J01': 4}, {'J01': 18}, 
510.0, {'J01': -24.273}, {'J01': 3}, {'J01': 15}, 
515.0, {'J01': -28.182000000000002}, {'J01': 4}, {'J01': 22}, 
520.0, {'J01': -54.904}, {'J01': 7}, {'J01': 32}, 
525.0, {'J01': -59.438}, {'J01': 8}, {'J01': 34}, 
530.0, {'J01': -69.887}, {'J01': 8}, {'J01': 37}, 
535.0, {'J01': -85.694}, {'J01': 8}, {'J01': 41}, 
540.0, {'J01': -107.68299999999999}, {'J01': 8}, {'J01': 45}, 
545.0, {'J01': -109.95}, {'J01': 8}, {'J01': 46}, 
550.0, {'J01': -87.7}, {'J01': 6}, {'J01': 35}, 
555.0, {'J01': -82.34800000000001}, {'J01': 4}, {'J01': 26}, 
560.0, {'J01': -41.989000000000004}, {'J01': 4}, {'J01': 24}, 
565.0, {'J01': -67.893}, {'J01': 4}, {'J01': 27}, 
570.0, {'J01': -95.43900000000001}, {'J01': 6}, {'J01': 36}, 
575.0, {'J01': -94.7}, {'J01': 8}, {'J01': 42}, 
580.0, {'J01': -92.43900000000001}, {'J01': 6}, {'J01': 33}, 
585.0, {'J01': -80.257}, {'J01': 4}, {'J01': 27}, 
590.0, {'J01': -47.522999999999996}, {'J01': 4}, {'J01': 27}, 
595.0, {'J01': -81.43299999999999}, {'J01': 4}, {'J01': 30}, 
600.0, {'J01': -101.97300000000001}, {'J01': 7}, {'J01': 40}, 
605.0, {'J01': -63.148}, {'J01': 8}, {'J01': 37}, 
610.0, {'J01': -87.143}, {'J01': 8}, {'J01': 35}, 
615.0, {'J01': -84.7}, {'J01': 8}, {'J01': 32}, 
620.0, {'J01': -89.143}, {'J01': 8}, {'J01': 37}, 
625.0, {'J01': -91.143}, {'J01': 8}, {'J01': 39}, 
630.0, {'J01': -80.60900000000001}, {'J01': 6}, {'J01': 31}, 
635.0, {'J01': -45.432}, {'J01': 5}, {'J01': 28}, 
640.0, {'J01': -81.60900000000001}, {'J01': 5}, {'J01': 32}, 
645.0, {'J01': -91.058}, {'J01': 6}, {'J01': 34}, 
650.0, {'J01': -100.507}, {'J01': 8}, {'J01': 36}, 
655.0, {'J01': -96.507}, {'J01': 6}, {'J01': 32}, 
660.0, {'J01': -63.330000000000005}, {'J01': 5}, {'J01': 31}, 
665.0, {'J01': -67.955}, {'J01': 5}, {'J01': 30}, 
670.0, {'J01': -70.87}, {'J01': 5}, {'J01': 28}, 
675.0, {'J01': -80.586}, {'J01': 5}, {'J01': 29}, 
680.0, {'J01': -86.67699999999999}, {'J01': 5}, {'J01': 32}, 
685.0, {'J01': -106.308}, {'J01': 8}, {'J01': 38}, 
690.0, {'J01': -108.751}, {'J01': 8}, {'J01': 41}, 
695.0, {'J01': -95.035}, {'J01': 7}, {'J01': 36}, 
700.0, {'J01': -109.84200000000001}, {'J01': 7}, {'J01': 39}, 
705.0, {'J01': -104.927}, {'J01': 7}, {'J01': 39}, 
710.0, {'J01': -113.10900000000001}, {'J01': 7}, {'J01': 41}, 
715.0, {'J01': -102.041}, {'J01': 6}, {'J01': 35}, 
720.0, {'J01': -98.041}, {'J01': 5}, {'J01': 31}, 
725.0, {'J01': -37.517}, {'J01': 5}, {'J01': 25}, 
730.0, {'J01': -43.432}, {'J01': 5}, {'J01': 26}, 
735.0, {'J01': -63.063}, {'J01': 6}, {'J01': 32}, 
740.0, {'J01': -83.518}, {'J01': 8}, {'J01': 37}, 
745.0, {'J01': -75.60300000000001}, {'J01': 7}, {'J01': 34}, 
750.0, {'J01': -69.60300000000001}, {'J01': 5}, {'J01': 28}, 
755.0, {'J01': -71.785}, {'J01': 5}, {'J01': 24}, 
760.0, {'J01': -39.051}, {'J01': 5}, {'J01': 24}, 
765.0, {'J01': -47.233000000000004}, {'J01': 5}, {'J01': 26}, 
770.0, {'J01': -51.96600000000001}, {'J01': 6}, {'J01': 32}, 
775.0, {'J01': -64.5}, {'J01': 8}, {'J01': 42}, 
780.0, {'J01': -65.41499999999999}, {'J01': 7}, {'J01': 38}, 
785.0, {'J01': -61.681999999999995}, {'J01': 5}, {'J01': 33}, 
790.0, {'J01': -55.681999999999995}, {'J01': 5}, {'J01': 27}, 
795.0, {'J01': -36.517}, {'J01': 4}, {'J01': 24}, 
800.0, {'J01': -28.625}, {'J01': 4}, {'J01': 23}, 
805.0, {'J01': -37.892}, {'J01': 7}, {'J01': 31}, 
810.0, {'J01': -43.983000000000004}, {'J01': 8}, {'J01': 34}, 
815.0, {'J01': -47.165000000000006}, {'J01': 7}, {'J01': 31}, 
820.0, {'J01': -52.438}, {'J01': 5}, {'J01': 27}, 
825.0, {'J01': -62.245000000000005}, {'J01': 4}, {'J01': 25}, 
