5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.2, 'top_mgr': 1}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -13.600000000000001, 'top_mgr': 0}, {'J01': 2}, {'J01': 6}, 
20.0, {'J01': -40.6, 'top_mgr': 0}, {'J01': 4}, {'J01': 11}, 
25.0, {'J01': -50.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 9}, 
30.0, {'J01': -64.2, 'top_mgr': 2}, {'J01': 4}, {'J01': 10}, 
35.0, {'J01': -79.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -103.80000000000001, 'top_mgr': 4}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': -111.59999999999998, 'top_mgr': 3}, {'J01': 4}, {'J01': 16}, 
50.0, {'J01': -136.79999999999998, 'top_mgr': 2}, {'J01': 6}, {'J01': 24}, 
55.0, {'J01': -179.39999999999998, 'top_mgr': 2}, {'J01': 7}, {'J01': 29}, 
60.0, {'J01': -223.99999999999997, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
65.0, {'J01': -242.6, 'top_mgr': 6}, {'J01': 7}, {'J01': 27}, 
70.0, {'J01': -244.6, 'top_mgr': 4}, {'J01': 7}, {'J01': 27}, 
75.0, {'J01': -292.59999999999997, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
80.0, {'J01': -213.4, 'top_mgr': 9}, {'J01': 7}, {'J01': 26}, 
85.0, {'J01': -216.2, 'top_mgr': 1}, {'J01': 7}, {'J01': 29}, 
90.0, {'J01': -256.79999999999995, 'top_mgr': 2}, {'J01': 7}, {'J01': 31}, 
95.0, {'J01': -305.99999999999994, 'top_mgr': 0}, {'J01': 7}, {'J01': 36}, 
100.0, {'J01': -355.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 37}, 
105.0, {'J01': -322.99999999999994, 'top_mgr': 4}, {'J01': 7}, {'J01': 36}, 
110.0, {'J01': -287.59999999999997, 'top_mgr': 12}, {'J01': 6}, {'J01': 25}, 
115.0, {'J01': -224.79999999999998, 'top_mgr': 11}, {'J01': 4}, {'J01': 16}, 
120.0, {'J01': -225.99999999999997, 'top_mgr': 9}, {'J01': 4}, {'J01': 14}, 
125.0, {'J01': -176.59999999999997, 'top_mgr': 8}, {'J01': 4}, {'J01': 12}, 
130.0, {'J01': -150.0, 'top_mgr': 7}, {'J01': 3}, {'J01': 11}, 
135.0, {'J01': -195.0, 'top_mgr': 0}, {'J01': 4}, {'J01': 22}, 
140.0, {'J01': -222.99999999999997, 'top_mgr': 1}, {'J01': 7}, {'J01': 33}, 
145.0, {'J01': -269.99999999999994, 'top_mgr': 0}, {'J01': 7}, {'J01': 36}, 
150.0, {'J01': -316.0, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
155.0, {'J01': -301.20000000000005, 'top_mgr': 7}, {'J01': 7}, {'J01': 32}, 
160.0, {'J01': -230.20000000000002, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
165.0, {'J01': -263.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 35}, 
170.0, {'J01': -282.40000000000003, 'top_mgr': 4}, {'J01': 7}, {'J01': 33}, 
175.0, {'J01': -290.20000000000005, 'top_mgr': 5}, {'J01': 6}, {'J01': 31}, 
180.0, {'J01': -323.8, 'top_mgr': 2}, {'J01': 6}, {'J01': 30}, 
185.0, {'J01': -367.6, 'top_mgr': 1}, {'J01': 6}, {'J01': 36}, 
190.0, {'J01': -343.20000000000005, 'top_mgr': 4}, {'J01': 7}, {'J01': 37}, 
195.0, {'J01': -353.00000000000006, 'top_mgr': 2}, {'J01': 7}, {'J01': 36}, 
200.0, {'J01': -305.40000000000003, 'top_mgr': 6}, {'J01': 7}, {'J01': 35}, 
205.0, {'J01': -319.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 35}, 
210.0, {'J01': -354.00000000000006, 'top_mgr': 4}, {'J01': 7}, {'J01': 33}, 
215.0, {'J01': -335.00000000000006, 'top_mgr': 6}, {'J01': 9}, {'J01': 30}, 
220.0, {'J01': -361.4000000000001, 'top_mgr': 1}, {'J01': 9}, {'J01': 33}, 
225.0, {'J01': -399.4000000000001, 'top_mgr': 0}, {'J01': 9}, {'J01': 35}, 
230.0, {'J01': -409.00000000000006, 'top_mgr': 2}, {'J01': 9}, {'J01': 39}, 
235.0, {'J01': -371.0, 'top_mgr': 4}, {'J01': 9}, {'J01': 35}, 
240.0, {'J01': -352.2, 'top_mgr': 4}, {'J01': 9}, {'J01': 31}, 
245.0, {'J01': -339.20000000000005, 'top_mgr': 7}, {'J01': 10}, {'J01': 30}, 
250.0, {'J01': -354.6, 'top_mgr': 8}, {'J01': 8}, {'J01': 28}, 
255.0, {'J01': -383.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 31}, 
260.0, {'J01': -373.6000000000001, 'top_mgr': 10}, {'J01': 5}, {'J01': 23}, 
265.0, {'J01': -402.4000000000001, 'top_mgr': 2}, {'J01': 5}, {'J01': 24}, 
270.0, {'J01': -450.4000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 32}, 
275.0, {'J01': -502.4000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
280.0, {'J01': -435.0, 'top_mgr': 8}, {'J01': 6}, {'J01': 34}, 
285.0, {'J01': -335.80000000000007, 'top_mgr': 7}, {'J01': 5}, {'J01': 27}, 
290.0, {'J01': -373.2000000000001, 'top_mgr': 1}, {'J01': 5}, {'J01': 31}, 
295.0, {'J01': -357.00000000000006, 'top_mgr': 7}, {'J01': 6}, {'J01': 30}, 
300.0, {'J01': -315.8, 'top_mgr': 13}, {'J01': 5}, {'J01': 21}, 
305.0, {'J01': -286.8, 'top_mgr': 6}, {'J01': 5}, {'J01': 19}, 
310.0, {'J01': -308.6, 'top_mgr': 7}, {'J01': 5}, {'J01': 15}, 
315.0, {'J01': -302.20000000000005, 'top_mgr': 11}, {'J01': 5}, {'J01': 13}, 
320.0, {'J01': -326.20000000000005, 'top_mgr': 10}, {'J01': 5}, {'J01': 15}, 
325.0, {'J01': -235.4, 'top_mgr': 10}, {'J01': 4}, {'J01': 13}, 
330.0, {'J01': -181.0, 'top_mgr': 4}, {'J01': 4}, {'J01': 20}, 
335.0, {'J01': -217.2, 'top_mgr': 0}, {'J01': 6}, {'J01': 27}, 
340.0, {'J01': -246.0, 'top_mgr': 2}, {'J01': 7}, {'J01': 30}, 
345.0, {'J01': -258.4, 'top_mgr': 5}, {'J01': 6}, {'J01': 27}, 
350.0, {'J01': -275.6, 'top_mgr': 3}, {'J01': 6}, {'J01': 28}, 
355.0, {'J01': -285.0, 'top_mgr': 3}, {'J01': 6}, {'J01': 29}, 
360.0, {'J01': -323.4, 'top_mgr': 1}, {'J01': 7}, {'J01': 31}, 
365.0, {'J01': -340.40000000000003, 'top_mgr': 5}, {'J01': 7}, {'J01': 31}, 
370.0, {'J01': -269.79999999999995, 'top_mgr': 2}, {'J01': 7}, {'J01': 33}, 
375.0, {'J01': -311.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 36}, 
380.0, {'J01': -330.6, 'top_mgr': 5}, {'J01': 7}, {'J01': 31}, 
385.0, {'J01': -357.0, 'top_mgr': 4}, {'J01': 7}, {'J01': 34}, 
390.0, {'J01': -384.40000000000003, 'top_mgr': 2}, {'J01': 7}, {'J01': 39}, 
395.0, {'J01': -427.4, 'top_mgr': 1}, {'J01': 7}, {'J01': 42}, 
400.0, {'J01': -471.4, 'top_mgr': 0}, {'J01': 8}, {'J01': 44}, 
405.0, {'J01': -422.00000000000006, 'top_mgr': 12}, {'J01': 5}, {'J01': 32}, 
410.0, {'J01': -351.6, 'top_mgr': 15}, {'J01': 5}, {'J01': 19}, 
415.0, {'J01': -393.59999999999997, 'top_mgr': 2}, {'J01': 5}, {'J01': 23}, 
420.0, {'J01': -347.6, 'top_mgr': 3}, {'J01': 5}, {'J01': 28}, 
425.0, {'J01': -383.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 31}, 
430.0, {'J01': -419.59999999999997, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
435.0, {'J01': -411.6, 'top_mgr': 9}, {'J01': 6}, {'J01': 31}, 
440.0, {'J01': -457.6, 'top_mgr': 1}, {'J01': 6}, {'J01': 34}, 
445.0, {'J01': -502.6, 'top_mgr': 0}, {'J01': 6}, {'J01': 35}, 
450.0, {'J01': -552.4, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
455.0, {'J01': -488.4, 'top_mgr': 2}, {'J01': 7}, {'J01': 40}, 
460.0, {'J01': -488.6, 'top_mgr': 3}, {'J01': 7}, {'J01': 39}, 
465.0, {'J01': -526.8, 'top_mgr': 1}, {'J01': 7}, {'J01': 40}, 
