340.0, {'J01': -286.40000000000003, 'top_mgr': 7}, {'J01': 9}, {'J01': 34}, 
345.0, {'J01': -320.00000000000006, 'top_mgr': 2}, {'J01': 10}, {'J01': 35}, 
350.0, {'J01': -233.0, 'top_mgr': 4}, {'J01': 10}, {'J01': 32}, 
355.0, {'J01': -252.20000000000005, 'top_mgr': 9}, {'J01': 8}, {'J01': 31}, 
360.0, {'J01': -279.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 31}, 
365.0, {'J01': -314.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 33}, 
370.0, {'J01': -352.6, 'top_mgr': 2}, {'J01': 10}, {'J01': 37}, 
375.0, {'J01': -388.2, 'top_mgr': 4}, {'J01': 10}, {'J01': 37}, 
380.0, {'J01': -423.2, 'top_mgr': 3}, {'J01': 10}, {'J01': 38}, 
385.0, {'J01': -414.8, 'top_mgr': 4}, {'J01': 11}, {'J01': 37}, 
390.0, {'J01': -390.40000000000003, 'top_mgr': 4}, {'J01': 11}, {'J01': 36}, 
395.0, {'J01': -438.40000000000003, 'top_mgr': 0}, {'J01': 11}, {'J01': 40}, 
400.0, {'J01': -490.20000000000005, 'top_mgr': 0}, {'J01': 12}, {'J01': 46}, 
405.0, {'J01': -510.8, 'top_mgr': 8}, {'J01': 13}, {'J01': 41}, 
410.0, {'J01': -432.80000000000007, 'top_mgr': 10}, {'J01': 13}, {'J01': 34}, 
415.0, {'J01': -419.4, 'top_mgr': 5}, {'J01': 12}, {'J01': 33}, 
420.0, {'J01': -451.6, 'top_mgr': 5}, {'J01': 12}, {'J01': 31}, 
425.0, {'J01': -472.40000000000003, 'top_mgr': 3}, {'J01': 12}, {'J01': 39}, 
430.0, {'J01': -492.4000000000001, 'top_mgr': 2}, {'J01': 13}, {'J01': 47}, 
435.0, {'J01': -414.6000000000001, 'top_mgr': 5}, {'J01': 13}, {'J01': 45}, 
440.0, {'J01': -395.6000000000001, 'top_mgr': 4}, {'J01': 14}, {'J01': 43}, 
445.0, {'J01': -398.4000000000001, 'top_mgr': 2}, {'J01': 15}, {'J01': 43}, 
450.0, {'J01': -414.4000000000001, 'top_mgr': 5}, {'J01': 15}, {'J01': 41}, 
455.0, {'J01': -425.8, 'top_mgr': 4}, {'J01': 16}, {'J01': 41}, 
460.0, {'J01': -352.80000000000007, 'top_mgr': 8}, {'J01': 17}, {'J01': 36}, 
465.0, {'J01': -357.00000000000006, 'top_mgr': 2}, {'J01': 17}, {'J01': 36}, 
470.0, {'J01': -394.40000000000003, 'top_mgr': 0}, {'J01': 17}, {'J01': 41}, 
475.0, {'J01': -378.8, 'top_mgr': 3}, {'J01': 17}, {'J01': 44}, 
480.0, {'J01': -361.8, 'top_mgr': 4}, {'J01': 17}, {'J01': 42}, 
485.0, {'J01': -394.80000000000007, 'top_mgr': 3}, {'J01': 18}, {'J01': 45}, 
490.0, {'J01': -429.80000000000007, 'top_mgr': 1}, {'J01': 18}, {'J01': 46}, 
495.0, {'J01': -472.80000000000007, 'top_mgr': 1}, {'J01': 21}, {'J01': 53}, 
500.0, {'J01': -482.00000000000006, 'top_mgr': 3}, {'J01': 22}, {'J01': 54}, 
505.0, {'J01': -510.6, 'top_mgr': 2}, {'J01': 22}, {'J01': 52}, 
510.0, {'J01': -545.1999999999999, 'top_mgr': 3}, {'J01': 23}, {'J01': 54}, 
515.0, {'J01': -529.2, 'top_mgr': 6}, {'J01': 23}, {'J01': 51}, 
520.0, {'J01': -549.8000000000001, 'top_mgr': 5}, {'J01': 24}, {'J01': 52}, 
525.0, {'J01': -549.8000000000001, 'top_mgr': 2}, {'J01': 24}, {'J01': 55}, 
530.0, {'J01': -601.8000000000001, 'top_mgr': 0}, {'J01': 26}, {'J01': 63}, 
535.0, {'J01': -649.0000000000001, 'top_mgr': 0}, {'J01': 26}, {'J01': 66}, 
540.0, {'J01': -691.2, 'top_mgr': 2}, {'J01': 26}, {'J01': 65}, 
545.0, {'J01': -650.2, 'top_mgr': 7}, {'J01': 26}, {'J01': 59}, 
550.0, {'J01': -657.8000000000001, 'top_mgr': 1}, {'J01': 26}, {'J01': 59}, 
555.0, {'J01': -695.8000000000001, 'top_mgr': 0}, {'J01': 26}, {'J01': 61}, 
560.0, {'J01': -733.8000000000001, 'top_mgr': 0}, {'J01': 27}, {'J01': 63}, 
565.0, {'J01': -668.1999999999999, 'top_mgr': 9}, {'J01': 25}, {'J01': 54}, 
570.0, {'J01': -703.0000000000001, 'top_mgr': 0}, {'J01': 25}, {'J01': 56}, 
575.0, {'J01': -664.2, 'top_mgr': 8}, {'J01': 23}, {'J01': 50}, 
580.0, {'J01': -663.5999999999999, 'top_mgr': 6}, {'J01': 23}, {'J01': 46}, 
585.0, {'J01': -689.7999999999998, 'top_mgr': 1}, {'J01': 23}, {'J01': 49}, 
590.0, {'J01': -597.8000000000001, 'top_mgr': 5}, {'J01': 23}, {'J01': 53}, 
595.0, {'J01': -632.8000000000002, 'top_mgr': 4}, {'J01': 26}, {'J01': 56}, 
600.0, {'J01': -553.4000000000001, 'top_mgr': 8}, {'J01': 26}, {'J01': 51}, 
605.0, {'J01': -395.00000000000006, 'top_mgr': 19}, {'J01': 22}, {'J01': 40}, 
610.0, {'J01': -346.0, 'top_mgr': 9}, {'J01': 21}, {'J01': 34}, 
615.0, {'J01': -363.59999999999997, 'top_mgr': 5}, {'J01': 19}, {'J01': 36}, 
620.0, {'J01': -376.6, 'top_mgr': 10}, {'J01': 17}, {'J01': 31}, 
625.0, {'J01': -350.00000000000006, 'top_mgr': 10}, {'J01': 13}, {'J01': 28}, 
630.0, {'J01': -374.20000000000005, 'top_mgr': 1}, {'J01': 13}, {'J01': 39}, 
635.0, {'J01': -421.2, 'top_mgr': 1}, {'J01': 13}, {'J01': 46}, 
640.0, {'J01': -445.20000000000005, 'top_mgr': 3}, {'J01': 16}, {'J01': 46}, 
645.0, {'J01': -478.6000000000001, 'top_mgr': 3}, {'J01': 16}, {'J01': 45}, 
650.0, {'J01': -375.6, 'top_mgr': 6}, {'J01': 17}, {'J01': 44}, 
655.0, {'J01': -329.8, 'top_mgr': 4}, {'J01': 18}, {'J01': 42}, 
660.0, {'J01': -354.0, 'top_mgr': 2}, {'J01': 20}, {'J01': 43}, 
665.0, {'J01': -355.99999999999994, 'top_mgr': 5}, {'J01': 21}, {'J01': 40}, 
670.0, {'J01': -342.59999999999997, 'top_mgr': 8}, {'J01': 19}, {'J01': 39}, 
675.0, {'J01': -379.40000000000003, 'top_mgr': 1}, {'J01': 19}, {'J01': 43}, 
680.0, {'J01': -424.00000000000006, 'top_mgr': 0}, {'J01': 20}, {'J01': 50}, 
685.0, {'J01': -436.40000000000003, 'top_mgr': 4}, {'J01': 20}, {'J01': 50}, 
690.0, {'J01': -391.2, 'top_mgr': 5}, {'J01': 21}, {'J01': 49}, 
695.0, {'J01': -442.0, 'top_mgr': 1}, {'J01': 22}, {'J01': 52}, 
