5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.2, 'top_mgr': 1}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -16.0, 'top_mgr': 0}, {'J01': 2}, {'J01': 7}, 
20.0, {'J01': -32.6, 'top_mgr': 2}, {'J01': 3}, {'J01': 8}, 
25.0, {'J01': -46.800000000000004, 'top_mgr': 1}, {'J01': 3}, {'J01': 10}, 
30.0, {'J01': -48.800000000000004, 'top_mgr': 2}, {'J01': 4}, {'J01': 12}, 
35.0, {'J01': -68.6, 'top_mgr': 2}, {'J01': 5}, {'J01': 17}, 
40.0, {'J01': -73.8, 'top_mgr': 5}, {'J01': 6}, {'J01': 16}, 
45.0, {'J01': -65.0, 'top_mgr': 8}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -72.6, 'top_mgr': 4}, {'J01': 4}, {'J01': 14}, 
55.0, {'J01': -111.99999999999999, 'top_mgr': 2}, {'J01': 4}, {'J01': 20}, 
60.0, {'J01': -157.59999999999997, 'top_mgr': 1}, {'J01': 6}, {'J01': 29}, 
65.0, {'J01': -201.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 33}, 
70.0, {'J01': -241.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
75.0, {'J01': -219.2, 'top_mgr': 10}, {'J01': 6}, {'J01': 26}, 
80.0, {'J01': -179.79999999999998, 'top_mgr': 8}, {'J01': 5}, {'J01': 19}, 
85.0, {'J01': -212.4, 'top_mgr': 1}, {'J01': 5}, {'J01': 22}, 
90.0, {'J01': -261.79999999999995, 'top_mgr': 0}, {'J01': 7}, {'J01': 31}, 
95.0, {'J01': -292.0, 'top_mgr': 2}, {'J01': 7}, {'J01': 32}, 
100.0, {'J01': -336.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 32}, 
105.0, {'J01': -384.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 36}, 
110.0, {'J01': -394.4, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
115.0, {'J01': -428.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 36}, 
120.0, {'J01': -471.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 39}, 
125.0, {'J01': -513.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 41}, 
130.0, {'J01': -553.6, 'top_mgr': 0}, {'J01': 7}, {'J01': 41}, 
135.0, {'J01': -528.6, 'top_mgr': 5}, {'J01': 7}, {'J01': 37}, 
140.0, {'J01': -571.6000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
145.0, {'J01': -546.6, 'top_mgr': 7}, {'J01': 8}, {'J01': 38}, 
150.0, {'J01': -423.4, 'top_mgr': 6}, {'J01': 9}, {'J01': 35}, 
155.0, {'J01': -456.8, 'top_mgr': 1}, {'J01': 9}, {'J01': 39}, 
160.0, {'J01': -396.80000000000007, 'top_mgr': 7}, {'J01': 9}, {'J01': 39}, 
165.0, {'J01': -433.00000000000006, 'top_mgr': 2}, {'J01': 10}, {'J01': 40}, 
170.0, {'J01': -439.0, 'top_mgr': 7}, {'J01': 10}, {'J01': 38}, 
175.0, {'J01': -408.6, 'top_mgr': 6}, {'J01': 10}, {'J01': 36}, 
180.0, {'J01': -449.6, 'top_mgr': 0}, {'J01': 12}, {'J01': 41}, 
185.0, {'J01': -488.2, 'top_mgr': 0}, {'J01': 12}, {'J01': 43}, 
190.0, {'J01': -500.6, 'top_mgr': 2}, {'J01': 12}, {'J01': 41}, 
195.0, {'J01': -538.8, 'top_mgr': 0}, {'J01': 12}, {'J01': 43}, 
200.0, {'J01': -558.5999999999999, 'top_mgr': 1}, {'J01': 13}, {'J01': 47}, 
205.0, {'J01': -527.8, 'top_mgr': 7}, {'J01': 11}, {'J01': 42}, 
210.0, {'J01': -476.4, 'top_mgr': 12}, {'J01': 9}, {'J01': 30}, 
215.0, {'J01': -394.40000000000003, 'top_mgr': 9}, {'J01': 6}, {'J01': 25}, 
220.0, {'J01': -410.20000000000005, 'top_mgr': 3}, {'J01': 5}, {'J01': 23}, 
225.0, {'J01': -403.20000000000005, 'top_mgr': 5}, {'J01': 7}, {'J01': 27}, 
230.0, {'J01': -390.40000000000003, 'top_mgr': 2}, {'J01': 7}, {'J01': 35}, 
235.0, {'J01': -425.6000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 37}, 
240.0, {'J01': -449.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 37}, 
245.0, {'J01': -476.00000000000006, 'top_mgr': 2}, {'J01': 7}, {'J01': 38}, 
250.0, {'J01': -510.8000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
255.0, {'J01': -548.8000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
260.0, {'J01': -585.8, 'top_mgr': 0}, {'J01': 9}, {'J01': 41}, 
265.0, {'J01': -623.0, 'top_mgr': 0}, {'J01': 9}, {'J01': 42}, 
270.0, {'J01': -533.2000000000002, 'top_mgr': 12}, {'J01': 6}, {'J01': 31}, 
275.0, {'J01': -266.6, 'top_mgr': 14}, {'J01': 4}, {'J01': 17}, 
280.0, {'J01': -239.8, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
285.0, {'J01': -242.60000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 9}, 
290.0, {'J01': -172.60000000000002, 'top_mgr': 4}, {'J01': 4}, {'J01': 12}, 
295.0, {'J01': -181.8, 'top_mgr': 7}, {'J01': 4}, {'J01': 9}, 
300.0, {'J01': -205.0, 'top_mgr': 4}, {'J01': 4}, {'J01': 13}, 
305.0, {'J01': -213.8, 'top_mgr': 5}, {'J01': 4}, {'J01': 9}, 
310.0, {'J01': -241.40000000000003, 'top_mgr': 3}, {'J01': 4}, {'J01': 15}, 
315.0, {'J01': -190.40000000000003, 'top_mgr': 5}, {'J01': 4}, {'J01': 22}, 
320.0, {'J01': -233.00000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 31}, 
325.0, {'J01': -257.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 29}, 
330.0, {'J01': -280.00000000000006, 'top_mgr': 2}, {'J01': 7}, {'J01': 30}, 
335.0, {'J01': -319.00000000000006, 'top_mgr': 2}, {'J01': 7}, {'J01': 33}, 
340.0, {'J01': -356.0000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 34}, 
345.0, {'J01': -342.4, 'top_mgr': 9}, {'J01': 6}, {'J01': 25}, 
350.0, {'J01': -226.8, 'top_mgr': 8}, {'J01': 5}, {'J01': 19}, 
355.0, {'J01': -262.8, 'top_mgr': 0}, {'J01': 5}, {'J01': 23}, 
360.0, {'J01': -244.00000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 26}, 
365.0, {'J01': -208.60000000000002, 'top_mgr': 1}, {'J01': 7}, {'J01': 28}, 
370.0, {'J01': -243.20000000000002, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
375.0, {'J01': -239.2, 'top_mgr': 3}, {'J01': 7}, {'J01': 31}, 
380.0, {'J01': -266.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 31}, 
385.0, {'J01': -244.2, 'top_mgr': 9}, {'J01': 6}, {'J01': 26}, 
390.0, {'J01': -192.8, 'top_mgr': 10}, {'J01': 4}, {'J01': 21}, 
395.0, {'J01': -204.60000000000005, 'top_mgr': 6}, {'J01': 4}, {'J01': 20}, 
400.0, {'J01': -164.0, 'top_mgr': 7}, {'J01': 4}, {'J01': 16}, 
405.0, {'J01': -199.2, 'top_mgr': 1}, {'J01': 4}, {'J01': 18}, 
410.0, {'J01': -203.39999999999998, 'top_mgr': 6}, {'J01': 4}, {'J01': 23}, 
415.0, {'J01': -198.39999999999998, 'top_mgr': 4}, {'J01': 7}, {'J01': 28}, 
420.0, {'J01': -176.99999999999997, 'top_mgr': 4}, {'J01': 7}, {'J01': 29}, 
425.0, {'J01': -207.79999999999998, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
430.0, {'J01': -245.79999999999998, 'top_mgr': 1}, {'J01': 7}, {'J01': 34}, 
435.0, {'J01': -267.59999999999997, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
440.0, {'J01': -304.00000000000006, 'top_mgr': 1}, {'J01': 7}, {'J01': 34}, 
445.0, {'J01': -323.20000000000005, 'top_mgr': 3}, {'J01': 7}, {'J01': 33}, 
450.0, {'J01': -347.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 37}, 
455.0, {'J01': -353.6, 'top_mgr': 8}, {'J01': 6}, {'J01': 33}, 
460.0, {'J01': -388.99999999999994, 'top_mgr': 3}, {'J01': 6}, {'J01': 31}, 
465.0, {'J01': -364.79999999999995, 'top_mgr': 2}, {'J01': 7}, {'J01': 33}, 
470.0, {'J01': -403.80000000000007, 'top_mgr': 2}, {'J01': 8}, {'J01': 36}, 
475.0, {'J01': -443.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
480.0, {'J01': -351.20000000000005, 'top_mgr': 11}, {'J01': 6}, {'J01': 27}, 
485.0, {'J01': -323.6, 'top_mgr': 7}, {'J01': 5}, {'J01': 25}, 
490.0, {'J01': -365.8, 'top_mgr': 2}, {'J01': 5}, {'J01': 28}, 
495.0, {'J01': -409.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 32}, 
500.0, {'J01': -406.20000000000005, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
505.0, {'J01': -357.8, 'top_mgr': 4}, {'J01': 7}, {'J01': 31}, 
510.0, {'J01': -387.40000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
515.0, {'J01': -373.4, 'top_mgr': 3}, {'J01': 7}, {'J01': 31}, 
520.0, {'J01': -407.99999999999994, 'top_mgr': 1}, {'J01': 7}, {'J01': 35}, 
525.0, {'J01': -434.8, 'top_mgr': 5}, {'J01': 7}, {'J01': 35}, 
530.0, {'J01': -472.6, 'top_mgr': 1}, {'J01': 9}, {'J01': 40}, 
535.0, {'J01': -519.6, 'top_mgr': 0}, {'J01': 10}, {'J01': 46}, 
540.0, {'J01': -535.0, 'top_mgr': 4}, {'J01': 10}, {'J01': 43}, 
545.0, {'J01': -572.0, 'top_mgr': 1}, {'J01': 10}, {'J01': 44}, 
550.0, {'J01': -592.8000000000001, 'top_mgr': 2}, {'J01': 10}, {'J01': 42}, 
555.0, {'J01': -602.6, 'top_mgr': 4}, {'J01': 10}, {'J01': 42}, 
560.0, {'J01': -644.4, 'top_mgr': 0}, {'J01': 10}, {'J01': 47}, 
565.0, {'J01': -589.0, 'top_mgr': 9}, {'J01': 8}, {'J01': 38}, 
570.0, {'J01': -597.1999999999999, 'top_mgr': 3}, {'J01': 8}, {'J01': 36}, 
575.0, {'J01': -454.80000000000007, 'top_mgr': 10}, {'J01': 6}, {'J01': 28}, 
580.0, {'J01': -340.0, 'top_mgr': 15}, {'J01': 4}, {'J01': 18}, 
585.0, {'J01': -266.0, 'top_mgr': 6}, {'J01': 4}, {'J01': 18}, 
590.0, {'J01': -210.60000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 11}, 
595.0, {'J01': -157.79999999999998, 'top_mgr': 7}, {'J01': 4}, {'J01': 15}, 
600.0, {'J01': -167.20000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 11}, 
605.0, {'J01': -189.60000000000002, 'top_mgr': 15}, {'J01': 4}, {'J01': 12}, 
610.0, {'J01': -209.2, 'top_mgr': 5}, {'J01': 3}, {'J01': 14}, 
615.0, {'J01': -254.79999999999998, 'top_mgr': 1}, {'J01': 4}, {'J01': 23}, 
620.0, {'J01': -306.8, 'top_mgr': 0}, {'J01': 6}, {'J01': 31}, 
625.0, {'J01': -328.8, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
630.0, {'J01': -380.8, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
635.0, {'J01': -382.6, 'top_mgr': 3}, {'J01': 7}, {'J01': 37}, 
640.0, {'J01': -282.0, 'top_mgr': 6}, {'J01': 7}, {'J01': 34}, 
645.0, {'J01': -320.0, 'top_mgr': 1}, {'J01': 7}, {'J01': 35}, 
650.0, {'J01': -354.2, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
655.0, {'J01': -379.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 35}, 
660.0, {'J01': -378.8, 'top_mgr': 8}, {'J01': 7}, {'J01': 32}, 
665.0, {'J01': -418.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 34}, 
670.0, {'J01': -392.20000000000005, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
675.0, {'J01': -429.20000000000005, 'top_mgr': 4}, {'J01': 8}, {'J01': 34}, 
680.0, {'J01': -473.8, 'top_mgr': 2}, {'J01': 9}, {'J01': 41}, 
685.0, {'J01': -460.6, 'top_mgr': 7}, {'J01': 9}, {'J01': 38}, 
