5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-0.035714287)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-0.12723215)}, {'J8': 1}, {'J8': 3}, 
30.0, {'J8': np.float32(-0.2767857)}, {'J8': 3}, {'J8': 5}, 
35.0, {'J8': np.float32(-0.3705357)}, {'J8': 4}, {'J8': 5}, 
40.0, {'J8': np.float32(-0.6004464)}, {'J8': 4}, {'J8': 6}, 
45.0, {'J8': np.float32(-0.87053573)}, {'J8': 4}, {'J8': 7}, 
50.0, {'J8': np.float32(-0.97321427)}, {'J8': 3}, {'J8': 7}, 
55.0, {'J8': np.float32(-1.0825893)}, {'J8': 5}, {'J8': 8}, 
60.0, {'J8': np.float32(-1.15625)}, {'J8': 5}, {'J8': 9}, 
65.0, {'J8': np.float32(-1.3102678)}, {'J8': 6}, {'J8': 11}, 
70.0, {'J8': np.float32(-1.9107143)}, {'J8': 7}, {'J8': 15}, 
75.0, {'J8': np.float32(-2.502232)}, {'J8': 8}, {'J8': 15}, 
80.0, {'J8': np.float32(-2.8973215)}, {'J8': 7}, {'J8': 13}, 
85.0, {'J8': np.float32(-3.4888394)}, {'J8': 7}, {'J8': 15}, 
90.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 15}, 
95.0, {'J8': np.float32(-4.0)}, {'J8': 8}, {'J8': 14}, 
100.0, {'J8': np.float32(-4.0)}, {'J8': 6}, {'J8': 14}, 
105.0, {'J8': np.float32(-3.5535715)}, {'J8': 5}, {'J8': 12}, 
110.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
115.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 11}, 
120.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
125.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 13}, 
130.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
135.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
140.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
145.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
150.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
155.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 15}, 
160.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 14}, 
165.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
170.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 15}, 
175.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 12}, 
180.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 13}, 
185.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 15}, 
190.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 13}, 
195.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 13}, 
200.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
205.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
210.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 14}, 
215.0, {'J8': np.float32(-4.0)}, {'J8': 6}, {'J8': 13}, 
220.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 14}, 
225.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 13}, 
230.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 11}, 
235.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 10}, 
240.0, {'J8': np.float32(-4.0)}, {'J8': 6}, {'J8': 12}, 
245.0, {'J8': np.float32(-4.0)}, {'J8': 6}, {'J8': 11}, 
250.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 13}, 
255.0, {'J8': np.float32(-4.0)}, {'J8': 7}, {'J8': 16}, 
260.0, {'J8': np.float32(-4.0)}, {'J8': 6}, {'J8': 15}, 
265.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 14}, 
270.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 14}, 
275.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 13}, 
280.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
285.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 11}, 
