5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -10.5}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -42.0}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -89.0}, {'J01': 2}, {'J01': 7}, 
35.0, {'J01': -168.5}, {'J01': 4}, {'J01': 11}, 
40.0, {'J01': -271.0}, {'J01': 4}, {'J01': 13}, 
45.0, {'J01': -409.0}, {'J01': 4}, {'J01': 17}, 
50.0, {'J01': -577.0}, {'J01': 6}, {'J01': 19}, 
55.0, {'J01': -779.5}, {'J01': 6}, {'J01': 24}, 
60.0, {'J01': -1032.0}, {'J01': 8}, {'J01': 29}, 
65.0, {'J01': -1336.5}, {'J01': 8}, {'J01': 33}, 
70.0, {'J01': -1668.5}, {'J01': 8}, {'J01': 35}, 
75.0, {'J01': -2022.0}, {'J01': 8}, {'J01': 36}, 
80.0, {'J01': -2389.5}, {'J01': 8}, {'J01': 38}, 
85.0, {'J01': -2774.5}, {'J01': 8}, {'J01': 39}, 
90.0, {'J01': -3168.0}, {'J01': 8}, {'J01': 40}, 
95.0, {'J01': -3570.5}, {'J01': 8}, {'J01': 42}, 
100.0, {'J01': -3997.5}, {'J01': 8}, {'J01': 44}, 
105.0, {'J01': -4438.5}, {'J01': 8}, {'J01': 45}, 
110.0, {'J01': -3421.0}, {'J01': 6}, {'J01': 34}, 
115.0, {'J01': -3507.5}, {'J01': 6}, {'J01': 33}, 
120.0, {'J01': -2722.0}, {'J01': 4}, {'J01': 25}, 
125.0, {'J01': -2349.5}, {'J01': 4}, {'J01': 22}, 
130.0, {'J01': -2009.5}, {'J01': 4}, {'J01': 18}, 
135.0, {'J01': -2191.5}, {'J01': 4}, {'J01': 20}, 
140.0, {'J01': -2398.5}, {'J01': 5}, {'J01': 22}, 
145.0, {'J01': -2620.5}, {'J01': 5}, {'J01': 23}, 
150.0, {'J01': -2856.0}, {'J01': 5}, {'J01': 26}, 
155.0, {'J01': -3116.0}, {'J01': 5}, {'J01': 26}, 
160.0, {'J01': -3376.5}, {'J01': 6}, {'J01': 27}, 
165.0, {'J01': -3648.0}, {'J01': 6}, {'J01': 28}, 
170.0, {'J01': -3933.0}, {'J01': 7}, {'J01': 30}, 
175.0, {'J01': -4237.5}, {'J01': 8}, {'J01': 31}, 
180.0, {'J01': -3293.0}, {'J01': 7}, {'J01': 27}, 
185.0, {'J01': -2876.5}, {'J01': 7}, {'J01': 24}, 
190.0, {'J01': -2901.5}, {'J01': 7}, {'J01': 22}, 
195.0, {'J01': -3078.5}, {'J01': 7}, {'J01': 23}, 
200.0, {'J01': -3308.5}, {'J01': 7}, {'J01': 23}, 
205.0, {'J01': -3543.5}, {'J01': 8}, {'J01': 24}, 
210.0, {'J01': -3783.5}, {'J01': 8}, {'J01': 24}, 
215.0, {'J01': -4023.5}, {'J01': 8}, {'J01': 24}, 
220.0, {'J01': -4271.5}, {'J01': 8}, {'J01': 27}, 
225.0, {'J01': -4529.0}, {'J01': 8}, {'J01': 27}, 
230.0, {'J01': -4766.5}, {'J01': 8}, {'J01': 25}, 
235.0, {'J01': -5016.5}, {'J01': 8}, {'J01': 25}, 
240.0, {'J01': -5266.5}, {'J01': 8}, {'J01': 25}, 
245.0, {'J01': -4672.0}, {'J01': 8}, {'J01': 21}, 
250.0, {'J01': -4877.5}, {'J01': 9}, {'J01': 24}, 
255.0, {'J01': -5095.0}, {'J01': 9}, {'J01': 24}, 
260.0, {'J01': -5338.5}, {'J01': 9}, {'J01': 25}, 
265.0, {'J01': -5588.5}, {'J01': 9}, {'J01': 25}, 
270.0, {'J01': -5839.0}, {'J01': 9}, {'J01': 26}, 
275.0, {'J01': -6108.5}, {'J01': 9}, {'J01': 29}, 
280.0, {'J01': -6402.5}, {'J01': 9}, {'J01': 31}, 
285.0, {'J01': -6715.5}, {'J01': 9}, {'J01': 32}, 
290.0, {'J01': -6943.5}, {'J01': 9}, {'J01': 31}, 
295.0, {'J01': -7234.5}, {'J01': 10}, {'J01': 32}, 
