5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.026785715)}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': np.float32(-0.16071428)}, {'J01': 4}, {'J01': 6}, 
25.0, {'J01': np.float32(-0.37276787)}, {'J01': 4}, {'J01': 5}, 
30.0, {'J01': np.float32(-0.59598213)}, {'J01': 4}, {'J01': 5}, 
35.0, {'J01': np.float32(-0.84375)}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': np.float32(-1.1495535)}, {'J01': 4}, {'J01': 9}, 
45.0, {'J01': np.float32(-1.46875)}, {'J01': 4}, {'J01': 9}, 
50.0, {'J01': np.float32(-1.0379465)}, {'J01': 3}, {'J01': 8}, 
55.0, {'J01': np.float32(-0.921875)}, {'J01': 3}, {'J01': 10}, 
60.0, {'J01': np.float32(-1.015625)}, {'J01': 3}, {'J01': 13}, 
65.0, {'J01': np.float32(-1.0625)}, {'J01': 3}, {'J01': 16}, 
70.0, {'J01': np.float32(-1.8928572)}, {'J01': 5}, {'J01': 24}, 
75.0, {'J01': np.float32(-2.814732)}, {'J01': 6}, {'J01': 26}, 
80.0, {'J01': np.float32(-3.890625)}, {'J01': 7}, {'J01': 29}, 
85.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
90.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 28}, 
95.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 28}, 
100.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 36}, 
105.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 26}, 
115.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 32}, 
120.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 37}, 
125.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
130.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 19}, 
135.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 20}, 
