episode,decision,feature,count,mean,std,min,max,p05,p95,nan_count,inf_count,zero_frac
1,1,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,1,approach,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,1,total_wait,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,1,queue,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,1,total_speed,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,2,approach,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,total_wait,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,queue,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,total_speed,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,3,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,3,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,3,total_wait,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,3,queue,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,3,total_speed,10,0.004762238822877407,0.014277605339884758,0.0,0.04759505018591881,0.0,0.02618958055973053,0,0,0.8
1,4,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,4,approach,10,0.01071428693830967,0.02286830171942711,0.0,0.0714285746216774,0.0,0.05535714328289032,0,0,0.8
1,4,total_wait,10,0.03928571194410324,0.11785714328289032,0.0,0.3928571343421936,0.0,0.21607142686843872,0,0,0.9
1,4,queue,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,4,total_speed,10,0.005036987364292145,0.01443424355238676,0.0,0.0483001284301281,0.0,0.02749645709991455,0,0,0.8
1,5,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,5,approach,10,0.01428571529686451,0.02857143245637417,0.0,0.0714285746216774,0.0,0.0714285746216774,0,0,0.8
1,5,total_wait,10,0.08392857015132904,0.2236139178276062,0.0,0.75,0.0,0.4526785910129547,0,0,0.8
1,5,queue,10,0.007142857648432255,0.014285716228187084,0.0,0.0357142873108387,0.0,0.0357142873108387,0,0,0.8
1,5,total_speed,10,0.005835694260895252,0.014356803148984909,0.0,0.04787291958928108,0.0,0.031047916039824486,0,0,0.8
1,6,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,6,approach,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,6,total_wait,10,0.17321428656578064,0.3628165125846863,0.0,1.1071428060531616,0.0,0.8901785612106323,0,0,0.8
1,6,queue,10,0.01428571529686451,0.032732684165239334,0.0,0.1071428582072258,0.0,0.07500000298023224,0,0,0.8
1,6,total_speed,10,0.0018827123567461967,0.005621619988232851,0.0,0.018747422844171524,0.0,0.01034694816917181,0,0,0.8
1,7,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,7,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,7,total_wait,10,0.31607142090797424,0.6342705488204956,0.0,1.6964285373687744,0.0,1.5919642448425293,0,0,0.8
1,7,queue,10,0.01428571529686451,0.032732684165239334,0.0,0.1071428582072258,0.0,0.07500000298023224,0,0,0.8
1,7,total_speed,10,0.004008366726338863,0.012025007978081703,0.0,0.0400833897292614,0.0,0.022045988589525223,0,0,0.8
1,8,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,8,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,8,total_wait,10,0.4625000059604645,0.9507129788398743,0.0,2.8035714626312256,0.0,2.361607074737549,0,0,0.8
1,8,queue,10,0.01785714365541935,0.043005697429180145,0.0,0.1428571492433548,0.0,0.09464286267757416,0,0,0.8
1,8,total_speed,10,0.004119114018976688,0.01232902705669403,0.0,0.04110611602663994,0.0,0.022646626457571983,0,0,0.8
1,9,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,9,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,9,total_wait,10,0.6410714387893677,1.3618913888931274,0.0,4.232142925262451,0.0,3.3080358505249023,0,0,0.8
1,9,queue,10,0.01785714365541935,0.043005697429180145,0.0,0.1428571492433548,0.0,0.09464286267757416,0,0,0.8
1,9,total_speed,10,0.004356297664344311,0.013068804517388344,0.0,0.043562714010477066,0.0,0.023959612473845482,0,0,0.8
1,10,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,10,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,10,total_wait,10,0.8196428418159485,1.7820041179656982,0.0,5.660714149475098,0.0,4.254464149475098,0,0,0.8
1,10,queue,10,0.01785714365541935,0.043005697429180145,0.0,0.1428571492433548,0.0,0.09464286267757416,0,0,0.8
1,10,total_speed,10,0.0043942369520664215,0.013182710856199265,0.0,0.043942369520664215,0.0,0.02416830323636532,0,0,0.9
1,11,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,11,approach,10,0.01428571529686451,0.02857143245637417,0.0,0.0714285746216774,0.0,0.0714285746216774,0,0,0.8
1,11,total_wait,10,0.9982143640518188,2.2059528827667236,0.0,7.089285850524902,0.0,5.200892925262451,0,0,0.8
1,11,queue,10,0.01785714365541935,0.043005697429180145,0.0,0.1428571492433548,0.0,0.09464286267757416,0,0,0.8
1,11,total_speed,10,0.005087662022560835,0.013448623940348625,0.0,0.04510151222348213,0.0,0.027404630556702614,0,0,0.8
1,12,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,12,approach,10,0.007142857648432255,0.014285716228187084,0.0,0.0357142873108387,0.0,0.0357142873108387,0,0,0.8
1,12,total_wait,10,1.1964285373687744,2.647968053817749,0.0,8.517857551574707,0.0,6.235714435577393,0,0,0.8
1,12,queue,10,0.02500000037252903,0.050633739680051804,0.0,0.1428571492433548,0.0,0.12678572535514832,0,0,0.8
1,12,total_speed,10,0.0021794154308736324,0.006324665155261755,0.0,0.021144511178135872,0.0,0.011921820230782032,0,0,0.8
1,13,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,13,approach,10,0.010714286006987095,0.03214285895228386,0.0,0.1071428582072258,0.0,0.05892857164144516,0,0,0.9
1,13,total_wait,10,1.1660714149475098,2.3900842666625977,0.0,7.0,0.0,5.94732141494751,0,0,0.8
1,13,queue,10,0.02500000037252903,0.050633739680051804,0.0,0.1428571492433548,0.0,0.12678572535514832,0,0,0.8
1,13,total_speed,10,0.005569238681346178,0.012463612481951714,0.0,0.04035309702157974,0.0,0.02909562736749649,0,0,0.7
1,14,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,14,approach,10,0.01428571529686451,0.032732684165239334,0.0,0.1071428582072258,0.0,0.07500000298023224,0,0,0.8
1,14,total_wait,10,1.1160714626312256,2.2437164783477783,0.0,6.089285850524902,0.0,5.631250381469727,0,0,0.8
1,14,queue,10,0.02142857387661934,0.04573660343885422,0.0,0.1428571492433548,0.0,0.11071428656578064,0,0,0.8
1,14,total_speed,10,0.005775502882897854,0.015958605334162712,0.0,0.05349979177117348,0.0,0.03133974224328995,0,0,0.8
1,15,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,15,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,15,total_wait,10,1.3392856121063232,2.7036445140838623,0.0,7.517857074737549,0.0,6.778571605682373,0,0,0.8
1,15,queue,10,0.02857143059372902,0.05714286491274834,0.0,0.1428571492433548,0.0,0.1428571492433548,0,0,0.8
1,15,total_speed,10,0.004498193506151438,0.013429679907858372,0.0,0.044786855578422546,0.0,0.024720557034015656,0,0,0.8
1,16,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,16,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,16,total_wait,10,1.625,3.270695447921753,0.0,8.946428298950195,0.0,8.20714282989502,0,0,0.8
1,16,queue,10,0.02857143059372902,0.05714286491274834,0.0,0.1428571492433548,0.0,0.1428571492433548,0,0,0.8
1,16,total_speed,10,0.004576719366014004,0.013729619793593884,0.0,0.045765578746795654,0.0,0.0251717958599329,0,0,0.8
1,17,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,17,approach,10,0.007142857648432255,0.02142857387661934,0.0,0.0714285746216774,0.0,0.03928571566939354,0,0,0.9
1,17,total_wait,10,1.9107143878936768,3.8390450477600098,0.0,10.375,0.0,9.635714530944824,0,0,0.8
1,17,queue,10,0.02857143059372902,0.05714286491274834,0.0,0.1428571492433548,0.0,0.1428571492433548,0,0,0.8
1,17,total_speed,10,0.00435616634786129,0.01306849904358387,0.0,0.0435616634786129,0.0,0.02395891584455967,0,0,0.9
1,18,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,18,approach,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,18,total_wait,10,2.1964287757873535,4.408190727233887,0.0,11.803571701049805,0.0,11.064286231994629,0,0,0.8
1,18,queue,10,0.02857143059372902,0.05714286491274834,0.0,0.1428571492433548,0.0,0.1428571492433548,0,0,0.8
1,18,total_speed,10,0.0023301036562770605,0.006990310736000538,0.0,0.023301037028431892,0.0,0.012815570458769798,0,0,0.9
1,19,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,19,approach,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,19,total_wait,10,2.482142925262451,4.9778594970703125,0.0,13.232142448425293,0.0,12.492856979370117,0,0,0.8
1,19,queue,10,0.02857143059372902,0.05714286491274834,0.0,0.1428571492433548,0.0,0.1428571492433548,0,0,0.8
1,19,total_speed,10,0.002235266612842679,0.006705799605697393,0.0,0.022352665662765503,0.0,0.012293966487050056,0,0,0.9
1,20,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,20,approach,10,0.007142857648432255,0.014285716228187084,0.0,0.0357142873108387,0.0,0.0357142873108387,0,0,0.8
1,20,total_wait,10,2.767857074737549,5.547889232635498,0.0,14.660714149475098,0.0,13.921428680419922,0,0,0.8
1,20,queue,10,0.02857143059372902,0.05714286491274834,0.0,0.1428571492433548,0.0,0.1428571492433548,0,0,0.8
1,20,total_speed,10,0.0024415485095232725,0.007149543613195419,0.0,0.023884927853941917,0.0,0.013375461101531982,0,0,0.8
1,21,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,21,approach,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,21,total_wait,10,3.0696427822113037,6.152517795562744,0.0,16.25,0.0,15.438392639160156,0,0,0.8
1,21,queue,10,0.03214285895228386,0.0647798478603363,0.0,0.1785714328289032,0.0,0.16250000894069672,0,0,0.8
1,21,total_speed,10,0.00238300790078938,0.007148482836782932,0.0,0.023828456178307533,0.0,0.01310638152062893,0,0,0.8
1,22,phase,10,0.10000000149011612,0.29999998211860657,0.0,1.0,0.0,0.550000011920929,0,0,0.9
1,22,approach,10,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.01964285783469677,0,0,0.9
1,22,total_wait,10,3.391071319580078,6.799330711364746,0.0,18.035715103149414,0.0,17.063392639160156,0,0,0.8
1,22,queue,10,0.03214285895228386,0.0647798478603363,0.0,0.1785714328289032,0.0,0.16250000894069672,0,0,0.8
