5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': np.float32(-0.021276595)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.036077704)}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': np.float32(-0.7063996)}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': np.float32(0.5315615)}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': np.float32(-0.47993433)}, {'J01': 3}, {'J01': 11}, 
45.0, {'J01': np.float32(-1.2185347)}, {'J01': 2}, {'J01': 7}, 
50.0, {'J01': np.float32(1.4838529)}, {'J01': 2}, {'J01': 11}, 
55.0, {'J01': np.float32(-0.8360448)}, {'J01': 3}, {'J01': 21}, 
60.0, {'J01': np.float32(-1.994998)}, {'J01': 4}, {'J01': 20}, 
65.0, {'J01': np.float32(2.2789564)}, {'J01': 3}, {'J01': 18}, 
70.0, {'J01': np.float32(-0.62804586)}, {'J01': 4}, {'J01': 21}, 
75.0, {'J01': np.float32(-1.0547261)}, {'J01': 5}, {'J01': 23}, 
80.0, {'J01': np.float32(0.6688704)}, {'J01': 6}, {'J01': 25}, 
85.0, {'J01': np.float32(0.045461055)}, {'J01': 7}, {'J01': 31}, 
90.0, {'J01': np.float32(-2.3934774)}, {'J01': 7}, {'J01': 36}, 
95.0, {'J01': np.float32(1.3118836)}, {'J01': 8}, {'J01': 39}, 
100.0, {'J01': np.float32(-1.3674666)}, {'J01': 8}, {'J01': 38}, 
105.0, {'J01': np.float32(-1.1136836)}, {'J01': 8}, {'J01': 36}, 
110.0, {'J01': np.float32(0.9581233)}, {'J01': 7}, {'J01': 32}, 
115.0, {'J01': np.float32(-1.5379739)}, {'J01': 7}, {'J01': 37}, 
120.0, {'J01': np.float32(-2.9451196)}, {'J01': 7}, {'J01': 38}, 
125.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 43}, 
130.0, {'J01': np.float32(-2.58525)}, {'J01': 8}, {'J01': 49}, 
135.0, {'J01': np.float32(1.4278986)}, {'J01': 8}, {'J01': 49}, 
140.0, {'J01': np.float32(-0.7245781)}, {'J01': 8}, {'J01': 50}, 
145.0, {'J01': np.float32(-3.0)}, {'J01': 9}, {'J01': 52}, 
150.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 52}, 
155.0, {'J01': np.float32(3.0)}, {'J01': 10}, {'J01': 46}, 
160.0, {'J01': np.float32(-0.3006803)}, {'J01': 11}, {'J01': 44}, 
165.0, {'J01': np.float32(-3.0)}, {'J01': 13}, {'J01': 46}, 
170.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 46}, 
175.0, {'J01': np.float32(-0.48270082)}, {'J01': 14}, {'J01': 44}, 
180.0, {'J01': np.float32(-3.0)}, {'J01': 16}, {'J01': 43}, 
185.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 36}, 
190.0, {'J01': np.float32(-0.46598244)}, {'J01': 13}, {'J01': 38}, 
195.0, {'J01': np.float32(-2.8362563)}, {'J01': 13}, {'J01': 39}, 
200.0, {'J01': np.float32(2.1835082)}, {'J01': 15}, {'J01': 44}, 
205.0, {'J01': np.float32(-0.6571728)}, {'J01': 15}, {'J01': 46}, 
210.0, {'J01': np.float32(-2.0575302)}, {'J01': 15}, {'J01': 49}, 
215.0, {'J01': np.float32(-2.9617918)}, {'J01': 16}, {'J01': 52}, 
220.0, {'J01': np.float32(3.0)}, {'J01': 17}, {'J01': 49}, 
225.0, {'J01': np.float32(-0.82360774)}, {'J01': 17}, {'J01': 50}, 
230.0, {'J01': np.float32(-2.9696777)}, {'J01': 17}, {'J01': 52}, 
235.0, {'J01': np.float32(2.182049)}, {'J01': 17}, {'J01': 46}, 
240.0, {'J01': np.float32(0.21060361)}, {'J01': 17}, {'J01': 46}, 
245.0, {'J01': np.float32(-2.7946203)}, {'J01': 17}, {'J01': 50}, 
250.0, {'J01': np.float32(-2.9870625)}, {'J01': 18}, {'J01': 58}, 
255.0, {'J01': np.float32(-0.8526728)}, {'J01': 17}, {'J01': 53}, 
260.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 49}, 
265.0, {'J01': np.float32(-0.6266016)}, {'J01': 13}, {'J01': 51}, 
270.0, {'J01': np.float32(2.4972496)}, {'J01': 9}, {'J01': 39}, 
275.0, {'J01': np.float32(0.45276633)}, {'J01': 7}, {'J01': 29}, 
280.0, {'J01': np.float32(3.0)}, {'J01': 5}, {'J01': 25}, 
285.0, {'J01': np.float32(-0.493563)}, {'J01': 5}, {'J01': 29}, 
290.0, {'J01': np.float32(-0.3425113)}, {'J01': 8}, {'J01': 38}, 
295.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 44}, 
300.0, {'J01': np.float32(-0.6388175)}, {'J01': 11}, {'J01': 48}, 
305.0, {'J01': np.float32(-3.0)}, {'J01': 11}, {'J01': 45}, 
310.0, {'J01': np.float32(3.0)}, {'J01': 11}, {'J01': 44}, 
315.0, {'J01': np.float32(-1.9853741)}, {'J01': 12}, {'J01': 46}, 
320.0, {'J01': np.float32(-2.2282603)}, {'J01': 14}, {'J01': 47}, 
325.0, {'J01': np.float32(3.0)}, {'J01': 14}, {'J01': 43}, 
330.0, {'J01': np.float32(0.36282814)}, {'J01': 16}, {'J01': 42}, 
335.0, {'J01': np.float32(-0.5506216)}, {'J01': 16}, {'J01': 41}, 
340.0, {'J01': np.float32(-1.0141078)}, {'J01': 18}, {'J01': 44}, 
345.0, {'J01': np.float32(-3.0)}, {'J01': 18}, {'J01': 46}, 
350.0, {'J01': np.float32(1.8968714)}, {'J01': 18}, {'J01': 44}, 
355.0, {'J01': np.float32(-0.3851049)}, {'J01': 18}, {'J01': 44}, 
360.0, {'J01': np.float32(-2.6384125)}, {'J01': 19}, {'J01': 42}, 
365.0, {'J01': np.float32(3.0)}, {'J01': 20}, {'J01': 41}, 
370.0, {'J01': np.float32(-0.68491507)}, {'J01': 20}, {'J01': 44}, 
375.0, {'J01': np.float32(-1.8720664)}, {'J01': 20}, {'J01': 44}, 
380.0, {'J01': np.float32(1.4395347)}, {'J01': 20}, {'J01': 44}, 
385.0, {'J01': np.float32(-1.5792943)}, {'J01': 21}, {'J01': 45}, 
390.0, {'J01': np.float32(0.36090472)}, {'J01': 21}, {'J01': 47}, 
395.0, {'J01': np.float32(-0.7254603)}, {'J01': 21}, {'J01': 50}, 
400.0, {'J01': np.float32(-0.63024586)}, {'J01': 22}, {'J01': 50}, 
405.0, {'J01': np.float32(-0.8126052)}, {'J01': 24}, {'J01': 52}, 
410.0, {'J01': np.float32(-1.094719)}, {'J01': 25}, {'J01': 49}, 
415.0, {'J01': np.float32(-0.6684123)}, {'J01': 23}, {'J01': 41}, 
420.0, {'J01': np.float32(3.0)}, {'J01': 20}, {'J01': 39}, 
425.0, {'J01': np.float32(-2.0186484)}, {'J01': 20}, {'J01': 43}, 
430.0, {'J01': np.float32(-1.7129155)}, {'J01': 20}, {'J01': 52}, 
435.0, {'J01': np.float32(1.8612497)}, {'J01': 20}, {'J01': 56}, 
440.0, {'J01': np.float32(-1.6627991)}, {'J01': 20}, {'J01': 57}, 
445.0, {'J01': np.float32(-3.0)}, {'J01': 21}, {'J01': 56}, 
450.0, {'J01': np.float32(3.0)}, {'J01': 23}, {'J01': 55}, 
455.0, {'J01': np.float32(-0.63408846)}, {'J01': 23}, {'J01': 57}, 
460.0, {'J01': np.float32(-3.0)}, {'J01': 25}, {'J01': 60}, 
465.0, {'J01': np.float32(3.0)}, {'J01': 25}, {'J01': 60}, 
470.0, {'J01': np.float32(-1.2350594)}, {'J01': 26}, {'J01': 61}, 
475.0, {'J01': np.float32(-3.0)}, {'J01': 26}, {'J01': 61}, 
480.0, {'J01': np.float32(3.0)}, {'J01': 26}, {'J01': 59}, 
485.0, {'J01': np.float32(-0.8507297)}, {'J01': 27}, {'J01': 60}, 
490.0, {'J01': np.float32(-3.0)}, {'J01': 28}, {'J01': 59}, 
495.0, {'J01': np.float32(2.5430143)}, {'J01': 30}, {'J01': 60}, 
500.0, {'J01': np.float32(0.09271045)}, {'J01': 30}, {'J01': 62}, 
505.0, {'J01': np.float32(-1.7372534)}, {'J01': 30}, {'J01': 59}, 
510.0, {'J01': np.float32(2.8529053)}, {'J01': 32}, {'J01': 61}, 
515.0, {'J01': np.float32(-1.5608127)}, {'J01': 33}, {'J01': 65}, 
520.0, {'J01': np.float32(-1.4843959)}, {'J01': 33}, {'J01': 64}, 
525.0, {'J01': np.float32(1.6146278)}, {'J01': 33}, {'J01': 61}, 
530.0, {'J01': np.float32(-1.2086406)}, {'J01': 34}, {'J01': 66}, 
535.0, {'J01': np.float32(-2.8973904)}, {'J01': 34}, {'J01': 71}, 
540.0, {'J01': np.float32(0.23925966)}, {'J01': 35}, {'J01': 73}, 
545.0, {'J01': np.float32(0.32887697)}, {'J01': 35}, {'J01': 74}, 
550.0, {'J01': np.float32(0.41891748)}, {'J01': 32}, {'J01': 66}, 
555.0, {'J01': np.float32(1.6649557)}, {'J01': 30}, {'J01': 60}, 
560.0, {'J01': np.float32(-1.2906269)}, {'J01': 31}, {'J01': 63}, 
565.0, {'J01': np.float32(-3.0)}, {'J01': 31}, {'J01': 67}, 
570.0, {'J01': np.float32(3.0)}, {'J01': 31}, {'J01': 72}, 
575.0, {'J01': np.float32(-2.5637987)}, {'J01': 31}, {'J01': 74}, 
580.0, {'J01': np.float32(-0.34479564)}, {'J01': 30}, {'J01': 68}, 
585.0, {'J01': np.float32(1.4188304)}, {'J01': 26}, {'J01': 53}, 
590.0, {'J01': np.float32(-2.2742655)}, {'J01': 22}, {'J01': 42}, 
595.0, {'J01': np.float32(3.0)}, {'J01': 20}, {'J01': 39}, 
600.0, {'J01': np.float32(-0.4622442)}, {'J01': 20}, {'J01': 44}, 
605.0, {'J01': np.float32(-3.0)}, {'J01': 20}, {'J01': 49}, 
610.0, {'J01': np.float32(3.0)}, {'J01': 21}, {'J01': 56}, 
615.0, {'J01': np.float32(-2.0036287)}, {'J01': 23}, {'J01': 62}, 
620.0, {'J01': np.float32(-3.0)}, {'J01': 23}, {'J01': 63}, 
625.0, {'J01': np.float32(3.0)}, {'J01': 23}, {'J01': 59}, 
630.0, {'J01': np.float32(0.23790842)}, {'J01': 25}, {'J01': 63}, 
635.0, {'J01': np.float32(-1.9102212)}, {'J01': 26}, {'J01': 63}, 
640.0, {'J01': np.float32(-0.71164423)}, {'J01': 25}, {'J01': 52}, 
645.0, {'J01': np.float32(3.0)}, {'J01': 21}, {'J01': 46}, 
650.0, {'J01': np.float32(-1.2020943)}, {'J01': 21}, {'J01': 50}, 
655.0, {'J01': np.float32(-0.34201035)}, {'J01': 21}, {'J01': 55}, 
660.0, {'J01': np.float32(-0.83498985)}, {'J01': 21}, {'J01': 56}, 
665.0, {'J01': np.float32(-2.5614848)}, {'J01': 24}, {'J01': 57}, 
670.0, {'J01': np.float32(1.4937446)}, {'J01': 24}, {'J01': 57}, 
675.0, {'J01': np.float32(-1.56215)}, {'J01': 25}, {'J01': 62}, 
680.0, {'J01': np.float32(-3.0)}, {'J01': 27}, {'J01': 61}, 
685.0, {'J01': np.float32(3.0)}, {'J01': 27}, {'J01': 64}, 
690.0, {'J01': np.float32(0.079152636)}, {'J01': 25}, {'J01': 62}, 
695.0, {'J01': np.float32(0.24318936)}, {'J01': 25}, {'J01': 52}, 
700.0, {'J01': np.float32(-2.795753)}, {'J01': 26}, {'J01': 46}, 
705.0, {'J01': np.float32(3.0)}, {'J01': 24}, {'J01': 41}, 
710.0, {'J01': np.float32(-1.0470343)}, {'J01': 24}, {'J01': 48}, 
715.0, {'J01': np.float32(-2.2986393)}, {'J01': 24}, {'J01': 52}, 
720.0, {'J01': np.float32(-3.0)}, {'J01': 24}, {'J01': 59}, 
725.0, {'J01': np.float32(3.0)}, {'J01': 25}, {'J01': 61}, 
730.0, {'J01': np.float32(-3.0)}, {'J01': 26}, {'J01': 62}, 
735.0, {'J01': np.float32(2.3887956)}, {'J01': 26}, {'J01': 62}, 
