340.0, {'J01': -981.2000000000002, 'top_mgr': 0}, {'J01': 21}, {'J01': 55}, 
345.0, {'J01': -985.6000000000001, 'top_mgr': 3}, {'J01': 21}, {'J01': 52}, 
350.0, {'J01': -1005.0000000000001, 'top_mgr': 2}, {'J01': 21}, {'J01': 52}, 
355.0, {'J01': -1047.2, 'top_mgr': 0}, {'J01': 23}, {'J01': 58}, 
360.0, {'J01': -853.2000000000003, 'top_mgr': 8}, {'J01': 21}, {'J01': 51}, 
365.0, {'J01': -632.4, 'top_mgr': 12}, {'J01': 19}, {'J01': 40}, 
370.0, {'J01': -587.8, 'top_mgr': 6}, {'J01': 17}, {'J01': 36}, 
375.0, {'J01': -633.8, 'top_mgr': 0}, {'J01': 17}, {'J01': 42}, 
380.0, {'J01': -416.2, 'top_mgr': 7}, {'J01': 15}, {'J01': 35}, 
385.0, {'J01': -376.5999999999999, 'top_mgr': 9}, {'J01': 12}, {'J01': 27}, 
390.0, {'J01': -252.00000000000006, 'top_mgr': 8}, {'J01': 9}, {'J01': 20}, 
395.0, {'J01': -244.20000000000007, 'top_mgr': 9}, {'J01': 8}, {'J01': 20}, 
400.0, {'J01': -294.2000000000001, 'top_mgr': 0}, {'J01': 9}, {'J01': 30}, 
405.0, {'J01': -303.2000000000001, 'top_mgr': 1}, {'J01': 12}, {'J01': 40}, 
410.0, {'J01': -264.40000000000003, 'top_mgr': 6}, {'J01': 12}, {'J01': 37}, 
415.0, {'J01': -262.8, 'top_mgr': 1}, {'J01': 14}, {'J01': 41}, 
420.0, {'J01': -273.6, 'top_mgr': 4}, {'J01': 14}, {'J01': 41}, 
425.0, {'J01': -305.6, 'top_mgr': 2}, {'J01': 14}, {'J01': 43}, 
430.0, {'J01': -294.8, 'top_mgr': 2}, {'J01': 14}, {'J01': 42}, 
435.0, {'J01': -309.40000000000003, 'top_mgr': 2}, {'J01': 14}, {'J01': 44}, 
440.0, {'J01': -336.2, 'top_mgr': 3}, {'J01': 15}, {'J01': 44}, 
445.0, {'J01': -372.8, 'top_mgr': 1}, {'J01': 16}, {'J01': 47}, 
450.0, {'J01': -411.2, 'top_mgr': 1}, {'J01': 17}, {'J01': 51}, 
455.0, {'J01': -384.00000000000006, 'top_mgr': 8}, {'J01': 15}, {'J01': 44}, 
460.0, {'J01': -401.8000000000001, 'top_mgr': 2}, {'J01': 15}, {'J01': 42}, 
465.0, {'J01': -421.00000000000006, 'top_mgr': 3}, {'J01': 15}, {'J01': 40}, 
470.0, {'J01': -458.00000000000006, 'top_mgr': 0}, {'J01': 18}, {'J01': 45}, 
475.0, {'J01': -472.40000000000003, 'top_mgr': 2}, {'J01': 18}, {'J01': 45}, 
480.0, {'J01': -466.20000000000005, 'top_mgr': 6}, {'J01': 16}, {'J01': 42}, 
485.0, {'J01': -504.20000000000005, 'top_mgr': 0}, {'J01': 16}, {'J01': 44}, 
490.0, {'J01': -544.2, 'top_mgr': 0}, {'J01': 16}, {'J01': 48}, 
495.0, {'J01': -586.2, 'top_mgr': 0}, {'J01': 19}, {'J01': 54}, 
500.0, {'J01': -588.4000000000001, 'top_mgr': 3}, {'J01': 20}, {'J01': 54}, 
505.0, {'J01': -589.4000000000001, 'top_mgr': 4}, {'J01': 20}, {'J01': 53}, 
510.0, {'J01': -601.4, 'top_mgr': 1}, {'J01': 22}, {'J01': 56}, 
515.0, {'J01': -644.4000000000001, 'top_mgr': 0}, {'J01': 23}, {'J01': 60}, 
520.0, {'J01': -649.4000000000001, 'top_mgr': 4}, {'J01': 23}, {'J01': 58}, 
525.0, {'J01': -474.4000000000001, 'top_mgr': 15}, {'J01': 22}, {'J01': 44}, 
530.0, {'J01': -300.2, 'top_mgr': 17}, {'J01': 19}, {'J01': 33}, 
535.0, {'J01': -252.20000000000002, 'top_mgr': 8}, {'J01': 17}, {'J01': 31}, 
540.0, {'J01': -301.19999999999993, 'top_mgr': 0}, {'J01': 17}, {'J01': 39}, 
545.0, {'J01': -352.2, 'top_mgr': 0}, {'J01': 17}, {'J01': 46}, 
550.0, {'J01': -399.2, 'top_mgr': 0}, {'J01': 17}, {'J01': 49}, 
555.0, {'J01': -422.20000000000005, 'top_mgr': 3}, {'J01': 17}, {'J01': 47}, 
560.0, {'J01': -348.2, 'top_mgr': 12}, {'J01': 13}, {'J01': 36}, 
565.0, {'J01': -298.4, 'top_mgr': 8}, {'J01': 10}, {'J01': 34}, 
570.0, {'J01': -320.99999999999994, 'top_mgr': 2}, {'J01': 9}, {'J01': 35}, 
575.0, {'J01': -343.2, 'top_mgr': 6}, {'J01': 8}, {'J01': 35}, 
580.0, {'J01': -338.00000000000006, 'top_mgr': 11}, {'J01': 7}, {'J01': 31}, 
585.0, {'J01': -386.6000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 39}, 
590.0, {'J01': -351.2000000000001, 'top_mgr': 2}, {'J01': 7}, {'J01': 42}, 
595.0, {'J01': -396.8000000000001, 'top_mgr': 1}, {'J01': 9}, {'J01': 47}, 
600.0, {'J01': -440.8000000000001, 'top_mgr': 1}, {'J01': 11}, {'J01': 48}, 
605.0, {'J01': -432.6000000000001, 'top_mgr': 4}, {'J01': 11}, {'J01': 48}, 
610.0, {'J01': -425.40000000000003, 'top_mgr': 4}, {'J01': 9}, {'J01': 45}, 
615.0, {'J01': -465.0000000000001, 'top_mgr': 2}, {'J01': 9}, {'J01': 46}, 
620.0, {'J01': -492.40000000000003, 'top_mgr': 7}, {'J01': 10}, {'J01': 43}, 
625.0, {'J01': -522.0, 'top_mgr': 2}, {'J01': 10}, {'J01': 41}, 
630.0, {'J01': -566.6, 'top_mgr': 1}, {'J01': 12}, {'J01': 48}, 
635.0, {'J01': -610.8, 'top_mgr': 1}, {'J01': 13}, {'J01': 49}, 
640.0, {'J01': -534.8, 'top_mgr': 8}, {'J01': 11}, {'J01': 41}, 
645.0, {'J01': -509.0000000000001, 'top_mgr': 11}, {'J01': 9}, {'J01': 31}, 
650.0, {'J01': -547.0000000000001, 'top_mgr': 0}, {'J01': 9}, {'J01': 33}, 
655.0, {'J01': -593.0000000000001, 'top_mgr': 0}, {'J01': 10}, {'J01': 43}, 
660.0, {'J01': -631.0000000000001, 'top_mgr': 1}, {'J01': 11}, {'J01': 45}, 
665.0, {'J01': -623.4000000000002, 'top_mgr': 1}, {'J01': 14}, {'J01': 49}, 
670.0, {'J01': -592.8000000000001, 'top_mgr': 1}, {'J01': 14}, {'J01': 51}, 
675.0, {'J01': -620.6, 'top_mgr': 2}, {'J01': 14}, {'J01': 51}, 
680.0, {'J01': -660.0000000000001, 'top_mgr': 0}, {'J01': 15}, {'J01': 54}, 
685.0, {'J01': -545.4, 'top_mgr': 12}, {'J01': 11}, {'J01': 43}, 
690.0, {'J01': -580.2, 'top_mgr': 4}, {'J01': 11}, {'J01': 40}, 
695.0, {'J01': -586.6, 'top_mgr': 4}, {'J01': 10}, {'J01': 40}, 
700.0, {'J01': -610.4, 'top_mgr': 1}, {'J01': 11}, {'J01': 44}, 
705.0, {'J01': -649.4, 'top_mgr': 0}, {'J01': 13}, {'J01': 47}, 
710.0, {'J01': -572.8000000000001, 'top_mgr': 7}, {'J01': 14}, {'J01': 41}, 
715.0, {'J01': -419.8, 'top_mgr': 14}, {'J01': 13}, {'J01': 29}, 
720.0, {'J01': -349.40000000000003, 'top_mgr': 8}, {'J01': 10}, {'J01': 25}, 
725.0, {'J01': -338.40000000000003, 'top_mgr': 2}, {'J01': 9}, {'J01': 28}, 
730.0, {'J01': -382.6000000000001, 'top_mgr': 0}, {'J01': 9}, {'J01': 37}, 
735.0, {'J01': -425.80000000000007, 'top_mgr': 0}, {'J01': 9}, {'J01': 39}, 
740.0, {'J01': -373.8, 'top_mgr': 6}, {'J01': 9}, {'J01': 34}, 
745.0, {'J01': -400.6, 'top_mgr': 1}, {'J01': 10}, {'J01': 34}, 
750.0, {'J01': -420.0, 'top_mgr': 1}, {'J01': 11}, {'J01': 38}, 
755.0, {'J01': -457.40000000000003, 'top_mgr': 1}, {'J01': 11}, {'J01': 41}, 
760.0, {'J01': -439.0, 'top_mgr': 9}, {'J01': 9}, {'J01': 32}, 
765.0, {'J01': -370.0, 'top_mgr': 7}, {'J01': 7}, {'J01': 25}, 
770.0, {'J01': -410.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 31}, 
775.0, {'J01': -455.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
780.0, {'J01': -475.00000000000006, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
785.0, {'J01': -355.8, 'top_mgr': 6}, {'J01': 9}, {'J01': 33}, 
790.0, {'J01': -355.40000000000003, 'top_mgr': 5}, {'J01': 7}, {'J01': 29}, 
795.0, {'J01': -255.0, 'top_mgr': 7}, {'J01': 6}, {'J01': 23}, 
800.0, {'J01': -283.0, 'top_mgr': 0}, {'J01': 6}, {'J01': 23}, 
805.0, {'J01': -310.2, 'top_mgr': 1}, {'J01': 7}, {'J01': 28}, 
810.0, {'J01': -342.20000000000005, 'top_mgr': 4}, {'J01': 7}, {'J01': 30}, 
815.0, {'J01': -306.6, 'top_mgr': 6}, {'J01': 6}, {'J01': 27}, 
820.0, {'J01': -259.0, 'top_mgr': 6}, {'J01': 6}, {'J01': 24}, 
825.0, {'J01': -290.8, 'top_mgr': 3}, {'J01': 5}, {'J01': 26}, 
830.0, {'J01': -311.40000000000003, 'top_mgr': 3}, {'J01': 7}, {'J01': 31}, 
835.0, {'J01': -305.2000000000001, 'top_mgr': 5}, {'J01': 9}, {'J01': 33}, 
840.0, {'J01': -336.8000000000001, 'top_mgr': 1}, {'J01': 9}, {'J01': 35}, 
845.0, {'J01': -359.6000000000001, 'top_mgr': 6}, {'J01': 9}, {'J01': 34}, 
850.0, {'J01': -393.2, 'top_mgr': 2}, {'J01': 10}, {'J01': 36}, 
855.0, {'J01': -423.80000000000007, 'top_mgr': 3}, {'J01': 10}, {'J01': 37}, 
860.0, {'J01': -466.8, 'top_mgr': 2}, {'J01': 10}, {'J01': 42}, 
865.0, {'J01': -507.6, 'top_mgr': 2}, {'J01': 11}, {'J01': 44}, 
870.0, {'J01': -540.9999999999999, 'top_mgr': 2}, {'J01': 12}, {'J01': 48}, 
875.0, {'J01': -579.0, 'top_mgr': 4}, {'J01': 12}, {'J01': 46}, 
880.0, {'J01': -574.0, 'top_mgr': 4}, {'J01': 12}, {'J01': 44}, 
