335.0, {'J01': -257.0, 'top_mgr': 1}, {'J01': 5}, {'J01': 30}, 
340.0, {'J01': -246.80000000000004, 'top_mgr': 7}, {'J01': 5}, {'J01': 25}, 
345.0, {'J01': -261.6000000000001, 'top_mgr': 7}, {'J01': 4}, {'J01': 22}, 
350.0, {'J01': -304.6000000000001, 'top_mgr': 1}, {'J01': 4}, {'J01': 25}, 
355.0, {'J01': -350.6000000000001, 'top_mgr': 0}, {'J01': 6}, {'J01': 31}, 
360.0, {'J01': -396.6000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
365.0, {'J01': -424.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
370.0, {'J01': -465.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 38}, 
375.0, {'J01': -449.20000000000005, 'top_mgr': 10}, {'J01': 6}, {'J01': 29}, 
380.0, {'J01': -446.8, 'top_mgr': 4}, {'J01': 6}, {'J01': 26}, 
385.0, {'J01': -380.80000000000007, 'top_mgr': 7}, {'J01': 5}, {'J01': 20}, 
390.0, {'J01': -389.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 18}, 
395.0, {'J01': -402.4, 'top_mgr': 9}, {'J01': 5}, {'J01': 14}, 
400.0, {'J01': -364.40000000000003, 'top_mgr': 3}, {'J01': 5}, {'J01': 16}, 
405.0, {'J01': -407.40000000000003, 'top_mgr': 0}, {'J01': 5}, {'J01': 25}, 
410.0, {'J01': -450.40000000000003, 'top_mgr': 0}, {'J01': 6}, {'J01': 32}, 
415.0, {'J01': -457.8, 'top_mgr': 10}, {'J01': 6}, {'J01': 28}, 
420.0, {'J01': -487.6, 'top_mgr': 4}, {'J01': 6}, {'J01': 27}, 
425.0, {'J01': -481.6, 'top_mgr': 6}, {'J01': 6}, {'J01': 24}, 
430.0, {'J01': -503.80000000000007, 'top_mgr': 3}, {'J01': 6}, {'J01': 25}, 
435.0, {'J01': -529.1999999999999, 'top_mgr': 3}, {'J01': 5}, {'J01': 29}, 
440.0, {'J01': -390.20000000000005, 'top_mgr': 6}, {'J01': 7}, {'J01': 29}, 
445.0, {'J01': -419.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 31}, 
450.0, {'J01': -429.00000000000006, 'top_mgr': 8}, {'J01': 7}, {'J01': 27}, 
455.0, {'J01': -464.6, 'top_mgr': 3}, {'J01': 6}, {'J01': 28}, 
460.0, {'J01': -455.0, 'top_mgr': 8}, {'J01': 5}, {'J01': 20}, 
465.0, {'J01': -425.8, 'top_mgr': 9}, {'J01': 4}, {'J01': 18}, 
470.0, {'J01': -440.59999999999997, 'top_mgr': 7}, {'J01': 4}, {'J01': 15}, 
475.0, {'J01': -488.59999999999997, 'top_mgr': 2}, {'J01': 4}, {'J01': 23}, 
480.0, {'J01': -536.4, 'top_mgr': 0}, {'J01': 6}, {'J01': 29}, 
485.0, {'J01': -587.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
490.0, {'J01': -376.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 33}, 
495.0, {'J01': -414.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
500.0, {'J01': -440.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 36}, 
505.0, {'J01': -413.2, 'top_mgr': 6}, {'J01': 8}, {'J01': 32}, 
510.0, {'J01': -427.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
515.0, {'J01': -372.6, 'top_mgr': 9}, {'J01': 7}, {'J01': 28}, 
520.0, {'J01': -355.0, 'top_mgr': 4}, {'J01': 7}, {'J01': 31}, 
525.0, {'J01': -391.8, 'top_mgr': 3}, {'J01': 7}, {'J01': 34}, 
530.0, {'J01': -433.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 38}, 
535.0, {'J01': -453.59999999999997, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
540.0, {'J01': -453.0, 'top_mgr': 5}, {'J01': 8}, {'J01': 33}, 
545.0, {'J01': -317.8, 'top_mgr': 8}, {'J01': 8}, {'J01': 30}, 
550.0, {'J01': -336.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 33}, 
555.0, {'J01': -370.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
