450.0, {'J01': -96.22999999999999}, {'J01': 21}, {'J01': 56}, 
455.0, {'J01': -116.75}, {'J01': 22}, {'J01': 59}, 
460.0, {'J01': -80.03}, {'J01': 23}, {'J01': 58}, 
465.0, {'J01': -126.50999999999999}, {'J01': 23}, {'J01': 60}, 
470.0, {'J01': -133.61}, {'J01': 23}, {'J01': 58}, 
475.0, {'J01': -137.27}, {'J01': 23}, {'J01': 62}, 
480.0, {'J01': -151.03}, {'J01': 23}, {'J01': 67}, 
485.0, {'J01': -176.82}, {'J01': 23}, {'J01': 66}, 
490.0, {'J01': -125.67999999999999}, {'J01': 22}, {'J01': 59}, 
495.0, {'J01': -106.25999999999999}, {'J01': 21}, {'J01': 48}, 
500.0, {'J01': -121.24}, {'J01': 17}, {'J01': 35}, 
505.0, {'J01': -86.3}, {'J01': 13}, {'J01': 26}, 
510.0, {'J01': -67.78}, {'J01': 11}, {'J01': 25}, 
515.0, {'J01': -110.33000000000001}, {'J01': 11}, {'J01': 32}, 
520.0, {'J01': -84.27}, {'J01': 11}, {'J01': 42}, 
525.0, {'J01': -81.0}, {'J01': 12}, {'J01': 48}, 
530.0, {'J01': -119.38}, {'J01': 13}, {'J01': 51}, 
535.0, {'J01': -81.83}, {'J01': 14}, {'J01': 49}, 
540.0, {'J01': -97.69}, {'J01': 14}, {'J01': 47}, 
545.0, {'J01': -68.9}, {'J01': 14}, {'J01': 45}, 
550.0, {'J01': -117.38}, {'J01': 14}, {'J01': 49}, 
555.0, {'J01': -97.52}, {'J01': 14}, {'J01': 47}, 
560.0, {'J01': -97.52}, {'J01': 15}, {'J01': 47}, 
565.0, {'J01': -128.31}, {'J01': 15}, {'J01': 51}, 
570.0, {'J01': -89.93}, {'J01': 15}, {'J01': 48}, 
575.0, {'J01': -108.78999999999999}, {'J01': 15}, {'J01': 49}, 
580.0, {'J01': -66.58}, {'J01': 13}, {'J01': 42}, 
585.0, {'J01': -90.53999999999999}, {'J01': 11}, {'J01': 39}, 
590.0, {'J01': -127.69999999999999}, {'J01': 9}, {'J01': 31}, 
595.0, {'J01': -55.26}, {'J01': 8}, {'J01': 30}, 
600.0, {'J01': -118.11}, {'J01': 6}, {'J01': 30}, 
605.0, {'J01': -59.87}, {'J01': 4}, {'J01': 25}, 
610.0, {'J01': -62.7}, {'J01': 3}, {'J01': 28}, 
615.0, {'J01': -43.23}, {'J01': 7}, {'J01': 36}, 
620.0, {'J01': -48.89}, {'J01': 8}, {'J01': 42}, 
625.0, {'J01': -37.129999999999995}, {'J01': 8}, {'J01': 39}, 
630.0, {'J01': -64.75}, {'J01': 8}, {'J01': 40}, 
635.0, {'J01': -69.19}, {'J01': 7}, {'J01': 35}, 
640.0, {'J01': -78.12}, {'J01': 7}, {'J01': 35}, 
645.0, {'J01': -89.53999999999999}, {'J01': 7}, {'J01': 38}, 
650.0, {'J01': -76.50999999999999}, {'J01': 8}, {'J01': 43}, 
655.0, {'J01': -73.50999999999999}, {'J01': 8}, {'J01': 40}, 
660.0, {'J01': -57.48}, {'J01': 8}, {'J01': 42}, 
665.0, {'J01': -71.9}, {'J01': 10}, {'J01': 48}, 
670.0, {'J01': -93.08}, {'J01': 11}, {'J01': 52}, 
675.0, {'J01': -90.25}, {'J01': 12}, {'J01': 49}, 
680.0, {'J01': -77.05}, {'J01': 13}, {'J01': 54}, 
685.0, {'J01': -108.5}, {'J01': 13}, {'J01': 59}, 
690.0, {'J01': -104.62}, {'J01': 9}, {'J01': 45}, 
695.0, {'J01': -46.38}, {'J01': 9}, {'J01': 40}, 
700.0, {'J01': -93.69}, {'J01': 9}, {'J01': 43}, 
705.0, {'J01': -97.52}, {'J01': 12}, {'J01': 47}, 
710.0, {'J01': -92.59}, {'J01': 12}, {'J01': 51}, 
715.0, {'J01': -129.31}, {'J01': 13}, {'J01': 52}, 
720.0, {'J01': -98.69}, {'J01': 13}, {'J01': 48}, 
725.0, {'J01': -127.91999999999999}, {'J01': 11}, {'J01': 41}, 
730.0, {'J01': -109.22999999999999}, {'J01': 10}, {'J01': 40}, 
735.0, {'J01': -126.42999999999999}, {'J01': 9}, {'J01': 39}, 
740.0, {'J01': -51.23}, {'J01': 9}, {'J01': 44}, 
745.0, {'J01': -69.58}, {'J01': 10}, {'J01': 45}, 
750.0, {'J01': -48.89}, {'J01': 10}, {'J01': 42}, 
755.0, {'J01': -59.31}, {'J01': 10}, {'J01': 44}, 
760.0, {'J01': -64.58}, {'J01': 10}, {'J01': 40}, 
765.0, {'J01': -94.03}, {'J01': 12}, {'J01': 43}, 
770.0, {'J01': -72.07}, {'J01': 12}, {'J01': 48}, 
775.0, {'J01': -71.07}, {'J01': 12}, {'J01': 47}, 
780.0, {'J01': -64.97}, {'J01': 12}, {'J01': 50}, 
785.0, {'J01': -59.31}, {'J01': 13}, {'J01': 44}, 
790.0, {'J01': -84.1}, {'J01': 13}, {'J01': 42}, 
