5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.01480111)}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': np.float32(-0.4573654)}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': np.float32(0.37410915)}, {'J01': 2}, {'J01': 6}, 
30.0, {'J01': np.float32(-0.64713377)}, {'J01': 2}, {'J01': 8}, 
35.0, {'J01': np.float32(-1.0919482)}, {'J01': 2}, {'J01': 7}, 
40.0, {'J01': np.float32(1.552218)}, {'J01': 2}, {'J01': 7}, 
45.0, {'J01': np.float32(-0.64371556)}, {'J01': 2}, {'J01': 10}, 
50.0, {'J01': np.float32(-2.045532)}, {'J01': 3}, {'J01': 14}, 
55.0, {'J01': np.float32(2.25539)}, {'J01': 3}, {'J01': 16}, 
60.0, {'J01': np.float32(-0.33628538)}, {'J01': 4}, {'J01': 28}, 
65.0, {'J01': np.float32(-1.8512576)}, {'J01': 7}, {'J01': 36}, 
70.0, {'J01': np.float32(0.9189408)}, {'J01': 8}, {'J01': 36}, 
75.0, {'J01': np.float32(-1.5669142)}, {'J01': 8}, {'J01': 36}, 
80.0, {'J01': np.float32(-0.09847678)}, {'J01': 8}, {'J01': 37}, 
85.0, {'J01': np.float32(-2.2373931)}, {'J01': 7}, {'J01': 34}, 
90.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 28}, 
95.0, {'J01': np.float32(-1.6986678)}, {'J01': 6}, {'J01': 32}, 
100.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 35}, 
105.0, {'J01': np.float32(0.7474712)}, {'J01': 8}, {'J01': 37}, 
110.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 40}, 
115.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 43}, 
120.0, {'J01': np.float32(-2.221966)}, {'J01': 8}, {'J01': 40}, 
125.0, {'J01': np.float32(1.8532616)}, {'J01': 8}, {'J01': 38}, 
130.0, {'J01': np.float32(-0.8594274)}, {'J01': 8}, {'J01': 43}, 
