335.0, {'J01': -464.20000000000005, 'top_mgr': 2}, {'J01': 7}, {'J01': 36}, 
340.0, {'J01': -506.20000000000005, 'top_mgr': 0}, {'J01': 7}, {'J01': 38}, 
345.0, {'J01': -548.2, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
350.0, {'J01': -588.2, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
355.0, {'J01': -632.8000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 43}, 
360.0, {'J01': -625.0000000000001, 'top_mgr': 5}, {'J01': 10}, {'J01': 40}, 
365.0, {'J01': -567.0, 'top_mgr': 4}, {'J01': 10}, {'J01': 37}, 
370.0, {'J01': -602.0000000000001, 'top_mgr': 0}, {'J01': 10}, {'J01': 40}, 
375.0, {'J01': -629.8000000000001, 'top_mgr': 1}, {'J01': 10}, {'J01': 39}, 
380.0, {'J01': -628.0000000000001, 'top_mgr': 2}, {'J01': 10}, {'J01': 38}, 
385.0, {'J01': -662.0000000000001, 'top_mgr': 1}, {'J01': 11}, {'J01': 40}, 
390.0, {'J01': -698.0000000000001, 'top_mgr': 1}, {'J01': 11}, {'J01': 43}, 
395.0, {'J01': -736.0, 'top_mgr': 0}, {'J01': 11}, {'J01': 45}, 
400.0, {'J01': -735.6, 'top_mgr': 4}, {'J01': 12}, {'J01': 42}, 
405.0, {'J01': -749.2, 'top_mgr': 2}, {'J01': 12}, {'J01': 41}, 
410.0, {'J01': -786.2, 'top_mgr': 0}, {'J01': 14}, {'J01': 46}, 
415.0, {'J01': -755.2, 'top_mgr': 5}, {'J01': 15}, {'J01': 43}, 
420.0, {'J01': -595.6, 'top_mgr': 13}, {'J01': 11}, {'J01': 31}, 
425.0, {'J01': -599.2, 'top_mgr': 5}, {'J01': 10}, {'J01': 30}, 
430.0, {'J01': -638.2, 'top_mgr': 2}, {'J01': 10}, {'J01': 35}, 
435.0, {'J01': -682.2, 'top_mgr': 0}, {'J01': 11}, {'J01': 43}, 
440.0, {'J01': -721.2, 'top_mgr': 0}, {'J01': 12}, {'J01': 46}, 
