episode,decision,feature,count,mean,std,min,max,p05,p95,nan_count,inf_count,zero_frac
1,1,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,1,approach,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,1,total_wait,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,1,queue,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,1,total_speed,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,2,approach,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,total_wait,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,queue,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,2,total_speed,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,3,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,3,approach,20,0.007142857648432255,0.01821078546345234,0.0,0.0714285746216774,0.0,0.03750000149011612,0,0,0.85
1,3,total_wait,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,3,queue,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,3,total_speed,20,0.003343987511470914,0.010875038802623749,0.0,0.04702230170369148,0.0,0.020813874900341034,0,0,0.85
1,4,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,4,approach,20,0.008928571827709675,0.024936141446232796,0.0,0.1071428582072258,0.0,0.03928571566939354,0,0,0.85
1,4,total_wait,20,0.01339285634458065,0.04258657619357109,0.0,0.1785714328289032,0.0,0.09375,0,0,0.9
1,4,queue,20,0.0035714288242161274,0.01071428693830967,0.0,0.0357142873108387,0.0,0.0357142873108387,0,0,0.9
1,4,total_speed,20,0.0026370801497250795,0.008493350818753242,0.0,0.03724521026015282,0.0,0.015023086220026016,0,0,0.85
1,5,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,5,approach,20,0.010714286006987095,0.025505103170871735,0.0,0.1071428582072258,0.0,0.03928571566939354,0,0,0.8
1,5,total_wait,20,0.06160714104771614,0.14956089854240417,0.0,0.5357142686843872,0.0,0.4508928656578064,0,0,0.8
1,5,queue,20,0.007142857648432255,0.014285716228187084,0.0,0.0357142873108387,0.0,0.0357142873108387,0,0,0.8
1,5,total_speed,20,0.0023963963612914085,0.006485735531896353,0.0,0.022238364443182945,0.0,0.02111523598432541,0,0,0.8
1,6,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,6,approach,20,0.008928571827709675,0.019149651750922203,0.0,0.0714285746216774,0.0,0.03750000149011612,0,0,0.8
1,6,total_wait,20,0.15535715222358704,0.2891589105129242,0.0,0.8928571343421936,0.0,0.8250000476837158,0,0,0.7
1,6,queue,20,0.01607142761349678,0.026426158845424652,0.0,0.0714285746216774,0.0,0.0714285746216774,0,0,0.7
1,6,total_speed,20,0.0015418274560943246,0.004647491499781609,0.0,0.01984487846493721,0.0,0.009662244468927383,0,0,0.75
1,7,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,7,approach,20,0.007142857648432255,0.01821078546345234,0.0,0.0714285746216774,0.0,0.03750000149011612,0,0,0.85
1,7,total_wait,20,0.33571428060531616,0.5538190603256226,0.0,1.6428571939468384,0.0,1.3714284896850586,0,0,0.7
1,7,queue,20,0.02321428619325161,0.03956878185272217,0.0,0.1071428582072258,0.0,0.1071428582072258,0,0,0.7
1,7,total_speed,20,0.0008460732060484588,0.0028524217195808887,0.0,0.012726657092571259,0.0,0.004312832839787006,0,0,0.8
1,8,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,8,approach,20,0.010714286006987095,0.019884875044226646,0.0,0.0714285746216774,0.0,0.03750000149011612,0,0,0.75
1,8,total_wait,20,0.44732141494750977,0.7314559817314148,0.0,2.25,0.0,1.8598214387893677,0,0,0.7
1,8,queue,20,0.02321428619325161,0.041148994117975235,0.0,0.1428571492433548,0.0,0.10892857611179352,0,0,0.7
1,8,total_speed,20,0.0025562099181115627,0.0053799813613295555,0.0,0.016724420711398125,0.0,0.016628699377179146,0,0,0.75
1,9,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,9,approach,20,0.01071428693830967,0.02286830171942711,0.0,0.0714285746216774,0.0,0.0714285746216774,0,0,0.8
1,9,total_wait,20,0.5008928179740906,1.0921286344528198,0.0,3.75,0.0,3.1053571701049805,0,0,0.8
1,9,queue,20,0.02142857387661934,0.049744244664907455,0.0,0.1785714328289032,0.0,0.14464285969734192,0,0,0.8
1,9,total_speed,20,0.0029804345685988665,0.007241774350404739,0.0,0.025700785219669342,0.0,0.01775060035288334,0,0,0.75
1,10,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,10,approach,20,0.01071428693830967,0.019884875044226646,0.0,0.0714285746216774,0.0,0.03750000149011612,0,0,0.75
1,10,total_wait,20,0.7303571701049805,1.613429069519043,0.0,5.714285850524902,0.0,4.628571510314941,0,0,0.75
1,10,queue,20,0.0267857126891613,0.05962788686156273,0.0,0.2142857164144516,0.0,0.18035714328289032,0,0,0.75
1,10,total_speed,20,0.002479846589267254,0.005856287200003862,0.0,0.02173476293683052,0.0,0.01552778109908104,0,0,0.75
1,11,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,11,approach,20,0.008928571827709675,0.022231964394450188,0.0,0.0714285746216774,0.0,0.0714285746216774,0,0,0.85
1,11,total_wait,20,0.8098214864730835,1.6644474267959595,0.0,6.017857074737549,0.0,4.304464340209961,0,0,0.7
1,11,queue,20,0.03214285522699356,0.06175577640533447,0.0,0.2142857164144516,0.0,0.18035714328289032,0,0,0.7
1,11,total_speed,20,0.002711797598749399,0.005942578427493572,0.0,0.01957991160452366,0.0,0.018266970291733742,0,0,0.75
1,12,phase,20,0.05000000074505806,0.21794493496418,0.0,1.0,0.0,0.05000000074505806,0,0,0.95
1,12,approach,20,0.007142857648432255,0.014285716228187084,0.0,0.0357142873108387,0.0,0.0357142873108387,0,0,0.8
1,12,total_wait,20,0.8383929133415222,1.6371161937713623,0.0,5.964285850524902,0.0,4.233928680419922,0,0,0.7
1,12,queue,20,0.03392857313156128,0.05700317770242691,0.0,0.1785714328289032,0.0,0.14464285969734192,0,0,0.7
