5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0, 'top_mgr': 1}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -7.2, 'top_mgr': 1}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -13.000000000000002, 'top_mgr': 3}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -23.0, 'top_mgr': 2}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -34.2, 'top_mgr': 1}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -44.2, 'top_mgr': 3}, {'J01': 5}, {'J01': 10}, 
40.0, {'J01': -63.60000000000001, 'top_mgr': 1}, {'J01': 6}, {'J01': 16}, 
45.0, {'J01': -81.80000000000001, 'top_mgr': 3}, {'J01': 8}, {'J01': 19}, 
50.0, {'J01': -113.00000000000001, 'top_mgr': 3}, {'J01': 8}, {'J01': 25}, 
55.0, {'J01': -145.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 28}, 
60.0, {'J01': -190.80000000000004, 'top_mgr': 0}, {'J01': 8}, {'J01': 33}, 
65.0, {'J01': -199.00000000000003, 'top_mgr': 3}, {'J01': 8}, {'J01': 30}, 
70.0, {'J01': -208.60000000000005, 'top_mgr': 4}, {'J01': 8}, {'J01': 27}, 
75.0, {'J01': -230.80000000000004, 'top_mgr': 2}, {'J01': 8}, {'J01': 30}, 
80.0, {'J01': -239.0, 'top_mgr': 5}, {'J01': 8}, {'J01': 29}, 
85.0, {'J01': -207.20000000000002, 'top_mgr': 7}, {'J01': 7}, {'J01': 24}, 
90.0, {'J01': -179.4, 'top_mgr': 11}, {'J01': 4}, {'J01': 17}, 
95.0, {'J01': -194.8, 'top_mgr': 11}, {'J01': 4}, {'J01': 14}, 
100.0, {'J01': -150.79999999999998, 'top_mgr': 7}, {'J01': 4}, {'J01': 12}, 
105.0, {'J01': -167.2, 'top_mgr': 2}, {'J01': 4}, {'J01': 20}, 
110.0, {'J01': -197.39999999999998, 'top_mgr': 3}, {'J01': 4}, {'J01': 19}, 
115.0, {'J01': -233.0, 'top_mgr': 3}, {'J01': 6}, {'J01': 27}, 
120.0, {'J01': -270.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
125.0, {'J01': -299.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
130.0, {'J01': -268.6, 'top_mgr': 7}, {'J01': 8}, {'J01': 29}, 
135.0, {'J01': -261.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 30}, 
140.0, {'J01': -245.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 29}, 
145.0, {'J01': -275.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
150.0, {'J01': -310.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
155.0, {'J01': -354.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
160.0, {'J01': -323.6, 'top_mgr': 7}, {'J01': 7}, {'J01': 38}, 
165.0, {'J01': -333.20000000000005, 'top_mgr': 6}, {'J01': 8}, {'J01': 35}, 
170.0, {'J01': -360.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 37}, 
175.0, {'J01': -392.6, 'top_mgr': 2}, {'J01': 9}, {'J01': 43}, 
180.0, {'J01': -433.6, 'top_mgr': 3}, {'J01': 10}, {'J01': 46}, 
185.0, {'J01': -449.40000000000003, 'top_mgr': 3}, {'J01': 10}, {'J01': 44}, 
190.0, {'J01': -486.0, 'top_mgr': 1}, {'J01': 10}, {'J01': 46}, 
195.0, {'J01': -390.40000000000003, 'top_mgr': 8}, {'J01': 10}, {'J01': 42}, 
200.0, {'J01': -403.6000000000001, 'top_mgr': 1}, {'J01': 11}, {'J01': 44}, 
205.0, {'J01': -382.20000000000005, 'top_mgr': 6}, {'J01': 10}, {'J01': 40}, 
210.0, {'J01': -379.0, 'top_mgr': 6}, {'J01': 10}, {'J01': 38}, 
215.0, {'J01': -407.8, 'top_mgr': 4}, {'J01': 10}, {'J01': 39}, 
220.0, {'J01': -402.2, 'top_mgr': 2}, {'J01': 10}, {'J01': 41}, 
225.0, {'J01': -372.6, 'top_mgr': 4}, {'J01': 11}, {'J01': 40}, 
230.0, {'J01': -366.4, 'top_mgr': 3}, {'J01': 11}, {'J01': 40}, 
235.0, {'J01': -380.2, 'top_mgr': 6}, {'J01': 11}, {'J01': 37}, 
240.0, {'J01': -370.4, 'top_mgr': 10}, {'J01': 9}, {'J01': 28}, 
245.0, {'J01': -367.8, 'top_mgr': 4}, {'J01': 9}, {'J01': 28}, 
250.0, {'J01': -372.0, 'top_mgr': 7}, {'J01': 7}, {'J01': 22}, 
