5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.004625347)}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': np.float32(-0.037002776)}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': np.float32(-0.44385663)}, {'J01': 4}, {'J01': 9}, 
25.0, {'J01': np.float32(0.2384912)}, {'J01': 3}, {'J01': 9}, 
30.0, {'J01': np.float32(-0.65104836)}, {'J01': 4}, {'J01': 11}, 
35.0, {'J01': np.float32(0.4632593)}, {'J01': 5}, {'J01': 12}, 
40.0, {'J01': np.float32(0.031666696)}, {'J01': 5}, {'J01': 12}, 
45.0, {'J01': np.float32(-1.1805692)}, {'J01': 5}, {'J01': 16}, 
50.0, {'J01': np.float32(-1.4964004)}, {'J01': 5}, {'J01': 26}, 
55.0, {'J01': np.float32(1.7001523)}, {'J01': 7}, {'J01': 31}, 
60.0, {'J01': np.float32(-1.1595035)}, {'J01': 8}, {'J01': 34}, 
65.0, {'J01': np.float32(-1.1886854)}, {'J01': 8}, {'J01': 33}, 
70.0, {'J01': np.float32(0.95018566)}, {'J01': 8}, {'J01': 28}, 
75.0, {'J01': np.float32(-1.6520264)}, {'J01': 8}, {'J01': 31}, 
80.0, {'J01': np.float32(0.7211666)}, {'J01': 7}, {'J01': 32}, 
85.0, {'J01': np.float32(0.41047734)}, {'J01': 7}, {'J01': 32}, 
90.0, {'J01': np.float32(-0.87687975)}, {'J01': 7}, {'J01': 33}, 
95.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 38}, 
100.0, {'J01': np.float32(-0.73671395)}, {'J01': 8}, {'J01': 35}, 
105.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': np.float32(-2.6661012)}, {'J01': 8}, {'J01': 41}, 
115.0, {'J01': np.float32(1.3055933)}, {'J01': 8}, {'J01': 44}, 
120.0, {'J01': np.float32(-1.9366542)}, {'J01': 8}, {'J01': 45}, 
125.0, {'J01': np.float32(-0.7401361)}, {'J01': 8}, {'J01': 47}, 
130.0, {'J01': np.float32(0.8380466)}, {'J01': 8}, {'J01': 44}, 
135.0, {'J01': np.float32(-1.7210455)}, {'J01': 8}, {'J01': 45}, 
140.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 42}, 
145.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 44}, 
150.0, {'J01': np.float32(0.123462535)}, {'J01': 10}, {'J01': 47}, 
155.0, {'J01': np.float32(-3.0)}, {'J01': 11}, {'J01': 50}, 
160.0, {'J01': np.float32(3.0)}, {'J01': 13}, {'J01': 49}, 
165.0, {'J01': np.float32(-3.0)}, {'J01': 13}, {'J01': 49}, 
170.0, {'J01': np.float32(-2.2045987)}, {'J01': 13}, {'J01': 52}, 
175.0, {'J01': np.float32(2.0820067)}, {'J01': 14}, {'J01': 54}, 
180.0, {'J01': np.float32(-1.8874413)}, {'J01': 16}, {'J01': 51}, 
185.0, {'J01': np.float32(3.0)}, {'J01': 14}, {'J01': 44}, 
190.0, {'J01': np.float32(-0.9826134)}, {'J01': 13}, {'J01': 47}, 
195.0, {'J01': np.float32(-3.0)}, {'J01': 13}, {'J01': 51}, 
200.0, {'J01': np.float32(3.0)}, {'J01': 14}, {'J01': 50}, 
205.0, {'J01': np.float32(-0.51179326)}, {'J01': 13}, {'J01': 46}, 
210.0, {'J01': np.float32(-2.594378)}, {'J01': 13}, {'J01': 46}, 
215.0, {'J01': np.float32(-3.0)}, {'J01': 14}, {'J01': 44}, 
220.0, {'J01': np.float32(3.0)}, {'J01': 15}, {'J01': 45}, 
225.0, {'J01': np.float32(-0.7886124)}, {'J01': 15}, {'J01': 49}, 
230.0, {'J01': np.float32(-1.6974995)}, {'J01': 15}, {'J01': 50}, 
235.0, {'J01': np.float32(-3.0)}, {'J01': 15}, {'J01': 52}, 
240.0, {'J01': np.float32(3.0)}, {'J01': 12}, {'J01': 43}, 
245.0, {'J01': np.float32(-0.73767704)}, {'J01': 12}, {'J01': 44}, 
250.0, {'J01': np.float32(-2.2544665)}, {'J01': 12}, {'J01': 47}, 
255.0, {'J01': np.float32(-1.8432379)}, {'J01': 14}, {'J01': 47}, 
260.0, {'J01': np.float32(3.0)}, {'J01': 12}, {'J01': 38}, 
265.0, {'J01': np.float32(-0.6202507)}, {'J01': 10}, {'J01': 41}, 
270.0, {'J01': np.float32(-0.20385282)}, {'J01': 10}, {'J01': 46}, 
275.0, {'J01': np.float32(0.41018927)}, {'J01': 10}, {'J01': 40}, 
280.0, {'J01': np.float32(0.09618409)}, {'J01': 10}, {'J01': 35}, 
285.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 29}, 
290.0, {'J01': np.float32(-0.5203188)}, {'J01': 8}, {'J01': 35}, 
295.0, {'J01': np.float32(-1.8259405)}, {'J01': 11}, {'J01': 47}, 
300.0, {'J01': np.float32(0.7279369)}, {'J01': 12}, {'J01': 49}, 
305.0, {'J01': np.float32(-0.12331795)}, {'J01': 13}, {'J01': 49}, 
310.0, {'J01': np.float32(-1.671185)}, {'J01': 13}, {'J01': 49}, 
315.0, {'J01': np.float32(-2.9487936)}, {'J01': 14}, {'J01': 53}, 
320.0, {'J01': np.float32(-2.6101348)}, {'J01': 16}, {'J01': 48}, 
325.0, {'J01': np.float32(2.1112962)}, {'J01': 16}, {'J01': 48}, 
330.0, {'J01': np.float32(-0.17246115)}, {'J01': 15}, {'J01': 44}, 
335.0, {'J01': np.float32(3.0)}, {'J01': 16}, {'J01': 43}, 
340.0, {'J01': np.float32(-1.0653701)}, {'J01': 16}, {'J01': 48}, 
345.0, {'J01': np.float32(-2.816024)}, {'J01': 16}, {'J01': 48}, 
350.0, {'J01': np.float32(1.8250686)}, {'J01': 17}, {'J01': 48}, 
355.0, {'J01': np.float32(-0.72012997)}, {'J01': 18}, {'J01': 51}, 
360.0, {'J01': np.float32(-3.0)}, {'J01': 18}, {'J01': 55}, 
