5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -6.0}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -8.0}, {'J01': 3}, {'J01': 8}, 
35.0, {'J01': -9.0}, {'J01': 5}, {'J01': 9}, 
40.0, {'J01': -11.0}, {'J01': 5}, {'J01': 11}, 
45.0, {'J01': -16.0}, {'J01': 5}, {'J01': 16}, 
50.0, {'J01': -23.0}, {'J01': 7}, {'J01': 23}, 
55.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
60.0, {'J01': -30.0}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
70.0, {'J01': -27.0}, {'J01': 8}, {'J01': 27}, 
75.0, {'J01': -29.0}, {'J01': 8}, {'J01': 29}, 
80.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
85.0, {'J01': -27.0}, {'J01': 7}, {'J01': 27}, 
90.0, {'J01': -16.0}, {'J01': 5}, {'J01': 16}, 
95.0, {'J01': -15.0}, {'J01': 4}, {'J01': 15}, 
100.0, {'J01': -20.0}, {'J01': 4}, {'J01': 20}, 
105.0, {'J01': -29.0}, {'J01': 6}, {'J01': 29}, 
110.0, {'J01': -28.0}, {'J01': 7}, {'J01': 28}, 
115.0, {'J01': -18.0}, {'J01': 4}, {'J01': 18}, 
120.0, {'J01': -20.0}, {'J01': 3}, {'J01': 20}, 
125.0, {'J01': -21.0}, {'J01': 3}, {'J01': 21}, 
130.0, {'J01': -24.0}, {'J01': 6}, {'J01': 24}, 
135.0, {'J01': -31.0}, {'J01': 8}, {'J01': 31}, 
140.0, {'J01': -34.0}, {'J01': 8}, {'J01': 34}, 
145.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
150.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
155.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
160.0, {'J01': -38.0}, {'J01': 8}, {'J01': 38}, 
