445.0, {'J01': -79.22200000000001}, {'J01': 8}, {'J01': 40}, 
450.0, {'J01': -67.506}, {'J01': 8}, {'J01': 37}, 
455.0, {'J01': -73.75}, {'J01': 9}, {'J01': 40}, 
460.0, {'J01': -76.932}, {'J01': 9}, {'J01': 37}, 
465.0, {'J01': -71.137}, {'J01': 5}, {'J01': 27}, 
470.0, {'J01': -63.984}, {'J01': 4}, {'J01': 20}, 
475.0, {'J01': -47.438}, {'J01': 4}, {'J01': 22}, 
480.0, {'J01': -40.517}, {'J01': 6}, {'J01': 28}, 
485.0, {'J01': -66.33000000000001}, {'J01': 8}, {'J01': 34}, 
490.0, {'J01': -72.069}, {'J01': 8}, {'J01': 33}, 
495.0, {'J01': -86.05199999999999}, {'J01': 8}, {'J01': 37}, 
500.0, {'J01': -78.694}, {'J01': 8}, {'J01': 34}, 
505.0, {'J01': -70.688}, {'J01': 8}, {'J01': 34}, 
510.0, {'J01': -80.404}, {'J01': 9}, {'J01': 35}, 
515.0, {'J01': -77.58000000000001}, {'J01': 9}, {'J01': 34}, 
520.0, {'J01': -70.489}, {'J01': 8}, {'J01': 30}, 
525.0, {'J01': -67.756}, {'J01': 8}, {'J01': 26}, 
530.0, {'J01': -79.211}, {'J01': 8}, {'J01': 22}, 
535.0, {'J01': -72.12}, {'J01': 8}, {'J01': 18}, 
540.0, {'J01': -42.591}, {'J01': 7}, {'J01': 17}, 
545.0, {'J01': -53.681999999999995}, {'J01': 8}, {'J01': 25}, 
550.0, {'J01': -51.585}, {'J01': 8}, {'J01': 34}, 
555.0, {'J01': -69.949}, {'J01': 8}, {'J01': 40}, 
560.0, {'J01': -79.398}, {'J01': 8}, {'J01': 42}, 
565.0, {'J01': -94.768}, {'J01': 8}, {'J01': 37}, 
570.0, {'J01': -68.60300000000001}, {'J01': 5}, {'J01': 27}, 
575.0, {'J01': -42.432}, {'J01': 4}, {'J01': 25}, 
580.0, {'J01': -55.324}, {'J01': 4}, {'J01': 31}, 
585.0, {'J01': -60.239000000000004}, {'J01': 6}, {'J01': 31}, 
590.0, {'J01': -61.506}, {'J01': 7}, {'J01': 31}, 
595.0, {'J01': -52.347}, {'J01': 7}, {'J01': 30}, 
600.0, {'J01': -48.989000000000004}, {'J01': 7}, {'J01': 31}, 
605.0, {'J01': -65.97200000000001}, {'J01': 8}, {'J01': 38}, 
610.0, {'J01': -78.512}, {'J01': 8}, {'J01': 40}, 
615.0, {'J01': -76.245}, {'J01': 8}, {'J01': 39}, 
620.0, {'J01': -76.512}, {'J01': 8}, {'J01': 38}, 
625.0, {'J01': -68.245}, {'J01': 7}, {'J01': 31}, 
630.0, {'J01': -75.60300000000001}, {'J01': 7}, {'J01': 34}, 
635.0, {'J01': -74.864}, {'J01': 7}, {'J01': 40}, 
640.0, {'J01': -62.5}, {'J01': 7}, {'J01': 40}, 
645.0, {'J01': -78.131}, {'J01': 8}, {'J01': 42}, 
650.0, {'J01': -78.955}, {'J01': 8}, {'J01': 41}, 
655.0, {'J01': -96.592}, {'J01': 8}, {'J01': 37}, 
660.0, {'J01': -101.126}, {'J01': 8}, {'J01': 39}, 
665.0, {'J01': -84.143}, {'J01': 6}, {'J01': 32}, 
670.0, {'J01': -50.318}, {'J01': 6}, {'J01': 34}, 
675.0, {'J01': -72.483}, {'J01': 6}, {'J01': 40}, 
680.0, {'J01': -82.28399999999999}, {'J01': 7}, {'J01': 46}, 
685.0, {'J01': -94.648}, {'J01': 7}, {'J01': 46}, 
690.0, {'J01': -74.489}, {'J01': 5}, {'J01': 34}, 
695.0, {'J01': -40.426}, {'J01': 5}, {'J01': 31}, 
700.0, {'J01': -58.881}, {'J01': 5}, {'J01': 34}, 
705.0, {'J01': -61.881}, {'J01': 7}, {'J01': 37}, 
710.0, {'J01': -71.33000000000001}, {'J01': 8}, {'J01': 39}, 
715.0, {'J01': -74.688}, {'J01': 8}, {'J01': 38}, 
720.0, {'J01': -59.057}, {'J01': 8}, {'J01': 36}, 
725.0, {'J01': -73.33000000000001}, {'J01': 8}, {'J01': 41}, 
730.0, {'J01': -61.96600000000001}, {'J01': 8}, {'J01': 42}, 
735.0, {'J01': -59.875}, {'J01': 8}, {'J01': 43}, 
740.0, {'J01': -73.33000000000001}, {'J01': 8}, {'J01': 41}, 
745.0, {'J01': -64.148}, {'J01': 7}, {'J01': 38}, 
