5.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
10.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
15.0, {'J10': 0, 'J11': -4.0, 'J12': -0.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': -5.0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, 
20.0, {'J10': 0, 'J11': -14.0, 'J12': -10.5, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 1, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
25.0, {'J10': -1.0, 'J11': -25.0, 'J12': 0, 'J13': -10.0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 0, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 0, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
30.0, {'J10': -11.0, 'J11': -45.0, 'J12': -0.5, 'J13': -51.5, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
35.0, {'J10': -23.5, 'J11': -70.0, 'J12': -10.5, 'J13': -123.0, 'cluster3106249630_3106249631_J60_J61_#5more': -3.0}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 2, 'J11': 3, 'J12': 1, 'J13': 9, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
40.0, {'J10': -43.5, 'J11': -100.0, 'J12': -20.5, 'J13': -222.0, 'cluster3106249630_3106249631_J60_J61_#5more': -42.5}, {'J10': 1, 'J11': 2, 'J12': 1, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 2, 'J11': 3, 'J12': 1, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
45.0, {'J10': -63.5, 'J11': -130.0, 'J12': -34.5, 'J13': -332.5, 'cluster3106249630_3106249631_J60_J61_#5more': -102.0}, {'J10': 1, 'J11': 2, 'J12': 2, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 2, 'J11': 3, 'J12': 4, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, 
50.0, {'J10': -85.5, 'J11': -160.0, 'J12': -66.0, 'J13': -456.0, 'cluster3106249630_3106249631_J60_J61_#5more': -204.0}, {'J10': 2, 'J11': 2, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 3, 'J11': 3, 'J12': 4, 'J13': 13, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, 
55.0, {'J10': -123.0, 'J11': -190.0, 'J12': -95.5, 'J13': -590.5, 'cluster3106249630_3106249631_J60_J61_#5more': -340.0}, {'J10': 3, 'J11': 2, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, {'J10': 5, 'J11': 3, 'J12': 5, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, 
60.0, {'J10': -52.0, 'J11': -222.0, 'J12': -121.5, 'J13': -730.5, 'cluster3106249630_3106249631_J60_J61_#5more': -454.5}, {'J10': 2, 'J11': 2, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 4, 'J11': 4, 'J12': 6, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, 
65.0, {'J10': -92.0, 'J11': -262.0, 'J12': -74.0, 'J13': -875.0, 'cluster3106249630_3106249631_J60_J61_#5more': -648.5}, {'J10': 2, 'J11': 2, 'J12': 3, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, {'J10': 4, 'J11': 4, 'J12': 7, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
70.0, {'J10': -22.5, 'J11': -302.0, 'J12': -89.5, 'J13': -1035.0, 'cluster3106249630_3106249631_J60_J61_#5more': -877.5}, {'J10': 1, 'J11': 2, 'J12': 2, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 1, 'J11': 4, 'J12': 6, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, 
75.0, {'J10': -36.5, 'J11': -101.0, 'J12': -41.0, 'J13': -727.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1147.5}, {'J10': 2, 'J11': 1, 'J12': 2, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 3, 'J11': 1, 'J12': 4, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 29}, 
80.0, {'J10': 0, 'J11': 0, 'J12': -54.0, 'J13': -664.0, 'cluster3106249630_3106249631_J60_J61_#5more': -1440.5}, {'J10': 0, 'J11': 0, 'J12': 2, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 13}, {'J10': 0, 'J11': 0, 'J12': 5, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 30}, 
85.0, {'J10': -2.0, 'J11': -3.5, 'J12': -106.0, 'J13': -795.5, 'cluster3106249630_3106249631_J60_J61_#5more': -1751.0}, {'J10': 1, 'J11': 1, 'J12': 2, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 15}, {'J10': 1, 'J11': 1, 'J12': 6, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 33}, 
