85.0, {'J10': -4.0, 'J11': -464.0, 'J12': -267.5, 'J13': -846.0, 'cluster3106249630_3106249631_J60_J61_#5more': -2266.5}, {'J10': 1, 'J11': 4, 'J12': 9, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, {'J10': 1, 'J11': 6, 'J12': 13, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 35}, 
90.0, {'J10': -14.0, 'J11': -524.0, 'J12': -378.5, 'J13': -998.5, 'cluster3106249630_3106249631_J60_J61_#5more': -2624.0}, {'J10': 1, 'J11': 4, 'J12': 10, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 20}, {'J10': 1, 'J11': 6, 'J12': 13, 'J13': 17, 'cluster3106249630_3106249631_J60_J61_#5more': 38}, 
95.0, {'J10': -24.0, 'J11': -586.0, 'J12': -512.0, 'J13': -1169.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3011.0}, {'J10': 1, 'J11': 5, 'J12': 12, 'J13': 9, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, {'J10': 1, 'J11': 7, 'J12': 15, 'J13': 18, 'cluster3106249630_3106249631_J60_J61_#5more': 41}, 
100.0, {'J10': -34.0, 'J11': -656.0, 'J12': -663.0, 'J13': -1353.5, 'cluster3106249630_3106249631_J60_J61_#5more': -3427.5}, {'J10': 1, 'J11': 5, 'J12': 12, 'J13': 10, 'cluster3106249630_3106249631_J60_J61_#5more': 24}, {'J10': 1, 'J11': 7, 'J12': 16, 'J13': 19, 'cluster3106249630_3106249631_J60_J61_#5more': 43}, 
105.0, {'J10': -47.0, 'J11': -726.0, 'J12': -826.5, 'J13': -1550.0, 'cluster3106249630_3106249631_J60_J61_#5more': -3865.0}, {'J10': 2, 'J11': 5, 'J12': 13, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 2, 'J11': 7, 'J12': 18, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 45}, 
110.0, {'J10': -16.0, 'J11': -801.0, 'J12': -1008.0, 'J13': -1760.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4242.5}, {'J10': 1, 'J11': 6, 'J12': 14, 'J13': 11, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, {'J10': 2, 'J11': 8, 'J12': 19, 'J13': 21, 'cluster3106249630_3106249631_J60_J61_#5more': 43}, 
115.0, {'J10': 0, 'J11': -881.0, 'J12': -1199.5, 'J13': -1973.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4678.5}, {'J10': 0, 'J11': 6, 'J12': 14, 'J13': 12, 'cluster3106249630_3106249631_J60_J61_#5more': 27}, {'J10': 0, 'J11': 8, 'J12': 20, 'J13': 22, 'cluster3106249630_3106249631_J60_J61_#5more': 45}, 
120.0, {'J10': -3.5, 'J11': -961.0, 'J12': -1404.5, 'J13': -2200.0, 'cluster3106249630_3106249631_J60_J61_#5more': -4969.5}, {'J10': 1, 'J11': 6, 'J12': 14, 'J13': 14, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, {'J10': 1, 'J11': 8, 'J12': 22, 'J13': 24, 'cluster3106249630_3106249631_J60_J61_#5more': 45}, 
125.0, {'J10': -13.5, 'J11': -1041.0, 'J12': -1562.5, 'J13': -2443.0, 'cluster3106249630_3106249631_J60_J61_#5more': -5419.5}, {'J10': 1, 'J11': 6, 'J12': 15, 'J13': 15, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, {'J10': 1, 'J11': 8, 'J12': 26, 'J13': 25, 'cluster3106249630_3106249631_J60_J61_#5more': 45}, 
130.0, {'J10': -23.5, 'J11': -1128.5, 'J12': -1820.0, 'J13': -2697.5, 'cluster3106249630_3106249631_J60_J61_#5more': -5688.5}, {'J10': 1, 'J11': 8, 'J12': 15, 'J13': 16, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, {'J10': 1, 'J11': 10, 'J12': 28, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 44}, 
