5.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.0), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.0)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
10.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.0), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.0)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
15.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.0), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.0)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
20.0, {'J10': np.float32(-0.0), 'J11': np.float32(-0.0), 'J12': np.float32(-0.0), 'J13': np.float32(-0.012025902), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.0)}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
25.0, {'J10': np.float32(-0.005550416), 'J11': np.float32(-0.0), 'J12': np.float32(-0.004625347), 'J13': np.float32(-0.04255319), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.004625347)}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
30.0, {'J10': np.float32(-0.018501388), 'J11': np.float32(-0.0), 'J12': np.float32(-0.024976874), 'J13': np.float32(-0.07030527), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.009250694)}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 0, 'J12': 2, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
35.0, {'J10': np.float32(-0.026827011), 'J11': np.float32(-0.0), 'J12': np.float32(-0.037002776), 'J13': np.float32(0.051803887), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.012950972)}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 2, 'J11': 0, 'J12': 2, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
40.0, {'J10': np.float32(-0.037002776), 'J11': np.float32(-0.008325624), 'J12': np.float32(-0.037002776), 'J13': np.float32(0.03237743), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.019426458)}, {'J10': 1, 'J11': 1, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 2, 'J11': 1, 'J12': 2, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
45.0, {'J10': np.float32(-0.037002776), 'J11': np.float32(-0.018501388), 'J12': np.float32(-0.049953748), 'J13': np.float32(-0.04440333), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.055504162)}, {'J10': 1, 'J11': 1, 'J12': 2, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 2, 'J11': 1, 'J12': 4, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
50.0, {'J10': np.float32(-0.06567992), 'J11': np.float32(0.026827011), 'J12': np.float32(-0.084181316), 'J13': np.float32(-0.055504162), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.08510638)}, {'J10': 3, 'J11': 0, 'J12': 3, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 5, 'J11': 0, 'J12': 6, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
55.0, {'J10': np.float32(-0.10638298), 'J11': np.float32(-0.0), 'J12': np.float32(-0.12580943), 'J13': np.float32(-0.06105458), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.040703055)}, {'J10': 4, 'J11': 0, 'J12': 5, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 6, 'J11': 0, 'J12': 9, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
