5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -9.5}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -42.5}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -86.0}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -113.0}, {'J01': 2}, {'J01': 5}, 
35.0, {'J01': -140.0}, {'J01': 2}, {'J01': 8}, 
40.0, {'J01': -202.5}, {'J01': 3}, {'J01': 8}, 
45.0, {'J01': -292.5}, {'J01': 4}, {'J01': 12}, 
50.0, {'J01': -424.0}, {'J01': 4}, {'J01': 16}, 
55.0, {'J01': -587.5}, {'J01': 4}, {'J01': 17}, 
60.0, {'J01': -758.0}, {'J01': 4}, {'J01': 18}, 
65.0, {'J01': -947.0}, {'J01': 4}, {'J01': 21}, 
70.0, {'J01': -782.0}, {'J01': 3}, {'J01': 14}, 
75.0, {'J01': -937.0}, {'J01': 3}, {'J01': 21}, 
80.0, {'J01': -1121.5}, {'J01': 3}, {'J01': 22}, 
85.0, {'J01': -1306.5}, {'J01': 4}, {'J01': 22}, 
90.0, {'J01': -1526.5}, {'J01': 4}, {'J01': 22}, 
95.0, {'J01': -1751.0}, {'J01': 4}, {'J01': 23}, 
100.0, {'J01': -1866.0}, {'J01': 4}, {'J01': 21}, 
105.0, {'J01': -1876.0}, {'J01': 3}, {'J01': 25}, 
110.0, {'J01': -2158.5}, {'J01': 5}, {'J01': 36}, 
115.0, {'J01': -2400.0}, {'J01': 5}, {'J01': 34}, 
120.0, {'J01': -2616.0}, {'J01': 4}, {'J01': 30}, 
125.0, {'J01': -2713.0}, {'J01': 4}, {'J01': 24}, 
130.0, {'J01': -2921.0}, {'J01': 4}, {'J01': 23}, 
135.0, {'J01': -3154.5}, {'J01': 4}, {'J01': 24}, 
140.0, {'J01': -2753.0}, {'J01': 4}, {'J01': 23}, 
145.0, {'J01': -2799.0}, {'J01': 4}, {'J01': 26}, 
150.0, {'J01': -3008.5}, {'J01': 4}, {'J01': 26}, 
155.0, {'J01': -3227.0}, {'J01': 4}, {'J01': 24}, 
160.0, {'J01': -3403.5}, {'J01': 5}, {'J01': 22}, 
165.0, {'J01': -3623.5}, {'J01': 5}, {'J01': 22}, 
170.0, {'J01': -3846.5}, {'J01': 5}, {'J01': 23}, 
175.0, {'J01': -4080.0}, {'J01': 6}, {'J01': 25}, 
180.0, {'J01': -4330.0}, {'J01': 6}, {'J01': 25}, 
185.0, {'J01': -4584.0}, {'J01': 7}, {'J01': 27}, 
190.0, {'J01': -4854.0}, {'J01': 7}, {'J01': 27}, 
195.0, {'J01': -5124.0}, {'J01': 7}, {'J01': 27}, 
200.0, {'J01': -5396.0}, {'J01': 7}, {'J01': 28}, 
205.0, {'J01': -4617.0}, {'J01': 7}, {'J01': 27}, 
210.0, {'J01': -4164.5}, {'J01': 7}, {'J01': 26}, 
215.0, {'J01': -4408.5}, {'J01': 7}, {'J01': 27}, 
220.0, {'J01': -4686.0}, {'J01': 7}, {'J01': 30}, 
225.0, {'J01': -4986.0}, {'J01': 7}, {'J01': 30}, 
230.0, {'J01': -5286.0}, {'J01': 7}, {'J01': 30}, 
235.0, {'J01': -3718.5}, {'J01': 7}, {'J01': 26}, 
240.0, {'J01': -3611.5}, {'J01': 7}, {'J01': 27}, 
245.0, {'J01': -3904.0}, {'J01': 7}, {'J01': 35}, 
250.0, {'J01': -4275.5}, {'J01': 7}, {'J01': 43}, 
255.0, {'J01': -4726.5}, {'J01': 7}, {'J01': 51}, 
260.0, {'J01': -4953.5}, {'J01': 7}, {'J01': 44}, 
265.0, {'J01': -5003.0}, {'J01': 7}, {'J01': 34}, 
270.0, {'J01': -5186.0}, {'J01': 7}, {'J01': 31}, 
275.0, {'J01': -5307.5}, {'J01': 7}, {'J01': 28}, 
280.0, {'J01': -4427.0}, {'J01': 7}, {'J01': 23}, 
285.0, {'J01': -4599.0}, {'J01': 7}, {'J01': 26}, 
290.0, {'J01': -4873.0}, {'J01': 7}, {'J01': 31}, 
295.0, {'J01': -5205.5}, {'J01': 7}, {'J01': 39}, 
300.0, {'J01': -5419.0}, {'J01': 7}, {'J01': 36}, 
305.0, {'J01': -5594.5}, {'J01': 7}, {'J01': 29}, 
310.0, {'J01': -5836.5}, {'J01': 7}, {'J01': 27}, 
315.0, {'J01': -6109.5}, {'J01': 7}, {'J01': 29}, 
320.0, {'J01': -5372.5}, {'J01': 7}, {'J01': 27}, 
325.0, {'J01': -5127.5}, {'J01': 7}, {'J01': 29}, 
330.0, {'J01': -5373.0}, {'J01': 7}, {'J01': 33}, 
335.0, {'J01': -5660.0}, {'J01': 7}, {'J01': 32}, 
340.0, {'J01': -5879.0}, {'J01': 7}, {'J01': 28}, 
345.0, {'J01': -6124.0}, {'J01': 7}, {'J01': 27}, 
350.0, {'J01': -5608.0}, {'J01': 7}, {'J01': 22}, 
355.0, {'J01': -5733.0}, {'J01': 7}, {'J01': 23}, 
360.0, {'J01': -5945.0}, {'J01': 7}, {'J01': 27}, 
365.0, {'J01': -6168.0}, {'J01': 7}, {'J01': 25}, 
370.0, {'J01': -6327.0}, {'J01': 7}, {'J01': 21}, 
375.0, {'J01': -6537.0}, {'J01': 7}, {'J01': 21}, 
380.0, {'J01': -6747.0}, {'J01': 7}, {'J01': 21}, 
385.0, {'J01': -6960.0}, {'J01': 7}, {'J01': 22}, 
390.0, {'J01': -7182.0}, {'J01': 7}, {'J01': 23}, 
395.0, {'J01': -6855.0}, {'J01': 7}, {'J01': 22}, 
400.0, {'J01': -5426.0}, {'J01': 7}, {'J01': 22}, 
405.0, {'J01': -5358.0}, {'J01': 7}, {'J01': 22}, 
410.0, {'J01': -5558.5}, {'J01': 7}, {'J01': 24}, 
415.0, {'J01': -5725.0}, {'J01': 7}, {'J01': 23}, 
420.0, {'J01': -5960.0}, {'J01': 7}, {'J01': 27}, 
425.0, {'J01': -6094.5}, {'J01': 7}, {'J01': 25}, 
430.0, {'J01': -6237.5}, {'J01': 7}, {'J01': 21}, 
435.0, {'J01': -6431.5}, {'J01': 7}, {'J01': 22}, 
440.0, {'J01': -6651.5}, {'J01': 7}, {'J01': 22}, 
445.0, {'J01': -6871.5}, {'J01': 7}, {'J01': 22}, 
450.0, {'J01': -7093.0}, {'J01': 7}, {'J01': 23}, 
455.0, {'J01': -7103.5}, {'J01': 7}, {'J01': 19}, 
460.0, {'J01': -6805.0}, {'J01': 7}, {'J01': 19}, 
465.0, {'J01': -6665.5}, {'J01': 7}, {'J01': 19}, 
470.0, {'J01': -6845.0}, {'J01': 7}, {'J01': 23}, 
475.0, {'J01': -6983.0}, {'J01': 7}, {'J01': 21}, 
480.0, {'J01': -7134.0}, {'J01': 7}, {'J01': 20}, 
485.0, {'J01': -7316.0}, {'J01': 7}, {'J01': 21}, 
490.0, {'J01': -7448.0}, {'J01': 7}, {'J01': 21}, 
495.0, {'J01': -7664.5}, {'J01': 7}, {'J01': 26}, 
500.0, {'J01': -7939.5}, {'J01': 7}, {'J01': 30}, 
505.0, {'J01': -8045.5}, {'J01': 7}, {'J01': 22}, 
510.0, {'J01': -8203.0}, {'J01': 7}, {'J01': 21}, 
515.0, {'J01': -8417.5}, {'J01': 7}, {'J01': 23}, 
520.0, {'J01': -8494.5}, {'J01': 7}, {'J01': 22}, 
525.0, {'J01': -8690.5}, {'J01': 7}, {'J01': 24}, 
530.0, {'J01': -8943.0}, {'J01': 7}, {'J01': 27}, 
535.0, {'J01': -9129.0}, {'J01': 7}, {'J01': 25}, 
540.0, {'J01': -9289.0}, {'J01': 7}, {'J01': 22}, 
545.0, {'J01': -9487.0}, {'J01': 7}, {'J01': 21}, 
550.0, {'J01': -9697.0}, {'J01': 7}, {'J01': 21}, 
555.0, {'J01': -9909.0}, {'J01': 7}, {'J01': 22}, 
560.0, {'J01': -10129.0}, {'J01': 7}, {'J01': 22}, 
565.0, {'J01': -10349.0}, {'J01': 7}, {'J01': 22}, 
570.0, {'J01': -9766.5}, {'J01': 7}, {'J01': 19}, 
575.0, {'J01': -9783.5}, {'J01': 7}, {'J01': 19}, 
580.0, {'J01': -9970.0}, {'J01': 7}, {'J01': 23}, 
585.0, {'J01': -10178.5}, {'J01': 7}, {'J01': 26}, 
590.0, {'J01': -10395.5}, {'J01': 7}, {'J01': 24}, 
595.0, {'J01': -10492.5}, {'J01': 7}, {'J01': 20}, 
600.0, {'J01': -10660.0}, {'J01': 7}, {'J01': 19}, 
605.0, {'J01': -10862.0}, {'J01': 7}, {'J01': 23}, 
610.0, {'J01': -11082.5}, {'J01': 7}, {'J01': 24}, 
615.0, {'J01': -11265.5}, {'J01': 7}, {'J01': 21}, 
620.0, {'J01': -11459.0}, {'J01': 7}, {'J01': 21}, 
625.0, {'J01': -11669.5}, {'J01': 7}, {'J01': 22}, 
630.0, {'J01': -11352.5}, {'J01': 7}, {'J01': 21}, 
635.0, {'J01': -11489.5}, {'J01': 7}, {'J01': 27}, 
640.0, {'J01': -11729.0}, {'J01': 7}, {'J01': 28}, 
645.0, {'J01': -11945.0}, {'J01': 7}, {'J01': 28}, 
