5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -9.8, 'top_mgr': 3}, {'J01': 3}, {'J01': 4}, 
20.0, {'J01': -18.8, 'top_mgr': 4}, {'J01': 4}, {'J01': 5}, 
25.0, {'J01': -28.4, 'top_mgr': 2}, {'J01': 4}, {'J01': 6}, 
30.0, {'J01': -36.400000000000006, 'top_mgr': 2}, {'J01': 4}, {'J01': 6}, 
35.0, {'J01': -28.600000000000005, 'top_mgr': 3}, {'J01': 3}, {'J01': 6}, 
40.0, {'J01': -30.000000000000004, 'top_mgr': 4}, {'J01': 3}, {'J01': 9}, 
45.0, {'J01': -55.400000000000006, 'top_mgr': 3}, {'J01': 4}, {'J01': 14}, 
50.0, {'J01': -93.80000000000001, 'top_mgr': 1}, {'J01': 7}, {'J01': 24}, 
55.0, {'J01': -103.20000000000002, 'top_mgr': 8}, {'J01': 6}, {'J01': 22}, 
60.0, {'J01': -88.20000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 17}, 
65.0, {'J01': -109.60000000000002, 'top_mgr': 8}, {'J01': 4}, {'J01': 16}, 
70.0, {'J01': -123.20000000000002, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
75.0, {'J01': -144.39999999999998, 'top_mgr': 3}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -186.39999999999998, 'top_mgr': 2}, {'J01': 3}, {'J01': 20}, 
85.0, {'J01': -175.8, 'top_mgr': 4}, {'J01': 6}, {'J01': 25}, 
90.0, {'J01': -168.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
95.0, {'J01': -177.6, 'top_mgr': 5}, {'J01': 8}, {'J01': 31}, 
100.0, {'J01': -205.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
105.0, {'J01': -191.00000000000003, 'top_mgr': 7}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -155.20000000000002, 'top_mgr': 12}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -160.60000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 17}, 
120.0, {'J01': -135.60000000000002, 'top_mgr': 8}, {'J01': 4}, {'J01': 13}, 
125.0, {'J01': -163.60000000000002, 'top_mgr': 5}, {'J01': 4}, {'J01': 13}, 
130.0, {'J01': -106.6, 'top_mgr': 9}, {'J01': 3}, {'J01': 11}, 
135.0, {'J01': -123.4, 'top_mgr': 3}, {'J01': 3}, {'J01': 15}, 
140.0, {'J01': -131.8, 'top_mgr': 4}, {'J01': 6}, {'J01': 22}, 
145.0, {'J01': -167.00000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 29}, 
150.0, {'J01': -208.00000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 32}, 
155.0, {'J01': -253.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
160.0, {'J01': -219.20000000000005, 'top_mgr': 13}, {'J01': 6}, {'J01': 25}, 
165.0, {'J01': -210.39999999999998, 'top_mgr': 10}, {'J01': 4}, {'J01': 20}, 
170.0, {'J01': -231.60000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 16}, 
175.0, {'J01': -211.0, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
180.0, {'J01': -226.0, 'top_mgr': 3}, {'J01': 4}, {'J01': 16}, 
185.0, {'J01': -259.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 17}, 
190.0, {'J01': -186.0, 'top_mgr': 6}, {'J01': 7}, {'J01': 23}, 
195.0, {'J01': -189.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 28}, 
200.0, {'J01': -177.4, 'top_mgr': 4}, {'J01': 8}, {'J01': 30}, 
205.0, {'J01': -186.8, 'top_mgr': 7}, {'J01': 7}, {'J01': 29}, 
210.0, {'J01': -179.4, 'top_mgr': 9}, {'J01': 5}, {'J01': 22}, 
215.0, {'J01': -195.0, 'top_mgr': 10}, {'J01': 4}, {'J01': 17}, 
220.0, {'J01': -173.60000000000002, 'top_mgr': 8}, {'J01': 4}, {'J01': 13}, 
225.0, {'J01': -99.00000000000001, 'top_mgr': 6}, {'J01': 4}, {'J01': 13}, 
230.0, {'J01': -96.00000000000001, 'top_mgr': 4}, {'J01': 4}, {'J01': 14}, 
235.0, {'J01': -132.20000000000002, 'top_mgr': 1}, {'J01': 6}, {'J01': 24}, 
240.0, {'J01': -149.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 32}, 
245.0, {'J01': -190.80000000000004, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
250.0, {'J01': -224.00000000000003, 'top_mgr': 3}, {'J01': 8}, {'J01': 34}, 
255.0, {'J01': -215.20000000000002, 'top_mgr': 8}, {'J01': 7}, {'J01': 30}, 
260.0, {'J01': -208.8, 'top_mgr': 9}, {'J01': 5}, {'J01': 23}, 
265.0, {'J01': -213.4, 'top_mgr': 7}, {'J01': 4}, {'J01': 18}, 
270.0, {'J01': -209.4, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
275.0, {'J01': -186.20000000000002, 'top_mgr': 6}, {'J01': 4}, {'J01': 14}, 
280.0, {'J01': -179.4, 'top_mgr': 5}, {'J01': 4}, {'J01': 14}, 
285.0, {'J01': -119.6, 'top_mgr': 6}, {'J01': 3}, {'J01': 13}, 
290.0, {'J01': -123.2, 'top_mgr': 4}, {'J01': 3}, {'J01': 16}, 
295.0, {'J01': -119.60000000000001, 'top_mgr': 3}, {'J01': 6}, {'J01': 26}, 
300.0, {'J01': -162.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
305.0, {'J01': -163.60000000000002, 'top_mgr': 8}, {'J01': 7}, {'J01': 28}, 
310.0, {'J01': -129.4, 'top_mgr': 11}, {'J01': 5}, {'J01': 20}, 
315.0, {'J01': -148.60000000000002, 'top_mgr': 6}, {'J01': 4}, {'J01': 17}, 
320.0, {'J01': -150.0, 'top_mgr': 6}, {'J01': 4}, {'J01': 13}, 
325.0, {'J01': -161.40000000000003, 'top_mgr': 9}, {'J01': 4}, {'J01': 15}, 
330.0, {'J01': -147.20000000000002, 'top_mgr': 5}, {'J01': 4}, {'J01': 16}, 
335.0, {'J01': -171.6, 'top_mgr': 5}, {'J01': 4}, {'J01': 20}, 
340.0, {'J01': -149.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 24}, 
345.0, {'J01': -146.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 30}, 
350.0, {'J01': -188.4, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
355.0, {'J01': -199.2, 'top_mgr': 5}, {'J01': 7}, {'J01': 31}, 
360.0, {'J01': -163.60000000000002, 'top_mgr': 11}, {'J01': 5}, {'J01': 20}, 
365.0, {'J01': -179.20000000000002, 'top_mgr': 11}, {'J01': 4}, {'J01': 17}, 
370.0, {'J01': -158.00000000000003, 'top_mgr': 7}, {'J01': 4}, {'J01': 13}, 
375.0, {'J01': -183.00000000000003, 'top_mgr': 5}, {'J01': 4}, {'J01': 14}, 
380.0, {'J01': -156.8, 'top_mgr': 4}, {'J01': 4}, {'J01': 14}, 
385.0, {'J01': -117.60000000000001, 'top_mgr': 4}, {'J01': 4}, {'J01': 19}, 
390.0, {'J01': -147.59999999999997, 'top_mgr': 6}, {'J01': 6}, {'J01': 24}, 
395.0, {'J01': -113.8, 'top_mgr': 5}, {'J01': 8}, {'J01': 27}, 
400.0, {'J01': -146.79999999999998, 'top_mgr': 3}, {'J01': 8}, {'J01': 28}, 
405.0, {'J01': -149.6, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
410.0, {'J01': -164.19999999999996, 'top_mgr': 3}, {'J01': 8}, {'J01': 32}, 
415.0, {'J01': -142.8, 'top_mgr': 8}, {'J01': 7}, {'J01': 27}, 
420.0, {'J01': -142.2, 'top_mgr': 10}, {'J01': 5}, {'J01': 21}, 
425.0, {'J01': -145.0, 'top_mgr': 10}, {'J01': 4}, {'J01': 16}, 
430.0, {'J01': -138.60000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 13}, 
435.0, {'J01': -134.20000000000002, 'top_mgr': 4}, {'J01': 4}, {'J01': 14}, 
440.0, {'J01': -142.4, 'top_mgr': 2}, {'J01': 4}, {'J01': 20}, 
445.0, {'J01': -164.6, 'top_mgr': 5}, {'J01': 7}, {'J01': 23}, 
450.0, {'J01': -144.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 24}, 
455.0, {'J01': -126.60000000000001, 'top_mgr': 4}, {'J01': 8}, {'J01': 27}, 
460.0, {'J01': -105.60000000000001, 'top_mgr': 7}, {'J01': 7}, {'J01': 26}, 
465.0, {'J01': -107.00000000000001, 'top_mgr': 8}, {'J01': 5}, {'J01': 22}, 
470.0, {'J01': -128.8, 'top_mgr': 10}, {'J01': 4}, {'J01': 16}, 
475.0, {'J01': -116.00000000000001, 'top_mgr': 8}, {'J01': 4}, {'J01': 13}, 
480.0, {'J01': -147.20000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 15}, 
485.0, {'J01': -115.8, 'top_mgr': 9}, {'J01': 4}, {'J01': 12}, 
490.0, {'J01': -114.4, 'top_mgr': 3}, {'J01': 3}, {'J01': 15}, 
495.0, {'J01': -125.39999999999999, 'top_mgr': 2}, {'J01': 6}, {'J01': 24}, 
500.0, {'J01': -147.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 29}, 
505.0, {'J01': -163.0, 'top_mgr': 7}, {'J01': 7}, {'J01': 28}, 
510.0, {'J01': -175.20000000000002, 'top_mgr': 6}, {'J01': 5}, {'J01': 25}, 
515.0, {'J01': -198.60000000000002, 'top_mgr': 6}, {'J01': 4}, {'J01': 21}, 
520.0, {'J01': -209.40000000000003, 'top_mgr': 4}, {'J01': 4}, {'J01': 18}, 
525.0, {'J01': -232.80000000000004, 'top_mgr': 3}, {'J01': 4}, {'J01': 23}, 
530.0, {'J01': -268.0, 'top_mgr': 2}, {'J01': 7}, {'J01': 33}, 
535.0, {'J01': -266.80000000000007, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
540.0, {'J01': -304.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
545.0, {'J01': -284.00000000000006, 'top_mgr': 5}, {'J01': 8}, {'J01': 34}, 
550.0, {'J01': -324.6, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
555.0, {'J01': -367.6, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
560.0, {'J01': -409.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
565.0, {'J01': -403.40000000000003, 'top_mgr': 7}, {'J01': 7}, {'J01': 34}, 
