5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -13.600000000000001, 'top_mgr': 2}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': -21.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -37.8, 'top_mgr': 1}, {'J01': 4}, {'J01': 7}, 
30.0, {'J01': -39.400000000000006, 'top_mgr': 3}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -58.60000000000001, 'top_mgr': 1}, {'J01': 2}, {'J01': 9}, 
40.0, {'J01': -80.80000000000001, 'top_mgr': 2}, {'J01': 4}, {'J01': 14}, 
45.0, {'J01': -86.2, 'top_mgr': 2}, {'J01': 5}, {'J01': 19}, 
50.0, {'J01': -96.4, 'top_mgr': 5}, {'J01': 8}, {'J01': 23}, 
55.0, {'J01': -69.80000000000003, 'top_mgr': 9}, {'J01': 6}, {'J01': 20}, 
60.0, {'J01': -91.40000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 16}, 
65.0, {'J01': -111.60000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 13}, 
70.0, {'J01': -105.60000000000002, 'top_mgr': 7}, {'J01': 4}, {'J01': 12}, 
75.0, {'J01': -150.6, 'top_mgr': 0}, {'J01': 4}, {'J01': 22}, 
80.0, {'J01': -160.39999999999998, 'top_mgr': 4}, {'J01': 6}, {'J01': 23}, 
85.0, {'J01': -185.79999999999998, 'top_mgr': 6}, {'J01': 8}, {'J01': 27}, 
90.0, {'J01': -130.4, 'top_mgr': 4}, {'J01': 8}, {'J01': 27}, 
95.0, {'J01': -175.20000000000002, 'top_mgr': 0}, {'J01': 8}, {'J01': 34}, 
100.0, {'J01': -150.8, 'top_mgr': 7}, {'J01': 7}, {'J01': 28}, 
105.0, {'J01': -118.39999999999999, 'top_mgr': 11}, {'J01': 5}, {'J01': 20}, 
110.0, {'J01': -125.39999999999999, 'top_mgr': 12}, {'J01': 4}, {'J01': 14}, 
115.0, {'J01': -98.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 12}, 
120.0, {'J01': -123.6, 'top_mgr': 6}, {'J01': 4}, {'J01': 13}, 
125.0, {'J01': -96.4, 'top_mgr': 7}, {'J01': 4}, {'J01': 11}, 
130.0, {'J01': -128.4, 'top_mgr': 1}, {'J01': 4}, {'J01': 17}, 
135.0, {'J01': -107.39999999999999, 'top_mgr': 7}, {'J01': 6}, {'J01': 20}, 
