5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -10.0}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -67.0}, {'J01': 2}, {'J01': 8}, 
25.0, {'J01': -106.5}, {'J01': 3}, {'J01': 7}, 
30.0, {'J01': -137.5}, {'J01': 4}, {'J01': 7}, 
35.0, {'J01': -131.5}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -205.5}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': -250.0}, {'J01': 3}, {'J01': 13}, 
50.0, {'J01': -254.0}, {'J01': 5}, {'J01': 20}, 
55.0, {'J01': -418.0}, {'J01': 7}, {'J01': 24}, 
60.0, {'J01': -659.5}, {'J01': 8}, {'J01': 30}, 
65.0, {'J01': -718.5}, {'J01': 7}, {'J01': 29}, 
70.0, {'J01': -514.0}, {'J01': 5}, {'J01': 20}, 
75.0, {'J01': -511.5}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -701.0}, {'J01': 4}, {'J01': 26}, 
85.0, {'J01': -896.0}, {'J01': 7}, {'J01': 28}, 
90.0, {'J01': -958.0}, {'J01': 8}, {'J01': 27}, 
95.0, {'J01': -1096.5}, {'J01': 8}, {'J01': 27}, 
100.0, {'J01': -1372.5}, {'J01': 8}, {'J01': 30}, 
105.0, {'J01': -1269.0}, {'J01': 7}, {'J01': 27}, 
110.0, {'J01': -853.5}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -802.5}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -960.5}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -1088.5}, {'J01': 6}, {'J01': 28}, 
130.0, {'J01': -1322.0}, {'J01': 8}, {'J01': 32}, 
135.0, {'J01': -1574.0}, {'J01': 8}, {'J01': 33}, 
140.0, {'J01': -1913.5}, {'J01': 8}, {'J01': 38}, 
145.0, {'J01': -1758.0}, {'J01': 7}, {'J01': 34}, 
150.0, {'J01': -1201.5}, {'J01': 5}, {'J01': 23}, 
155.0, {'J01': -1177.5}, {'J01': 4}, {'J01': 23}, 
160.0, {'J01': -1416.5}, {'J01': 4}, {'J01': 28}, 
165.0, {'J01': -1460.5}, {'J01': 6}, {'J01': 32}, 
170.0, {'J01': -1586.5}, {'J01': 8}, {'J01': 37}, 
175.0, {'J01': -1943.0}, {'J01': 8}, {'J01': 38}, 
180.0, {'J01': -2328.0}, {'J01': 8}, {'J01': 41}, 
185.0, {'J01': -2280.0}, {'J01': 7}, {'J01': 36}, 
190.0, {'J01': -1451.0}, {'J01': 4}, {'J01': 20}, 
195.0, {'J01': -1536.5}, {'J01': 4}, {'J01': 20}, 
200.0, {'J01': -1665.0}, {'J01': 4}, {'J01': 25}, 
205.0, {'J01': -1317.0}, {'J01': 7}, {'J01': 28}, 
210.0, {'J01': -1160.5}, {'J01': 8}, {'J01': 28}, 
215.0, {'J01': -1446.0}, {'J01': 8}, {'J01': 31}, 
220.0, {'J01': -1761.0}, {'J01': 8}, {'J01': 33}, 
225.0, {'J01': -1599.5}, {'J01': 7}, {'J01': 26}, 
230.0, {'J01': -1053.5}, {'J01': 5}, {'J01': 17}, 
235.0, {'J01': -1032.0}, {'J01': 4}, {'J01': 18}, 
240.0, {'J01': -1223.0}, {'J01': 4}, {'J01': 23}, 
245.0, {'J01': -1137.5}, {'J01': 6}, {'J01': 27}, 
250.0, {'J01': -1016.5}, {'J01': 8}, {'J01': 27}, 
255.0, {'J01': -1290.0}, {'J01': 8}, {'J01': 30}, 
260.0, {'J01': -1598.5}, {'J01': 8}, {'J01': 33}, 
265.0, {'J01': -1365.0}, {'J01': 7}, {'J01': 28}, 
270.0, {'J01': -554.0}, {'J01': 4}, {'J01': 17}, 
275.0, {'J01': -682.5}, {'J01': 4}, {'J01': 17}, 
280.0, {'J01': -863.0}, {'J01': 4}, {'J01': 23}, 
285.0, {'J01': -973.5}, {'J01': 7}, {'J01': 26}, 
290.0, {'J01': -1017.5}, {'J01': 8}, {'J01': 27}, 
295.0, {'J01': -1205.5}, {'J01': 8}, {'J01': 30}, 
300.0, {'J01': -1518.5}, {'J01': 8}, {'J01': 35}, 
305.0, {'J01': -1076.0}, {'J01': 6}, {'J01': 25}, 
310.0, {'J01': -651.0}, {'J01': 4}, {'J01': 17}, 
315.0, {'J01': -647.0}, {'J01': 4}, {'J01': 18}, 
320.0, {'J01': -734.5}, {'J01': 4}, {'J01': 21}, 
