5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -16.6, 'top_mgr': 0}, {'J01': 3}, {'J01': 8}, 
20.0, {'J01': -43.6, 'top_mgr': 0}, {'J01': 4}, {'J01': 11}, 
25.0, {'J01': -70.6, 'top_mgr': 0}, {'J01': 4}, {'J01': 14}, 
30.0, {'J01': -100.0, 'top_mgr': 0}, {'J01': 4}, {'J01': 17}, 
35.0, {'J01': -112.6, 'top_mgr': 2}, {'J01': 5}, {'J01': 20}, 
40.0, {'J01': -135.0, 'top_mgr': 2}, {'J01': 6}, {'J01': 24}, 
45.0, {'J01': -168.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 28}, 
50.0, {'J01': -205.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 31}, 
55.0, {'J01': -248.80000000000004, 'top_mgr': 0}, {'J01': 8}, {'J01': 33}, 
60.0, {'J01': -294.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
65.0, {'J01': -339.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
70.0, {'J01': -297.6000000000001, 'top_mgr': 5}, {'J01': 8}, {'J01': 31}, 
75.0, {'J01': -276.20000000000005, 'top_mgr': 5}, {'J01': 8}, {'J01': 30}, 
80.0, {'J01': -276.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
85.0, {'J01': -299.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
90.0, {'J01': -217.79999999999998, 'top_mgr': 8}, {'J01': 7}, {'J01': 27}, 
95.0, {'J01': -213.79999999999998, 'top_mgr': 5}, {'J01': 7}, {'J01': 26}, 
100.0, {'J01': -251.00000000000003, 'top_mgr': 2}, {'J01': 7}, {'J01': 31}, 
105.0, {'J01': -303.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
110.0, {'J01': -316.00000000000006, 'top_mgr': 2}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': -297.40000000000003, 'top_mgr': 5}, {'J01': 8}, {'J01': 31}, 
120.0, {'J01': -322.00000000000006, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
125.0, {'J01': -365.20000000000005, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
130.0, {'J01': -403.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
135.0, {'J01': -415.00000000000006, 'top_mgr': 4}, {'J01': 8}, {'J01': 36}, 
140.0, {'J01': -437.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 36}, 
145.0, {'J01': -440.20000000000005, 'top_mgr': 1}, {'J01': 9}, {'J01': 43}, 
150.0, {'J01': -471.2000000000001, 'top_mgr': 3}, {'J01': 8}, {'J01': 44}, 
155.0, {'J01': -508.6000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 42}, 
160.0, {'J01': -502.2, 'top_mgr': 7}, {'J01': 7}, {'J01': 36}, 
165.0, {'J01': -389.6, 'top_mgr': 14}, {'J01': 5}, {'J01': 27}, 
170.0, {'J01': -367.0000000000001, 'top_mgr': 9}, {'J01': 4}, {'J01': 22}, 
175.0, {'J01': -409.2000000000001, 'top_mgr': 1}, {'J01': 4}, {'J01': 30}, 
180.0, {'J01': -463.2000000000001, 'top_mgr': 0}, {'J01': 6}, {'J01': 36}, 
185.0, {'J01': -466.20000000000005, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
190.0, {'J01': -510.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
195.0, {'J01': -543.0, 'top_mgr': 5}, {'J01': 8}, {'J01': 35}, 
200.0, {'J01': -439.40000000000003, 'top_mgr': 10}, {'J01': 7}, {'J01': 29}, 
205.0, {'J01': -477.4000000000001, 'top_mgr': 4}, {'J01': 6}, {'J01': 30}, 
210.0, {'J01': -432.40000000000003, 'top_mgr': 3}, {'J01': 6}, {'J01': 31}, 
215.0, {'J01': -435.8, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
220.0, {'J01': -472.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
225.0, {'J01': -440.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
230.0, {'J01': -429.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 32}, 
235.0, {'J01': -396.20000000000005, 'top_mgr': 5}, {'J01': 8}, {'J01': 31}, 
240.0, {'J01': -264.20000000000005, 'top_mgr': 8}, {'J01': 6}, {'J01': 25}, 
245.0, {'J01': -288.20000000000005, 'top_mgr': 5}, {'J01': 6}, {'J01': 26}, 
250.0, {'J01': -301.0, 'top_mgr': 7}, {'J01': 5}, {'J01': 21}, 
255.0, {'J01': -252.4, 'top_mgr': 7}, {'J01': 4}, {'J01': 19}, 
260.0, {'J01': -282.20000000000005, 'top_mgr': 3}, {'J01': 4}, {'J01': 24}, 
265.0, {'J01': -312.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 31}, 
270.0, {'J01': -351.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 34}, 
275.0, {'J01': -391.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
280.0, {'J01': -370.6, 'top_mgr': 8}, {'J01': 7}, {'J01': 28}, 
285.0, {'J01': -250.20000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 18}, 
290.0, {'J01': -205.8, 'top_mgr': 8}, {'J01': 4}, {'J01': 15}, 
295.0, {'J01': -191.0, 'top_mgr': 2}, {'J01': 4}, {'J01': 21}, 
300.0, {'J01': -193.0, 'top_mgr': 2}, {'J01': 6}, {'J01': 26}, 
305.0, {'J01': -195.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 31}, 
310.0, {'J01': -166.00000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 30}, 
315.0, {'J01': -197.60000000000002, 'top_mgr': 4}, {'J01': 8}, {'J01': 33}, 
320.0, {'J01': -236.00000000000003, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
325.0, {'J01': -281.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 40}, 
